analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
Hematoloogilised uuringud,8 B-IG%,%,B-IG%
Hematoloogilised uuringud,8 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,8 B-MCH,pg,B-MCH
Hematoloogilised uuringud,8 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,8 B-MCV,fL,B-MCV
Hematoloogilised uuringud,8 B-MPV,fL,B-MPV
Hematoloogilised uuringud,8 B-PLT,10L,B-Plt
Hematoloogilised uuringud,8 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,8 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,8 E-MCH,pg,B-MCH
Hematoloogilised uuringud,8 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,8 E-MCV,fL,B-MCV
Hematoloogilised uuringud,8 IG#,10L,B-IG#
Hematoloogilised uuringud,8 IG%),%,B-IG%
Hematoloogilised uuringud,8 MPV,fL,B-MPV
Hematoloogilised uuringud,8 PCT,%,B-Pct
Hematoloogilised uuringud,8 PDW,fL,B-PDW
Hematoloogilised uuringud,8 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,8 RDW-SD,fL,B-RDW-SD
Hematoloogilised uuringud,9 B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,9 B-Eo#,/nL,B-Eo#
Hematoloogilised uuringud,9 B-Eo%,%,B-Eo%
Hematoloogilised uuringud,9 B-Hct,%,B-Hct
Hematoloogilised uuringud,9 B-IG#,/nL,B-IG#
Hematoloogilised uuringud,9 B-IG%,%,B-IG%
Hematoloogilised uuringud,9 B-Lymph%,%,B-Lymph%
Hematoloogilised uuringud,9 B-MCH,pg,B-MCH
Hematoloogilised uuringud,9 B-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,9 B-MCV,fL,B-MCV
Hematoloogilised uuringud,9 B-MPV,fL,B-MPV
Hematoloogilised uuringud,9 B-PLT,10L,B-Plt
Hematoloogilised uuringud,9 B-Plt,/nL,B-Plt
Hematoloogilised uuringud,9 B-RDW,%,B-RDW-CV
Hematoloogilised uuringud,9 E-MCH,pg,B-MCH
Hematoloogilised uuringud,9 E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,9 E-MCV,fL,B-MCV
Hematoloogilised uuringud,9 MPV,fL,B-MPV
Hematoloogilised uuringud,9 PDW,fL,B-PDW
Hematoloogilised uuringud,9 RDW-CV,%,B-RDW-CV
Hematoloogilised uuringud,Abs. arv Basofiilid,10E9/L,B-Basofiilid #
Hematoloogilised uuringud,Abs. arv Eosinofiilid,10E9/L,B-Eo#
Hematoloogilised uuringud,Abs. arv Neutrofiilid,10E9/L,B-Neutrofiilid #
Hematoloogilised uuringud,Basofiili,%,B-Basofiilid %
Hematoloogilised uuringud,Basofiilid%,%,B-Basofiilid %
Hematoloogilised uuringud,Basofiilide %,%,B-Basofiilid %
Hematoloogilised uuringud,Basofiilide abs ar,10E9/L,B-Basofiilid #
Hematoloogilised uuringud,Basofiilide abs arv,10E9/L,B-Basofiilid #
Hematoloogilised uuringud,Basofiilide abs arv,10L,B-Basofiilid #
Hematoloogilised uuringud,B-Diff-Baso-,%,B-Baso%
Hematoloogilised uuringud,B-Diff-Baso-%,%,B-Baso%
Hematoloogilised uuringud,B-Diff-Baso-ar,10L,B-Baso#
Hematoloogilised uuringud,B-Diff-Baso-arv,10L,B-Baso#
Hematoloogilised uuringud,B-Diff-Eo-,%,B-Eo%
Hematoloogilised uuringud,B-Diff-Eo-%,%,B-Eo%
Hematoloogilised uuringud,B-Diff-Eo-ar,10L,B-Eo#
Hematoloogilised uuringud,B-Diff-Eo-arv,10L,B-Eo#
Hematoloogilised uuringud,B-Diff-LYMPH-,%,B-Lymph%
Hematoloogilised uuringud,B-Diff-LYMPH-%,%,B-Lymph%
Hematoloogilised uuringud,B-Diff-LYMPH-ar,10L,B-Lymph#
Hematoloogilised uuringud,B-Diff-Mono-,%,B-Mono%
Hematoloogilised uuringud,B-Diff-Mono-%,%,B-Mono%
Hematoloogilised uuringud,B-Diff-Mono-ar,10L,B-Mono#
Hematoloogilised uuringud,B-Diff-Mono-ar,10E9/L,B-Mono#
Hematoloogilised uuringud,B-Diff-Mono-arv,10E9/L,B-Mono#
Hematoloogilised uuringud,B-Diff-Mono-arv,10L,B-Mono#
Hematoloogilised uuringud,B-Diff-NEUT-,%,B-Neut%
Hematoloogilised uuringud,B-Diff-NEUT-%,%,B-Neut%
Hematoloogilised uuringud,B-Diff-NEUT-ar,10L,B-Neut#
Hematoloogilised uuringud,B-Diff-NEUT-arv,10L,B-Neut#
Hematoloogilised uuringud,B-Eo,/nL,B-Eo#
Hematoloogilised uuringud,B-Eo,%,B-Eo%
Hematoloogilised uuringud,B-GR-%,%,B-Gran%
Hematoloogilised uuringud,B-GR-arv,10L,B-Gran#
Hematoloogilised uuringud,B-H,g/L,B-Hb
Hematoloogilised uuringud,B-HbA1c ),mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,B-HbA1c (Glükohemoglobiin veres (IFCC)),mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,B-HbA1c-IFC,mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Hematoloogilised uuringud,B-Hc,%,B-Hct
Hematoloogilised uuringud,B-MC,pg,B-MCH
Hematoloogilised uuringud,B-MC,fL,B-MCV
Hematoloogilised uuringud,B-Mono-,%,B-Mono%
Hematoloogilised uuringud,B-Mono-%,%,B-Mono%
Hematoloogilised uuringud,B-Mono-ar,10E9/L,B-Mono#
Hematoloogilised uuringud,B-Mono-arv,10E9/L,B-Mono#
Hematoloogilised uuringud,B-MP,fL,B-MPV
Hematoloogilised uuringud,B-PL,10L,B-Plt
Hematoloogilised uuringud,B-Pl,/nL,B-Plt
Hematoloogilised uuringud,B-PLT 1(Trombotsüütide mikroskoopiline uuring),10L,B-Plt
Hematoloogilised uuringud,B-PLT 2(Trombotsüütide mikroskoopiline uuring),10L,B-Plt
Hematoloogilised uuringud,B-PLT (Trombotsüütide mikroskoopiline uuring),10L,B-Plt
Hematoloogilised uuringud,B-RD,%,B-RDW-CV
Hematoloogilised uuringud,B-RDW-C,%,B-RDW-CV
Hematoloogilised uuringud,B-S,mm/h,B-ESR
Hematoloogilised uuringud,B-SR,mm/h,B-ESR
Hematoloogilised uuringud,B-WB,10L,B-WBC
Hematoloogilised uuringud,B-WB,/nL,B-WBC
Hematoloogilised uuringud,E-MC,fL,B-MCV
Hematoloogilised uuringud,E-MC,pg,B-MCH
Hematoloogilised uuringud,E-MCH,pg,B-MCH
Hematoloogilised uuringud,E-MCH,g/L,B-MCHC
Hematoloogilised uuringud,E-MCHC,g/L,B-MCHC
Hematoloogilised uuringud,E-MCV,fL,B-MCV
Hematoloogilised uuringud,EOS#,10U/L,B-Eo#
Hematoloogilised uuringud,EOS#,U/L,B-Eo#
Hematoloogilised uuringud,EOS#,/nL,B-Eo#
Hematoloogilised uuringud,EOS%,%,B-Eo%
Hematoloogilised uuringud,Eosinofiil,%,B-Eo%
Hematoloogilised uuringud,Eosinofiile,%,B-Eo%
Hematoloogilised uuringud,Eosinofiili,%,B-Eo%
Hematoloogilised uuringud,Eosinofiilid %,%,B-Eo%
Hematoloogilised uuringud,Eosinofiilid%,%,B-Eo%
Hematoloogilised uuringud,Eosinofiilide,%,B-Eo%
Hematoloogilised uuringud,Eosinofiilide %,%,B-Eo%
Hematoloogilised uuringud,Eosinofiilide abs ar,10E9/L,B-Eo#
Hematoloogilised uuringud,Eosinofiilide abs arv,10E9/L,B-Eo#
Hematoloogilised uuringud,Eosinofiilide abs arv,10L,B-Eo#
Hematoloogilised uuringud,Er.basof.sõmeru,korda,B-Basofiilne sõmerus
Hematoloogilised uuringud,Er.basof.sõmerus,korda,B-Basofiilne sõmerus
Hematoloogilised uuringud,Erütrotsüütide settekiiru,mm/h,B-ESR
Hematoloogilised uuringud,GR#,10U/L,B-Gran#
Hematoloogilised uuringud,GR%,%,B-Gran%
Hematoloogilised uuringud,Granulotsüütide %,%,B-Gran%
Hematoloogilised uuringud,Hematokri,%,B-Hct
Hematoloogilised uuringud,IG),%,B-IG%
Hematoloogilised uuringud,IG%),%,B-IG%
Hematoloogilised uuringud,Kepptuum. neut,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Kepptuum. neut.,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Kepptuumse,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Kepptuumsed,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Kepptuumsed neutrofiili,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Kepptuumsed neutrofiilid %,%,B-Kepptuumsed neutrofiilid %
Hematoloogilised uuringud,Lümfotsüüdid,%,B-Lümfotsüüdid %
Hematoloogilised uuringud,Lümfotsüütide %,%,B-Lümfotsüüdid %
Hematoloogilised uuringud,Lümfotsüütide abs arv,10E9/L,B-Lümfotsüüdid #
Hematoloogilised uuringud,Lym+mono arv %,%,B-Lymph% + Mono%
Hematoloogilised uuringud,LYMP#,10U/L,B-Lymph#
Hematoloogilised uuringud,LYMP%,%,B-Lymph%
Hematoloogilised uuringud,Monotsüütide %,%,B-Monotsüüdid %
Hematoloogilised uuringud,MP,fL,B-MPV
Hematoloogilised uuringud,MPV,fL,B-MPV
Hematoloogilised uuringud,NEU#,10U/L,B-Neut#
Hematoloogilised uuringud,NEU%,%,B-Neut%
Hematoloogilised uuringud,Neutrofiilid%,%,B-Neutrofiilid %
Hematoloogilised uuringud,Neutrofiilide %,%,B-Neutrofiilid %
Hematoloogilised uuringud,Neutrofiilide abs arv,10E9/L,B-Neutrofiilid #
Hematoloogilised uuringud,Neutrofiilide hüpersegmentatsioon,"1,2,3",B-Hüpersegmentatsioon
Hematoloogilised uuringud,PD,fL,B-PDW
Hematoloogilised uuringud,Plasmarakud,%,B-Plasmarakud %
Hematoloogilised uuringud,P-LC,suhtarv,B-LCR
Hematoloogilised uuringud,RDW,%,B-RDW-CV
Hematoloogilised uuringud,RDW),%,B-RDW-CV
Hematoloogilised uuringud,RDWa,%,B-RDW-CV
Hematoloogilised uuringud,Segmenttuumse,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmenttuumsed,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmenttuumsed neutrofiili,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmenttuumsed neutrofiilid %,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmentuumsei,%,B-Segmenttuumsed neutrofiilid %
Hematoloogilised uuringud,Segmentuumseid,%,B-Segmenttuumsed neutrofiilid %
"Hemoglobiin, glükeeritud A1C suhe",Hinnatud keskmine glükoosi kontsentratsioon,mmol/L,B-eAG
Hemoglobiini fraktsioonid arteriaalses veres,"Hct,c",%,B-Hct calc
Hemoglobiini fraktsioonid kapillaarveres,"Hct,c",%,B-Hct calc
Hemogramm*,Hinnanguline glomerulaarfiltratsiooni kiirus,ml/min/1.73m2,eGFR
Hemogramm*,LDL-kolesterool paastuseerumis/paastuplasmas,mmol/L,"S,P-LDL-Chol"
Hemogramm ilma leukogrammita,MCHC Keskmine hemoglobiini kontsentratsioon erütrotsüüdis,g/L,B-MCHC
Hemogramm ilma leukogrammita,MCH Keskmine hemoglobiin erütrotsüüdis,pg,B-MCH
Hemogramm ilma leukogrammita,MCV Erütrotsüütide keskmine ruumala,fL,B-MCV
Hemogramm ilma leukogrammita,MPV Trombotsüütide keskmine maht,fL,B-MPV
Hemogramm ilma leukogrammita,PDW Trombotsüütide suurusjaotuvus,fL,B-PDW
Hemogramm ilma leukogrammita,PLT Trombotsüüdid,10E9/L,B-Plt
Hemogramm ilma leukogrammita,RBC Erütrotsüüdid,10E12/,B-RBC
Hemogramm ilma leukogrammita,RBC Erütrotsüüdid,10E12/L,B-RBC
Hemogramm ilma leukogrammita,RDW-CV Erütrotsüütide suurusjaotuvus,%,B-RDW-CV
Hemogramm ilma leukogrammita,WBC Leukotsüüdid,10E9/L,B-WBC
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,B-CBC+Diff+NRBC,%,B-NRBC%
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga) ja normoblastidega,B-CBC+Diff+NRBC,10E9/L,B-NRBC#
"Hemogramm, lihtne (mikroskoopia)",Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,IG Ebaküpsete granulotsüüdide absoluutarv,10E9g/L,B-IG#
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,IG% Ebaküpsete granulotsüüdide suhtarv,%,B-IG%
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,LYMPH Lümfotsüütide absoluutarv,10E9/L,B-Lymph#
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,LYMPH% Lümfotsüütide suhtarv,%,B-Lymph%
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MCHC Keskmine hemoglobiini kontsentratsioon erütrotsüüdis,g/L,B-MCHC
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MCH Keskmine hemoglobiini hulk erütrotsüüdis,pg,B-MCH
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MCV Erütrotsüütide keskmine ruumala,fL,B-MCV
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MONO Monotsüütide absoluutarv,10E9/L,B-Mono#
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MONO% Monotsüütide suhtarv,%,B-Mono%
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,MPV Trombotsüütide keskmine maht,fL,B-MPV
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,PDW Trombotsüütide anisotsütoosi näitaja,fL,B-PDW
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,PLT Trombotsüüdid,10E9/L,B-Plt
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,RDW-CV Erütrotsüütide anisotsütoosi näitaja,%,B-RDW-CV
Hemogramm Vere automaatuuring 5-osalise leukogrammiga,WBC Leukotsüüdid,10E9/L,B-WBC
Hemogramm Vere automaatuuring ilma leukogrammita,MCHC Keskmine hemoglobiini kontsentratsioon erütrotsüüdis,g/L,B-MCHC
Hemogramm Vere automaatuuring ilma leukogrammita,MCH Keskmine hemoglobiini hulk erütrotsüüdis,pg,B-MCH
Hemogramm Vere automaatuuring ilma leukogrammita,MCV Erütrotsüütide keskmine ruumala,fL,B-MCV
Hemogramm Vere automaatuuring ilma leukogrammita,MPV Trombotsüütide keskmine maht,fL,B-MPV
Hemogramm Vere automaatuuring ilma leukogrammita,PDW Trombotsüütide anisotsütoosi näitaja,fL,B-PDW
Hemogramm Vere automaatuuring ilma leukogrammita,PLT Trombotsüüdid,10E9/L,B-Plt
Hemogramm Vere automaatuuring ilma leukogrammita,RBC Erütrotsüüdid,10E12/,B-RBC
Hemogramm Vere automaatuuring ilma leukogrammita,RDW-CV Erütrotsüütide anisotsütoosi näitaja,%,B-RDW-CV
Hemogramm Vere automaatuuring ilma leukogrammita,WBC Leukotsüüdid,10E9/L,B-WBC
Hemogramm viieosalise leukogrammiga*,-1 Glükoos paastuplasmas,mmol/L,"fS,fP-Gluc"
Hemogramm viieosalise leukogrammiga*,7 NRBC#,10/9l,B-NRBC#
Hemogramm viieosalise leukogrammiga*,8 NRBC%,/100WBC,B-NRBC%
Hemogramm viieosalise leukogrammiga*,Albumiini ja kreatiniini suhe uriinis,mg/mmol,U-Alb/U-Crea
Hemogramm viieosalise leukogrammiga*,Aspartaadi aminotransferaas seerumis,U/L,"S,P-ASAT"
Hemogramm viieosalise leukogrammiga*,CSF-WBC,E6/L,CSF-WBC
Hemogramm viieosalise leukogrammiga*,D-dimeerid plasmas,ug/mL,P-D-Di
Hemogramm viieosalise leukogrammiga*,Glükohemoglobiin,%,B-HbA1c
Hemogramm viieosalise leukogrammiga*,HDL-kolesterool paastuseerumis,mmol/L,"S,P-HDL-Chol"
Hemogramm viieosalise leukogrammiga*,Hinnanguline glomerulaarfiltratsiooni kiirus,ml/min/1.73m2,eGFR
Hemogramm viieosalise leukogrammiga*,Kaltsitoniin paastuseerumis,pmol/L,"S,P-CT"
Hemogramm viieosalise leukogrammiga*,Kaltsitoniin paastuseerumis/paastuplasmas,pmol/L,"S,P-CT"
Hemogramm viieosalise leukogrammiga*,Kaltsitoniin seerumis/lasmas,pmol/L,"S,P-CT"
Hemogramm viieosalise leukogrammiga*,Kolesterool seerumis,mmol/L,"S,P-Chol"
Hemogramm viieosalise leukogrammiga*,Kreatiini kinaasi MB isoensüümi mass seerumis,ug/L,"S,P-CK-MBm"
Hemogramm viieosalise leukogrammiga*,Kreatiini kinaas seerumis,U/L,"S,P-CK"
Hemogramm viieosalise leukogrammiga*,Kreatiniini kliirens kehapinna kohta,mL/min/1.73m2,eGFR
Hemogramm viieosalise leukogrammiga*,Kreatiniin uriinis,umol/L,U-Crea
Hemogramm viieosalise leukogrammiga*,LDL-kolesterool paastuseerumis/paastuplasmas,mmol/L,"S,P-LDL-Chol"
Hemogramm viieosalise leukogrammiga*,Prokaltsitoniin seerumis,ug/L,"S,P-PCT"
Hemogramm viieosalise leukogrammiga*,Protrombiini suhe,%,P-PT%
Hemogramm viieosalise leukogrammiga*,S-iCa,mmol/L,"S,P-iCa"
Hemogramm viieosalise leukogrammiga*,Triglütseriidid paastuseerumis,mmol/L,"fS,fP-Trigl"
Hemogramm viieosalise leukogrammiga*,Troponiin T seerumis/plasmas,ng/L,"S,P-cTnT-hs"
Hemogramm viieosalise leukogrammiga*,Uurea paastuseerumis/paastuplasmas,mmol/L,"S,P-Urea"
Hemogramm viieosalise leukogrammiga*,Vaba türoksiin seerumis,pmol/L,"S,P-fT4"
Hemogramm viieosalise leukogrammiga*,Vitamiin D seerumis/plasmas,nmol/L,"S,P-Vit D (25-OH)"
Hemogramm viieosalise leukogrammiga ja normoblastidega,B-CBC-Diff-NRBC,10E9/L,B-NRBC#
Hemogramm viieosalise leukogrammiga ja normoblastidega,B-CBC-Diff-NRBC,%,B-NRBC%
Hemogramm viieosalise leukogrammiga ja normoblastidega,NRBC#,10E9/L,B-NRBC#
Hemogramm viieosalise leukogrammiga ja normoblastidega kapillaarverest,NRBC#,10E9/L,B-NRBC#
"Hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",NRBC#,10E9/L,B-NRBC#
Hinnangulina glomerulaarfiltratsiooni kiirus(eGFR),33914-3,mL/min/1.73m2,eGFR
Hinnangulina glomerulaarfiltratsiooni kiirus(eGFR),66102S-eGFR,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus,33914-3,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus,eGFRm,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus,eGFRn,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus (eGFR),Hinnanguline glomerulaafiltratsiooni kiirus,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus (eGFR),S2-eGFR,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus (eGRF),Hinnanguline glomerulaafiltratsiooni kiirus,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus (eGRF),S2-CreaC,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsiooni kiirus (MDRD),P-eGFR,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsooni kiirus (MDRD),33914-3,mL/min/1.73m2,eGFR
Hinnanguline glomerulaarfiltratsooni kiirus (MDRD),S-eGFR,mL/min/1.73m2,eGFR
"HLT, elektrolüüdid",fB-Gluc,mmol/L,fcB-Gluc
Hüübimise uuringud,P-PT,%,P-PT%
Hüübimise uuringud,P-PT,sek,P-PT
Hüübimise uuringud,P-PT (Hüübimine PERH),sek,P-PT
Hüübimise uuringud,P-PT-IN,suhtarv,P-PT-INR
Hüübimise uuringud,P-PTse,sek,P-PT
Hüübimise uuringud,P-PTsek,sek,P-PT
Hüübimissüsteemi uuringud,P-PT-IN,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 1,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 10,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 11,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 12,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 13,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 2,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 3,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 4,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 5,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 6,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 7,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 8,suhtarv,P-PT-INR
Hüübimissüsteemi uuringud,P-PT-INR 9,suhtarv,P-PT-INR
IA labori analüüsid,Vaba türoksii,pmol/L,"S,P-fT4"
Immunoloogilised uuringud,CT-kaltsitonii,pmol/L,"S,P-CT"
Immunoloogilised uuringud,CT-kaltsitoniin,pmol/L,"S,P-CT"
Immunoloogilised uuringud,TSH,mU/L,"S,P-TSH"
Immuunmeetoditel põhinevad uuringud,S-fT4 1,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-fT4 2,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-fT4 3,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-fT4 4,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-fT4 5,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-fT4 6,pmol/L,"S,P-fT4"
Immuunmeetoditel põhinevad uuringud,S-PCT 1,ng/mL,"S,P-PCT"
Immuunmeetoditel põhinevad uuringud,S-PCT 2,ng/mL,"S,P-PCT"
Immuunmeetoditel põhinevad uuringud,S-PCT 3,ng/mL,"S,P-PCT"
Immuunmeetoditel põhinevad uuringud,S-PCT 4,ng/mL,"S,P-PCT"
Immuunmeetoditel põhinevad uuringud,S-TSH 1,uU/mL,"S,P-TSH"
Immuunmeetoditel põhinevad uuringud,S-TSH 2,uU/mL,"S,P-TSH"
Immuunmeetoditel põhinevad uuringud,S-TSH 3,uU/mL,"S,P-TSH"
Immuunmeetoditel põhinevad uuringud,S-TSH 4,uU/mL,"S,P-TSH"
Immuunmeetoditel põhinevad uuringud,S-TSH 5,uU/mL,"S,P-TSH"
Immuunmeetodi uuringud,FT4,pmol/L,"S,P-fT4"
Immuunmeetodi uuringud,FT4 1,pmol/L,"S,P-fT4"
Immuunmeetodi uuringud,FT4 2,pmol/L,"S,P-fT4"
Immuunmeetodi uuringud,Kaltsitonii,pmol/L,"S,P-CT"
Immuunmeetodi uuringud,TSH,mU/L,"S,P-TSH"
Immuunmeetodi uuringud,TSH 1,mU/L,"S,P-TSH"
Immuunmeetodi uuringud,TSH 2,mU/L,"S,P-TSH"
Immuunuuringud,Kaltsitoniin,pmol/L,"S,P-CT"
Immuunuuringud,S- PCT,ng/mL,"S,P-PCT"
Kaltsitoniin,Kaltsitoniin S-CT,pmol/L,"S,P-CT"
Kliiniline labor,Basofiili,%,B-Baso%
Kliiniline labor,Eosinofiili,%,B-Eo%
Kliiniline labor,Kepptuumsed neutrofiili,%,B-Kepptuumsed neutrofiilid %
Kliiniline labor,P-LCR,%,B-LCR
Kliiniline labor,Segmenttuumsed neutrofiili,%,B-Segmenttuumsed neutrofiilid %
Kliiniline labor,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Kliiniline labor (haigla),Kepptuumsed neutrofiili,%,B-Kepptuumsed neutrofiilid %
Kliinilise keemia uuringud,2 eGFR),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,B-HbA1c-IFC,mmol/mol,B-HbA1c (IFCC)
Kliinilise keemia uuringud,B-HbA1c-IFCC,mmol/mol,B-HbA1c (IFCC)
Kliinilise keemia uuringud,eGF),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,eGFR),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,eGFR 1),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,eGFR 2),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,eGFR 3),mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,eGFR (MDRD,mL/min/1.73m2,eGFR
Kliinilise keemia uuringud,fS-Cre,umol/L,"S,P-Crea"
Kliinilise keemia uuringud,fS-Glu,mmol/L,"fS,fP-Gluc"
Kliinilise keemia uuringud,fS-HDL-Chol 1,mmol/L,"S,P-HDL-Chol"
Kliinilise keemia uuringud,fS-HDL-Chol 2,mmol/L,"S,P-HDL-Chol"
Kliinilise keemia uuringud,fS-HDL-Chol 3,mmol/L,"S,P-HDL-Chol"
Kliinilise keemia uuringud,fS-LDL-Chol 1,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,fS-LDL-Chol 2,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,fS-LDL-Chol 3,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,fS-LDL-Chol 4,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,fS-Urea 1,mmol/L,"S,P-Urea"
Kliinilise keemia uuringud,fS-Urea 2,mmol/L,"S,P-Urea"
Kliinilise keemia uuringud,fS-Urea 3,mmol/L,"S,P-Urea"
Kliinilise keemia uuringud,HbA1c,mmol/mol,B-HbA1c (IFCC)
Kliinilise keemia uuringud,HbA1c,%,B-HbA1c
Kliinilise keemia uuringud,HbA1c (IFCC,mmol/mol,B-HbA1c (IFCC)
Kliinilise keemia uuringud,HDL kolesteroo,mmol/L,"S,P-HDL-Chol"
Kliinilise keemia uuringud,Kolesteroo,mmol/L,"S,P-Chol"
Kliinilise keemia uuringud,Kreatiini kinaas,U/L,"S,P-CK"
Kliinilise keemia uuringud,Kreatinii,umol/L,"S,P-Crea"
Kliinilise keemia uuringud,LDL kolesteroo,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,LDL kolesterool,mmol/L,"S,P-LDL-Chol"
Kliinilise keemia uuringud,S-ALAT 1,U/L,"S,P-ALAT"
Kliinilise keemia uuringud,S-ALAT 2,U/L,"S,P-ALAT"
Kliinilise keemia uuringud,S-ALAT 3,U/L,"S,P-ALAT"
Kliinilise keemia uuringud,S-ALAT 4,U/L,"S,P-ALAT"
Kliinilise keemia uuringud,S-ALAT 5,U/L,"S,P-ALAT"
Kliinilise keemia uuringud,S-ASAT 1,U/L,"S,P-ASAT"
Kliinilise keemia uuringud,S-ASAT 2,U/L,"S,P-ASAT"
Kliinilise keemia uuringud,S-ASAT 3,U/L,"S,P-ASAT"
Kliinilise keemia uuringud,S-ASAT 4,U/L,"S,P-ASAT"
Kliinilise keemia uuringud,S-ASAT 5,U/L,"S,P-ASAT"
Kliinilise keemia uuringud,S-Chol 1,mmol/L,"S,P-Chol"
