analysis_name,analysis_substrate,parameter_code,parameter_name,unit,count
Vere automaatuuring 5-osalise leukogrammiga,,vB1-CBC-Diff,NE,.,244
Hemogramm viieosalise leukogrammiga,,B-CBC-Diff,,pg,5
Immuunuuringud,,1990,CK-MB mass,ng/ml,3
Parathormoon,,66706_PTH,Paratüreoid hormoon,pmol/L,2
Komplement C4 seerumis,,S-C4,S-C4,g/l,1
Kliiniline vere ja glükohemoglobiini analüüs,"",,Erütrotsüütide makrotsütoos,,8
Immuunmeetoditel põhinevad uuringud,,854,S-CA-15-3(Kasvaja-antigeen 15-3),U/ml,17
Ravimtundlikuse määramine diskdifusiooni meetodil kuni 6 prep. suhtes,,66530_Ravimitundlikkuse_määramin,Koagulaasnegatiivsete stafülokokkide reservirida 1,-,1
Vereäige mikroskoopia,,B-Smear-m,Atüüpilised lümfotsüüdid,%,5
Uriini analüüs,uriin,Leukotsüüdidmikroskoopiliselt,Leukotsüüdid mikroskoopiliselt,,1
Seroloogilised uuringud,,71513,Bordetella pertussis IgM(Bordetella pertussis´e vastased IgM antikehad),,1
Happe-alus tasakaal arteriaalsest verest,,aB-pH,tHb,-,14
Tsütoloogilised uuringud,,1352,ASC-,,1
Mikrobioloogia analüüs,BL - <ANONYM id="4" type="per" morph="_S_ sg n"/>,Leid,Leid,,2
Kliiniline vere ja glükohemoglobiini analüüs,"",,PCT,,544
PAP test,,2403,Lameepiteeli kirjeldus,,1
Toxoplasma gondi vastased antikehad,,66707_S-Toxoplasma_gondi_vastase,toxo IgG kvantitatiivne,kIU/l,2
"Hemogramm, (mikroskoopia)",,B-Hemo-m_,Lümfotsüüte,-,15
Puukentsefaliidi viiruse vastane IgG seerumis,,S-TBEV_IgG,tõlgendus,VIEU/ml,2
Seroloogilised uuringud,,1517,S-TPHA titer(Treponema pallidumi vastase antikeha TPHA tiiter),,1
Mikrobioloogia labor (haigla),,10379,Nm-Gripp A+B Kiir(Kiiranalüüs gripp A+B markeri määramiseks),,3
Tsütomegaloviiruse vastased IgG tüüpi antikehad,,S-aCMVG,S-aCMVG,COI,1
PCR: Muu materjal,,3698,Chlamydia trachomatis DNA,,3
Immuunmeetoditel uuringud,seerum,S-f233spIgEmunavalgekomp.nGald1ovomukoidisuhtes,S-f233 sp IgE munavalge komp. nGal d 1 ovomukoidi suhtes,,1
Hematoloogilised uuringud,,2472,RDW-S,fL,5
Immuunuuringud,,10578,S2-L(lutropiin e. luteiniseeriv hormoon),mlU/ml,2
Puukentsefaliit IgG,,,Puukentsefaliit IgG,,3
Kliiniline vereanalüüs,"",EO%,EO%,,3282
Erütrotsüütide settekiirus,,B-ESRw,B-ESRw,mm/h,630
Kliinilise keemia uuringud,,10992,pO(pO2),mmHg,14
Fibriini D-dimeerid plasmas,,P-FiDD ,P-FiDD,ug/mL,3
HIV ja hepatiidi uuringud,,1434,HCV Ak(Hepatiit C viiruse vastaste antikehade uuring),COI,97
Happe-alus tasakaal,,71695,sO2(Hemoglobiini küllastus hapnikuga),%,4
Hemogramm viieosalise leukogrammiga,,B-CBC-Diff,,g/L,10
Hüübimissüsteemi uuringud,,822,P-PT-INR 1(Protrombiini aeg; INR),suhtarv,2
Tundlikus haigustekitaja ravimtundlikkuse määramine(kuni 6 diski),,Cf-_tundlikus_Ureaplasma,Ofloxacin 4mg/l,-,4
Seroloogilised uuringud,,71625,RPR(Süüfilise ekspressdiagnostika),,1
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC-5Diff,MCH,pg,14
Raud paastuseerumis,,,fS-Fe,µmol/L,52
Kreatiini kinaas seerumis,,,,,8
Hematoksüliin-eosiin värvinguga biopsiamaterjali uuring (1 blokk),,66800_Biopsiamaterjali_uuring,66800 Hematoksüliin-eosiin värvinguga biopsiamaterjali uuring (1 blokk),-,21
Ureaplasma parvum PCR-meetodil,,Cx-Up-PCR,"Ureaplasma parvum, PCR-meetodil",-,9
Mikrobioloogia analüüs,WD - <ANONYM id="10" type="per" morph="_S_ sg n"/>,IMPImipemeem,IMP Imipemeem,,1
Immuunfluorestsentsuuring,,66711_S-Immuunfluorestsentsuurin,Mitokondrite vastased ak. (<ANONYM>),tiiter,2
Hematoloogilised uuringud,,610,7 B-MCV(Erütrotsüütide keskmine maht),fL,1
TBC mikrobioloogia analüüs,SP - Röga,AMKAmikatsiin,AMK Amikatsiin,,6
Happe-alus tasakaal,Areteriaalne veri,,a/ApO2 = pO2(a/<ANONYM>),,36
Vere automaatuuring retikulotsüütidele,,B-RET,<ANONYM>%,%,3
Biokeemia analüüs,"",S-CDTSüsivesik-defitsiitnetransferriin,S-CDT Süsivesik-defitsiitne transferriin,,1
Treponema pallidum vastane antikeha liikvoris (hemaglutinatsiooni test),,CSF-TPHA,Treponema pallidumi vastane antikeha liikvoris (hemaglutinatsiooni test),-,1
Happe-alus tasakaal,paastuveri,tO2,tO2,,5
Hematoloogilised uuringud,,44,Eosinofiili,%,12
mikroalbumiin u,,,,,1
"Paneel 1, PCR, emakakaelakanalikaapest",,Cx-Paneel_1-PCR,T. vaginalis,-,2
Immuunmeetoditel uuringud,"",AFPalfafetoproteiin,AFP alfafetoproteiin,,86
Malaaria tekitaja antigeeni uuring,,B-Malaria_Ag,B-Malaria Ag,-,1
PAP test: Portio,,3360,Hormonaalne seisun,,1
Nisujahu IgE,,,Nisujahu IgE,IU/mL,2
"Neisseria gonorrhoeae, PCR, emakakaelakanalikaapest",,Cx-Ng-PCR,"Neisseria gonorrhoeae, PCR, emakakaelast",-,117
Hematoloogilised uuringud,,695,RDW-C,%,112
Mikrobioloogilised uuringud,,58672,Erütromütsiin(Erütromütsiin),,1
Kliiniline vere ja glükohemoglobiini analüüs,"",,Metamüelotsüüdid,,6
Hemogramm viieosalise leukogrammiga,,vB-CBC-5Diff,Eo#,10\9/l,1
Biokeemia labor,,10575,Glükoos 1. kordu,mmol/l,28
Günekoloogiline mikroskoopiline uuring,,,Pärmseente hulk,,14
Autoimmuundiagnostika,,147161,Yo,,6
Mikrobioloogia analüüs,UC - Kateeter uriin,Mikrobioloogialeid,Mikrobioloogia leid,,1
Hematoloogilised ja uriini uuringud,,11094,HC(HCT),%,230
WP1 spetsiifiline IgE allergeenide segu suhtes,,S2-wp1_IgE,"IgE-wp1 (harilik ambroosia, puju, inglise teeleht, valge hanemalts, ohakas)",kIU/l,2
Lymph+monos,,,,,1
Kliiniline vere ja glükohemoglobiini analüüs,,HGB,HGB,,152
Uriini analüüs,"",U-pHHappe-alusetasakaal,U-pH Happe-aluse tasakaal,,896
Soja vastane IgE seerumis,,S-f14_IgE,,kU/l,1
C-reaktiivne valk,,S-CRP,,mg/l,3
LTKH allhanked,,1394,S-DHEAS(Dehüdroepiandrosteroonsulfaat),µmol/l,7
PAP test,,2520,Neutrofiilid,,1
Immunoloogilised uuringud,,2471,S-CA 19-,kU/l,2
TBC mikrobioloogia analüüs,PV - Pleuravedelik,Akridiinivärving,Akridiini värving,,7
Alaniini aminotransferaas,,,,,170
Uriini uuringud,,3890,U-Ery(Erütrotsüüdid uriinis),µl,18
Mikrobioloogia analüüs,SP - Röga,Külvivastus,Külvi vastus,,2
Hemostasiogramm,"",,RISTOlow - Trombots. agr ristotsetiini toimel ( madal konts),,1
"Allergiapaneel, spetsiifiliste IgE antikehade määramine (immunoblot), vereseerumist",,S-IgE-Spec-2,Munavalge,-,3
Neutrofiilide tsütoplasma vastane IgG seerumis,,S-ANCA_IgG,Proteinaas 3 vastane IgG seerumis,-,58
PAP test: tserv kanal ja portio,,2338,Eosinofiilid,,15
"Hemogramm, (mikroskoopia)",,B-Hemo-m,Müelotsüüte,.,8
"HLT, elektrolüüdid",,1661,Lac(Laktaat),mmol/l,1
Allergia testid,"",formaldehüüd,formaldehüüd,,4
Happe-alus tasakaal,,ctCO2(B),ctCO2(B),,2
Kliinilise keemia uuringud,,10990,pH(pH),,25
Allergia testid,"",merkaptobensotiasool(2-Mercaptobenzothiasol)2%,merkaptobensotiasool (2-Mercaptobenzothiasol) 2%,,2
COOMBSI ( AHG) TEST,,B-171,B-171,-,20
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,MONO% Monotsüütide suhtarv,%,1866
Happe-alus tasakaal,Areteriaalne veri,Kloriid,Kloriid,,6
PAP test,,2372,Histiotsüüdid/makrofaagid,,103
Salmonella,,S-aSalm,Salmonella sp. (ABCDE gr) (Salmonelloos),,5
Koorioni gonadotropiin seerumis (ELFA),,S-hCG,Koorioni gonadotropiin seerumis (ELFA) mIU/ml,mIU/ml,20
Uriini uuringud,,2330,Selgu,,4
Vere automaatuuring 5-osalise leukogramm,,B-CBC+Diff,<ANONYM>%,%,18
Allergia uuringud,,3592,Porgand,,1
Hematoloogilised ja uriini uuringud,,11105,MCH(MCH),pg,5
Seroloogilised uuringud,,147101,BB_A34 (p58 Bb),,4
Toksikoloogilised uuringud,,147247,U-Fent(Fentanüül uriinis),,1
Allergia uuringud,,3606,Hobune,,14
Väljaheite analüüs,,,Värvus,,1
Kliiniline vere ja glükohemoglobiini analüüs,"",Metamüelotsüüdid,Metamüelotsüüdid,,26
Albumiin uriini,,,,,3
LTKH allhanked,,69671,S-C4(1. Komplemendi komponent C4),g/l,5
Immuunuuringud,,10482,CK-MBm STA(Kreatiniin kinaasi MB isoensüümi mass),ng/ml,51
Biokeemia labor,,10460,S-Bil-Cj,umol/l,40
Vere automaatuuring leukogrammita,,cB-CBC-2,"MPV, fL",.,1
Immuunuuringud,,10779,S2-FSH(follitropiine.folliikuleid stimuleeriv hormoon),mlU/ml,3
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,MONO#,10^9/l,493
Biokeemia analüüs,,fS-RF(reumatoidfaktor),fS-RF (reumatoidfaktor),,4
Mikrobioloogia analüüs,ST - Faeces,Külvivastus,Külvi vastus,,34
Mikrobioloogia analüüs,WD - <ANONYM id="37" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,1
Valkude fraktsioonid seerumis elektroforeetiliselt,,S-Prot-fr,beeta-1,g/l,3
Kooriongonadotropiin,,S-hCG,S-hCG,U/L,7
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC+Diff,CH,pg,146
Retikuliinivastased IgA-tüüpi antikehad,,S-aRAA,S-aRAA,-,1
Kliinilise keemia uuringud,,10323,"S-Bil(Bilirubiin, üldine)",mmol/l,110
Autoimmuundiagnostika,,72096,"S-ACLA IgAG(3. Kardiolipiinivastane IgA, IgM, IgG)",S/CO,2
uriini valgu ja sademega,,U-uriini_valgu_ja_sademega,neeru epiteele,-,2
Hematoloogilised uuringud /Tallinna Labo,,920,PDW,%,1
Hematoloogilised uuringud,,146174,3 B-P-LCR(Trombotsüütide suurte vormide suhtarv),%,3
uriini automaat uriinivalguga,,U-uriini_automaat_uriinivalguga,erütrotsüüdid,-,3
Immuunmeetoditel uuringud,seerum,f87spIgEmelonisuhtes,f 87 sp IgE meloni suhtes,,2
Hematoloogilised uuringud,,146174,B-P-LCR(Trombots��tide suurte vormide suhtarv),%,3
Uriini sademe mikroskoopia,,U-Sed-m,Lümfotsüüdid (ur. sademes),-,3
Kasvajaantigeen 19-9,,S-CA_19-9,S-CA 19-9,kU/L,4
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),,B-CBC+Diff,,%,11
LTKH allhanked,,1549,AAT(3. alfa-1-antitrüpsiin),g/l,1
Välisanalüüsid,,10619,S-C pneumoniae IgG(Chlamydophila pneumoniae vastane IgG),,2
Aer. külv keskjoa uriinist,,,Aer. külv keskjoa uriinist,,29
Tsütomegaloviirus,,CMV,66707 CMV IgM,-,1
Hematoloogilised uuringud,,326,Neutrofiilide %,%,2
Vere automaatuuring 5-osalise leukogrammiga,,B1-A5Diff,PDW Trombotsüütide anisotsütoosi näitaja,fL,97
VÄL,,41384,Mitokondrite vastased antikeha,,3
HPV DNA emakakaelakanalikaapes,,Cx-HPV-DNA,"HPV DNA, madala riski tüüp",-,2
Mikrobioloogilised uuringud,,144316,EB Tsiprofloksatsiin,,2
Allergia testid,"",majaseen,majaseen,,6
östradiool seerumis,,S-E2,S-E2,-,1
LDL Madala tihedusega lipoproteiini kolesterool seerumis,,S-LDL-Chol,Madala tihedusega lipoproteiini kolesterool,mmol/l,200
TBC mikrobioloogia analüüs,SP - Röga,Ziehl-Neelsenivärving,Ziehl-Neelseni värving,,16
Kliiniline vereanalüüs,"",MPV(trombots.keskminemaht),MPV (trombots.keskmine maht),,1250
Kliiniline labor,,10061,Nm-Kiir,,5
Fibrinogeen,,P-Fibr,P-Fibr,g/l,426
Happe-aluse tasakaal,,70954,La,mmol/l,23
Immuunmeetoditel uuringud,"",,S-BorG-WB /Borrelia burgdorferi vast IgG seerumis (kinnitav),,2
Kliinilise keemia uuringud,,153,S-Amyl(alfa-amülaas),U/l,46
Immuunglobuliin M seerumis,,S-IgM,,g/l,5
Uriini uuringud,,3891,U-Glu(Glükoos uriinis),mmol/l,18
Uriini uuringud,,8581,selgus,,2
Reumatoidfaktor,,S-RF,S-RF,U/mL,38
Mikrobioloogia labor (haigla),,30117,Ertapeneem MI,,4
Karbamasepiin seerumis,,S1-Carba,Karbamasepiin,mg/l,5
Mikrobioloogilised uuringud,,30130,Tsefpodoksii,,1
Kliinilise keemia uuringud,,1307,Kreatinii,mkmol/l,8
S-LDH,,,,,1
Hüübimissüsteemi uuringud,,822,P-PT-IN(Protrombiini aeg; INR),suhtarv,262
Kliiniline vere ja glükohemoglobiini analüüs,"",Pisarrakud,Pisarrakud,,13
Immuunmeetoditel uuringud,"",UreaplasmaurealyticumDNAureetrakaapest,Ureaplasma urealyticum DNA ureetrakaapest,,3
S2-Ig fkapa/Ig flambda,,S-Ig-fK/Ig-fL,S-Ig-fK/Ig-fL,g/g,1
Glükoosi profiil kapillaarverest,,cB-Gluco-P,Glükoos 16.00,mmol/l,463
Hemostasiogramm,"",,LA-APPT Lupus antikoagulandid APTT reaktiiviga,,1
"Bilirubiin, glükuroonhappega seotud (direktne bilirubiin)",,S-Bil-Cj,S-Bil-Cj,urmol/l,118
Amülaas pankreasespetsiifiline,,S-Amyl-pancr,"Amülaas, pankreasespetsiifiline",U/L,21
Mikrobioloogia analüüs,UO uriin (nefrosoomi),AMSAmpits.sulb.,AMS Ampits.sulb.,,1
Kliinilise keemia uuringud,,71890,fS-Trans(Transferriin),g/l,43
Vere automaatuuring 3-osalise lekogrammiga,,B1-A3Diff,,,11
Kliiniline vereanalüüs,,HCT,HCT,,212
Folaat paastuseerumis,,,,,5
ABO ja Rh(d) veregrupp,,,Rh(D),,25
Happe-aluse tasakaal arteriaalses veres,,aB-ABB,pO2,mm/Hg,291
Ureaplasma urealyticum/Ureaplasma parvum PCR meetodil,,Cx-Uu/Up-PCR,Cx-Uu/Up-PCR,-,32
Spetsiifiline IgE allergeenide segu suhtes,,S2-fp5_IgE,"IgE fp3 (nisu, kaer, mais, seesami seemned, tatar)",kU/L,1
Väljaheite analüüs,"",Konsistents,Konsistents,,19
Gamma-glütamüüli transferaas seerumis,,,S-GGT,U/L,90
Tsütoloogilised uuringud,,1329,Lim,,43
Vere automaatuuring 5-osalise,,,,,21
Autoimmuundiagnostika,,147141,S-Caspr2 Ig,,1
kreatiinkinaasi MB isoensüümi mass,,CK-MBm,CK-MBm,ng/ml,95
Uriini analüüs,,U-NitNitrit,U-Nit Nitrit,,50
Kliiniline vere ja glükohemoglobiini analüüs,"",Trombotsütoos,Trombotsütoos,,1
Immuunoglobuliin A,,S-IgA,Immunoglobuliin A,g/L,22
Hematoloogilised uuringud,,20,3 E-MCH(Keskmine hemoglobiinihulk erütrotsüüdis),pg,2
,,B-ESRw,b1 globuliin,,1
Muud uuringud,,1279,Seened,,2
Mikrobioloogia analüüs,MO - Suust,Leid,Leid,,2
Inhaleeritud allergeenide vastased antikehad,,S-Inhal-IgE-(20),Küüliku epit,-,1
Hematoloogia labori analüüsid,,211,P-LCR,%,26
Alaniini aminotransferaas,,S-ALT,S-ALT,mmol/l,318
Biokeemia labor,,10489,S-Ure,mmol/l,180
Soja vastane IgE seerumis,,S-f14_IgE,S-f3 IgE,kU/l,1
Hemostasiogramm,"",,P-LMWH - Madalmolekulaarse hepariini kontsentratsioon,,2
Hemogramm leukotsüütide diferentsiaalloendusega (vere automaatuuring 5-osalise leukogrammiga),,B-CBC+Diff,WBC,10^9/L,429
Mikrobioloogia analüüs,UC - Kateeter uriin,,TMP Trimetoprim,,2
Immuunuuringud,,45065,CEA,ug/L,3
Borrelia burgdorferi vastane IgM seerumis (sõeluuring),,S-B_burgdorferi_IgM,Borrelia burgdorferi vastane IgM seerumis,-,11
Korduv glükoos kapillaarverest,,cB-Gluc-p,Gluc,mmol/l,2693
Hemostasiogramm,"",,P-Antiplasmiin,,1
Hematoloogilised uuringud,,3042,Monotsüütide,%,1
Uriini uuring 10-parameetrilise testribaga,,U-Strip,NIT,.,307
Välisanalüüsid,,10183,S- AC(angiotensiini konventeeriv ensüüm),,1
Biokeemia labor (haigla),,10453,S2-AL,,15
Immunoloogilised uuringud,,1637,S-FT3,pmol/l,20
P-D-Di,,,,,1
Foolhape paastuseerumis,,fS-Fol,fS-Fol,nmol/l,37
"HLT, elektrolüüdid",,1784,tCO2(p),mmol/l,1
Happe-aluse tasakaal,,71672,FlO,,1
Kliinilise keemia uuringud,,817,fS-Trans(Transferriin),g/l,37
Seroloogia,,122,Bordetello pertussis IgG,IU/l,3
Vereäige mikroskoopia,,B-Smear-m,Polükromaasia,-,47
Mikrobioloogia analüüs,BL - <ANONYM id="11" type="per" morph="_S_ sg n"/>,,Leid,,1
Aeroobide uuring uriinist (keskjoa),,U-Aer,U-Aer,,5
Mikrobioloogia analüüs,WD - <ANONYM id="13" type="per" morph="_S_ sg n"/>,Uuringueesmärk,Uuringu eesmärk,,2
Astroviirused väljaheites,,F-Astro,F-Astro,-,1
Aer. külv keskjoa uriinist,,,Vastus HK:66521,,7
Spets. IgE määram. kemiluminestsm-l,,66707,66707,-,37
Kreatiini kinaas,,S-CK,S-CK,U/L,739
Pleuravedeliku leukotsüüdid ja makroskoopiline uuring,,PF-WBC,Läbipaistvus (PF),-,5
Kolesterool,,S-Chol,S-Chol,mmol/l,816
"Bilirubiin, üldine",,S-Bil,,umol/L,8
Kliiniline vere ja glükohemoglobiini analüüs,"",,BASO%,,485
Happe-alus tasakaal,täisveri,Methemoglobiin,Methemoglobiin,,62
Valkude fraktsioonid seerumis elektroforeetiliselt,,S-Prot-Fr,g-globuliin,.,2
Valk uriinis,,U-Prot,<ANONYM> 24-tunni uriinis g,g,1
Immuunmeetoditel uuringud,"",anti-ENA:anti-La/SS-B,anti-ENA: anti-La/SS - B,,2
Hematoloogilised uuringud,,622,1 B-Baso%(Basofiilide suhtarv),%,5
Mikrobioloogilised uuringud,,7211,Fosfomyci(Fosfomycin),,1
Mikrobioloogilised uuringud,,1009,külv,,4
HIV ja hepatiidi uuringud,,1464,HCV RNA alatüü,,2
Mikrobioloogia labor (haigla),,30297,Tsefotaksiim MIK,,1
LTKH allhanked,,70402,S-GAD-65(7. GAD-65 antikehad),,1
Sperma uuringud,,1781,IL-8 sem plasmas,ng/L,9
Immuunmeetoditel uuringud,,,FT4 / Vaba türoksiin,,2
Doonorvere sobivusproov geeltehnikaga,,B-XmB,2. sobivusproov,-,49
"Allergeenide segu fp5 -toiduallergeenide vastased IgE antikehad seerumis (munavalge, piim, nisu, tursk, maapähkel, sojauba)",,S-afp5,S-afp5,kU/l,17
Tsütoloogilised uuringud,,1323,Silinderepitee,,43
Mikrobioloogilised uuringud,,58513,Ertapeneem(Ertapeneem),,3
patol.täisveri,,B-patol.täisveri,basof.,-,9
Happelis-aluseline tasakaal,,vB-HAT,TEMP,graad C,3
Mikrobioloogia analüüs,BL - <ANONYM id="24" type="per" morph="_S_ sg n"/>,GENGentamütsiin,GEN Gentamütsiin,,1
Happe-alus tasakaal,Areteriaalne veri,SBEalusteliigrakuvälisesvedelikus,SBE aluste liig rakuvälises vedelikus,,167
Mikrobioloogia analüüs,WD - <ANONYM id="94" type="per" morph="_S_ sg n"/>,MERMeropeneem,MER Meropeneem,,1
VÄL,,41175,IgG,g/l,10
Kasvajaantigeen HE4 seerumis,,S-HE4,<ANONYM> väärtus,%,2
Kortisool,,S-Cort,S-Cort,.,9
Mikrobioloogia analüüs,SP - Röga,IMPImipemeem,IMP Imipemeem,,2
Transferriin immuunturbidimeetrilisel meetodil,,fS-Transf,IgA,g/l,3
Mikrobioloogia PCR meetodil,"",HingamisteedebakteritekompleksuuringPCRmeetodilkurgukaa,Hingamisteede bakterite kompleksuuring PCR meetodil kurgukaa,,2
Välisanalüüsid,,10014,S-M pneumoniae Ig M(Mycoplasma pneumoniae vastane IgM),,2
Hematoloogilised uuringud /Tallinna Labo,,917,Trombotsüüdid,x 10 9/L,1
Immuunhematoloogilised uuringud,,10797,B-ABO(ABO veregrupi määramine patsiendi identifitseerimisel),,39
Hematoloogilised uuringud /Tallinna Labo,,929,Abs. arv Monotsüüdid,x 10 9/L,1
Mikrobioloogilised uuringud,,786,Antrum,,2
Uriini analüüs,uriin,SGErikaal,SG Erikaal,,3
Kortisool ööpäevauriinis,,dU-Cort,dU-Cort,nmol/24h,1
Vere automaatuuring 5-osalise leukogrammiga,,B-CBC-5Diff,NEUT#,10^9/l,14
Hematoloogilised uuringud,,146174,9 B-P-LCR(Trombotsüütide suurte vormide suhtarv),%,1
Mikrobioloogilised uuringud,,2114,"Ft-Salm(Salmonella sp külv (väljaheitest, tampooniga))",,2
Hematoloogilised uuringud,,751,Er. hüpokroomsus,korda,281
Kliiniline vereanalüüs,,MPV,MPV,,6
Allergia spetsiifilised uuringud,,71402,kassiepiteel(S-E1-IgE - kassiepiteel),kU/l,11
Nakkushaiguste diagnostika,,43647,Borrelia IgG,,1
PAP test: Tupe tagumine võlv,,1625,Lameepiteeli beniigsed muutuse,,3
Maksa-neeru mikrosoomide vastased antikehad,,S-aLKMA,S-aLKMA,-,4
Mikrobioloogia analüüs,WD - <ANONYM id="6" type="per" morph="_S_ sg n"/>,MIKMikroobid,MIK Mikroobid,,1
Happe-alus tasakaal arteriaalsest verest,,aB-pH,pCO2(T),mmHg,14
Vereäige mikroskoopia,,B-Hemo-p,Kepptuumsed neutrofiilid,%,5
PAP test,,4355,Neutrofiilid,,6
Vere automaatuuring,,B1-CBC,HCT,%,190
Punktaadi analüüs,Perikardivedelik,PrcF-PMN,PrcF-PMN,,1
B-autom5diff,,,PLT,x10*9/L,345
HE4,,S-HE4,S-HE4,pmol/l,1
Kliiniline vereanalüüs,"",Neutrofiilidevakuolisatsioon,Neutrofiilide vakuolisatsioon,,11
HIV ja hepatiidi uuringud,,1463,HCV RNA kvalitatiivne(Hepatiit C viiruse RNA kvalitatiivne uuring),,1
Tritsüklilised antidepressandid uriinis,,Un-TCA,Un-TCA,-,2
Immuunuuringud,,7716,Ferritiin(Ferritiin seerumis),ng/ml,1
Hematoloogilised uuringud,,1843,Erütrotsüüdi,x10 12/L,1
Koorioni gonadotropiin seerumis,,S-hCG,S-hCG,IU/L,5
"Inimese immuunpuudulikkuse 1 ja 2 viiruste vastased antikehad, kiiruuring",,S-aHIV_1/2-c,S-aHIV 1/2-c,-,4
Happe-aluse tasakaal,,70952,Na,mmol/l,23
Kliinilise keemia uuringud,,10953,"Hemoglobiin, glükeeritud, A1C fraktsioon(Hemoglobiin, glükeeritud, A1C fraktsioon)",%,142
CRV,,_CRV,CRV,mg/l,64
Seente uuring emakakaelakanalikaapelt,,Cx-Myc,Seente uuring emakaelakanalikaapelt,-,15
Kliiniline vereanalüüs,"",EO#(eosinofiilidearv),EO# (eosinofiilide arv),,1180
Suguhaiguste laiendatud paneel ( DNA),,Suguhaiguste_laiendatud_paneel,M.hominis DNA,-,8
Uriini sademe mikroskoopia,,U-Sedim,Lümfotsüüdid,-,111
Immuunmeetoditel uuringud,"",,"S-TrpI-pa Treponema pallidum IgG,IgM Partikkelaglutinatsi",,2
Hematoloogilised uuringud,,162,B-PL(Trombotsüütide üldarv),10 l,1
Hematoloogilised ja uriini uuringud,,11048,Tuubulusepitee(Tuubulusepiteel),rakku vaateväljas,12
Uriini uuringud,,30,U-Ket(Uriini ketoonid),mmol/l,4
Seroloogia,,120,Bordetello pertussis IgM,IU/l,3
HPV DNA ureetrakaapes,,,HPV DNA ureetrakaapes,,4
Happe-aluse tasakaalu uuring,,aB-pH,FShunt,%,11
Adenoviirused väljaheites,,F-Aden,F-Aden,-,1
Väljast tellitud analüüsid,"",IA-2vastasedIgGtüüpiantikehad,IA-2 vastased IgG tüüpi antikehad,,1
Immuunmeetoditel uuringud,"",m70/spIgEPitorysporumorb,m70 / sp IgE Pitorysporum orb,,4
"Hemogramm, lihtne (mikroskoopia)",,B-Hemo-s,Monotsüüdid,-,1
Mikrobioloogia analüüs,BL - <ANONYM id="13" type="per" morph="_S_ sg n"/>,Uuringueesmärk,Uuringu eesmärk,,2
D- dimeer,,P-_DD,P- DD,mg/l,170
Gliadiinivastased IgG antikehad,,S-AGA_IgG,S-AGA IgG,RU/ml,9
T/B-lümfotsüütide uuring,,B-Lymph,NK-rakkude absoluutarv,x/ul,4
Glükohemoglobiin veres (SI),,B-HbA1c,HbA1c %,%,121
Immuunmeetoditel uuringud,"",,S-LKMA / Maksa-neeru mikrosoomide vastane IgG seerumis,,1
Mikrobioloogilised uuringud,,144342,Tseftasidiimi MI,,1
hemogramm,,B-CBC-3Diff,,pg,1
Biokeemia analüüs,"",S-K,S-K,,1
Kaalium ja naatrium arteriaalses veres,,"aB-K,_Na",Kaalium,mmol/l,70
Immuunuuringud,,1360,Ferritiin,ng/ml,1
Kliinilise keemia uuringud,,10991,pCO(pCO2),mmHg,14
Shigella spp külv rektaalkaapest,,,Shigella spp külv rektaalkaape,,7
Kusihape,,,,,63
Mikrobioloogia analüüs,FL - Vedelik,PENPenitsilliinG,PEN Penitsilliin G,,1
Allergeenspetsiifilised IgE antikehad,,S-Toidu-IgE-(20),Kaseiin,-,1
Immuunmeetoditel uuringud,"",ChlamydiatrachomatisDNAemakakaelakanalikaapest,Chlamydia trachomatis DNA emakakaelakanalikaapest,,123
Tomati vastane IgE seerumis,,S-f25_IgE,S-f25 IgE,kU/l,11
Kliiniline labor (haigla),,3890,RDW-C,fL,13
Vere automaatuuring,,B1-CBC,MCH,pg,164
Mikrobioloogia analüüs,BL - <ANONYM id="26" type="per" morph="_S_ sg n"/>,Faaskontrastpreparaat,Faaskontrast preparaat,,1
Hematoloogilised uuringud,,612,10 B-MCHC(Keskmine hemoglobiini konsentratsioon erütrotsüüdis),g/l,1
Hematoloogilised ja uriini uuringud,,11138,RET#(RET#),10 l,3
Kreatiniin seerumis,,S-Crea,S-Crea,umol/l,1728
Hantaviiruste vastane IgG seerumis,,S-Hantavirus_IgG,Hantaan viiruse vastane IgG seerumis,-,1
Autoimmuundiagnostika,,71584,S-ANA IgG(Tuumavastane IgG),S/CO,52
Väljaheite uuringud,,1423,"Lihaskiud, seedimat",,7
Kliinilise keemia uuringud,,1912,HDL kolesterool,mmol/l,18
Laktaat plasmas,,P-Lac,P-Lac,mmol/L,19
Vedelike uuringud,,11033,PM(PMN),%,1
Immuunmeetoditel uuringud,seerum,f36spIgEkookospähklisuhtes,f36 sp IgE kookospähkli suhtes,,4
Väljast tellitud analüüsid,"",CMVDNA,CMV DNA,,14
"Toiduallergeenide IgE paneel 5 (munavalge, piim; tursk, nisu, soja, arahhiis)",,,S-FP5 IgE (toidu),IU/mL,10
Uriini uuringud,,2242,Urobilinogeen,,39
VÄL,,41165,Tseruloplasmiin,g/l,1
Kliiniline vere ja glükohemoglobiini analüüs,,,HCT,,67
