analysis_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
Mikroskoopia (calcofluor),XXX-Calcofluor-m panel,Täpsustamata materjali mikroskoopia paneel (calcofluor),Mikroskoopia (calcofluor),L-4545,,kasutatav_nimetus
Mikroskoopia (Gram),XXX-Gram-m,Täpsustamata materjali mikroskoopia (Gram),Mikroskoopia (Gram),664-3,,kasutatav_nimetus
Mikroskoopia (Gram),XXX-Gram-m panel,Täpsustamata materjali mikroskoopia paneel (Gram),Mikroskoopia (Gram),L-4544,,kasutatav_nimetus
Mikroskoopia (Leishman-Giemsa),XXX-Leishman-Giemsa-m,Täpsustamata materjali mikroskoopia (Leishman-Giemsa),Mikroskoopia (Leishman-Giemsa),662-7,,kasutatav_nimetus
Mikroskoopia (Leishman-Giemsa),XXX-Leishman-Giemsa-m panel,Täpsustamata materjali mikroskoopia panel (Leishman-Giemsa),Mikroskoopia (Leishman-Giemsa),L-4546,,kasutatav_nimetus
Mikroskoopia Leishman-Giemsa ja Gram paneel,"XXX-Leishman-Giemsa-m, Gram-m panel",Täpsustamata materjali mikroskoopia (Leishman-Giemsa ja Gram paneel),Mikroskoopia Leishman-Giemsa ja Gram paneel,L-3055,,kasutatav_nimetus
Mineraalainete pakett,"S,P-Mineraalainete pakett",Mineraalainete pakett,Mineraalainete pakett,L-3543,,t_nimetus
Mittetuberkuloossete mükobakterite samastamise ja ravimtundlikkus geneetiliste mutatsioonide alusel NTM-DR (paneel),XXX-NTM-DR panel,Mittetuberkuloossete mükobakterite samastamise ja ravimtundlikkus geneetiliste mutatsioonide alusel NTM-DR (paneel),NTM-DR paneel,L-3817,,t_nimetus
Monoklonaalsed immuunglobuliinid seerumis,S-Monoclon-Ig,Monoklonaalsed immuunglobuliinid seerumis,Monoklonaalsed immuunglobuliinid seerumis,14895-7,Ser/Plas,kasutatav_nimetus
Monoklonaalsed immuunglobuliinid seerumis,S-Monoclon-Ig panel,Monoklonaalsed immuunglobuliinid seerumis (paneel),Monoklonaalsed immuunglobuliinid seerumis,29586-5,Bld,kasutatav_nimetus
Monoklonaalsed immuunglobuliinid seerumis (paneel),S-Monoclon-Ig panel,Monoklonaalsed immuunglobuliinid seerumis (paneel),Monoklonaalsed immuunglobuliinid seerumis,29586-5,Bld,t_nimetus
Monoklonaalsed immuunglobuliinid uriinis,U-Monoclon-Ig,Monoklonaalsed immuunglobuliinid uriinis,Monoklonaalsed immuunglobuliinid uriinis,14896-5,Urine,kasutatav_nimetus
Monoklonaalsed immuunglobuliinid uriinis,U-Monoclon-Ig panel,Monoklonaalsed immuunglobuliinid uriinis (paneel),Monoklonaalsed immuunglobuliinid uriinis,29585-7,Urine,kasutatav_nimetus
Monoklonaalsed immuunglobuliinid uriinis (paneel),U-Monoclon-Ig panel,Monoklonaalsed immuunglobuliinid uriinis (paneel),Monoklonaalsed immuunglobuliinid uriinis,29585-7,Urine,t_nimetus
Monosahhariidide paneel uriinis (GC/MS),U-Monosaccharides panel GC/MS,"Monosahhariidid uriinis (paneel, GC/MS)",Monosahhariidide paneel uriinis (GC/MS),L-3188,,kasutatav_nimetus
"Monosahhariidid uriinis (paneel, GC/MS)",U-Monosaccharides panel GC/MS,"Monosahhariidid uriinis (paneel, GC/MS)",Monosahhariidide paneel uriinis (GC/MS),L-3188,,t_nimetus
MPS II paneel vereplekist (mees),BS-MPS II panel (male),Mukopolüsahharidoos II paneel vereplekist (mees),MPS II paneel vereplekist (mees),L-4522,,kasutatav_nimetus
MPS II paneel vereplekist (naine),BS-MPS II panel (female),Mukopolüsahharidoos II paneel vereplekist (naine),MPS II paneel vereplekist (naine),L-4523,,kasutatav_nimetus
MPS I paneel vereplekist,BS-MPS I panel,Mukopolüsahharidoos I paneel vereplekist,MPS I paneel vereplekist,79563-3,Bld,kasutatav_nimetus
MPS IVa paneel vereplekist,BS-MPS IVa panel,Mukopolüsahharidoos IVa paneel vereplekist,MPS IVa paneel vereplekist,L-4526,,kasutatav_nimetus
MPS IVb paneel vereplekist,BS-MPS VIb panel,Mukopolüsahharidoos IVb paneel vereplekist,MPS IVb paneel vereplekist,L-5198,,kasutatav_nimetus
MPS VI paneel vereplekist,BS-MPS VI panel,Mukopolüsahharidoos VI paneel vereplekist,MPS VI paneel vereplekist,L-4529,,kasutatav_nimetus
MTBDRplus paneel,XXX-MTBDRplus panel,Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: põhirida (MTBDRplus paneel),MTBDRplus paneel,L-2778,,kasutatav_nimetus
MTBDRsl paneel,XXX-MTBDRsl panel,Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: reservrida (MTBDRsl paneel),MTBDRsl paneel,L-2779,,kasutatav_nimetus
MTB-Rif paneel,XXX-MTB-Rif panel,Mükobakterite samastamine ja rifampitsiin-tundlikkus geneetiliste mutatsioonide alusel (MTB-Rif paneel),MTB-Rif paneel,L-2780,,kasutatav_nimetus
Mukopolüsahharidoos II paneel vereplekist (mees),BS-MPS II panel (male),Mukopolüsahharidoos II paneel vereplekist (mees),MPS II paneel vereplekist (mees),L-4522,,t_nimetus
Mukopolüsahharidoos II paneel vereplekist (naine),BS-MPS II panel (female),Mukopolüsahharidoos II paneel vereplekist (naine),MPS II paneel vereplekist (naine),L-4523,,t_nimetus
Mukopolüsahharidoos I paneel vereplekist,BS-MPS I panel,Mukopolüsahharidoos I paneel vereplekist,MPS I paneel vereplekist,79563-3,Bld,t_nimetus
Mukopolüsahharidoos IVa paneel vereplekist,BS-MPS IVa panel,Mukopolüsahharidoos IVa paneel vereplekist,MPS IVa paneel vereplekist,L-4526,,t_nimetus
Mukopolüsahharidoos IVb paneel vereplekist,BS-MPS VIb panel,Mukopolüsahharidoos IVb paneel vereplekist,MPS IVb paneel vereplekist,L-5198,,t_nimetus
Mukopolüsahharidoos VI paneel vereplekist,BS-MPS VI panel,Mukopolüsahharidoos VI paneel vereplekist,MPS VI paneel vereplekist,L-4529,,t_nimetus
mvB-ABB panel,mvB-ABB panel,Happe-aluse tasakaalu uuring segunenud venoosses veres,Happe-aluse tasakaal segunenud venoosses veres,51973-6,Bld,t_lyhend
Mükobakterite külvi (LJg) ja mikroskoopia paneel,"XXX-Mycobacterium culture (LJG), microscopy panel",Mükobakterite külv (Löwenstein-Jensen glütserooliga) ja mikroskoopia (paneel),Mükobakterite külvi (LJg) ja mikroskoopia paneel,L-4410,,kasutatav_nimetus
Mükobakterite külvi (LJg/MGIT) ja mikroskoopia paneel,XXX-Mycobacterium culture panel (m/LJg/MGIT),Mükobakterite külv (Löwenstein-Jensen glütserooliga/MGIT) ja mikroskoopia (paneel),Mükobakterite külvi (LJg/MGIT) ja mikroskoopia paneel,L-3194,,kasutatav_nimetus
Mükobakterite külvi (MGIT) ja mikroskoopia paneel,"XXX-Mycobacterium culture (MGIT), microscopy panel",Mükobakterite külv (MGIT) ja mikroskoopia (paneel),Mükobakterite külvi (MGIT) ja mikroskoopia paneel,L-4411,,kasutatav_nimetus
Mükobakterite külv (Löwenstein-Jensen glütserooliga) ja mikroskoopia (paneel),"XXX-Mycobacterium culture (LJG), microscopy panel",Mükobakterite külv (Löwenstein-Jensen glütserooliga) ja mikroskoopia (paneel),Mükobakterite külvi (LJg) ja mikroskoopia paneel,L-4410,,t_nimetus
Mükobakterite külv (Löwenstein-Jensen glütserooliga/MGIT) ja mikroskoopia (paneel),XXX-Mycobacterium culture panel (m/LJg/MGIT),Mükobakterite külv (Löwenstein-Jensen glütserooliga/MGIT) ja mikroskoopia (paneel),Mükobakterite külvi (LJg/MGIT) ja mikroskoopia paneel,L-3194,,t_nimetus
Mükobakterite külv (MGIT) ja mikroskoopia (paneel),"XXX-Mycobacterium culture (MGIT), microscopy panel",Mükobakterite külv (MGIT) ja mikroskoopia (paneel),Mükobakterite külvi (MGIT) ja mikroskoopia paneel,L-4411,,t_nimetus
Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: põhirida (MTBDRplus paneel),XXX-MTBDRplus panel,Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: põhirida (MTBDRplus paneel),MTBDRplus paneel,L-2778,,t_nimetus
Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: reservrida (MTBDRsl paneel),XXX-MTBDRsl panel,Mükobakterite samastamine ja ravimtundlikkus geneetiliste mutatsioonide alusel: reservrida (MTBDRsl paneel),MTBDRsl paneel,L-2779,,t_nimetus
Mükobakterite samastamine ja rifampitsiin-tundlikkus geneetiliste mutatsioonide alusel (MTB-Rif paneel),XXX-MTB-Rif panel,Mükobakterite samastamine ja rifampitsiin-tundlikkus geneetiliste mutatsioonide alusel (MTB-Rif paneel),MTB-Rif paneel,L-2780,,t_nimetus
Müosiitide IgG paneel (IB),"S,P-Myositis IgG panel IB","Autoimmuunsete müosiitidega seotud IgG seerumis/plasmas (paneel, immunoblot)",Müosiitide IgG paneel (IB),L-3968,,kasutatav_nimetus
"Müosiitide IgG paneel II (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g)","S,P-Myositis IgG panel II","Autoimmuunsete müosiitidega seotud IgG (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g) seerumis/plasmas (paneel II)","Müosiitide IgG paneel II (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g)",L-4173,,kasutatav_nimetus
"Müosiitide IgG paneel (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52)","S,P-Myositis IgG panel","Autoimmuunsete müosiitidega seotud IgG (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52) seerumis/plasmas (paneel)","Müosiitide IgG paneel (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52)",L-2939,,kasutatav_nimetus
Mycoplasma hominis ja Ureaplasma sp. külvi paneel,"XXX-M hominis, Ureaplasma sp. culture panel",Mycoplasma hominis ja Ureaplasma sp. külv täpsustamata materjalist (paneel),Mycoplasma hominis ja Ureaplasma sp. külvi paneel,L-4832,,kasutatav_nimetus
Mycoplasma hominis ja Ureaplasma sp. külv täpsustamata materjalist (paneel),"XXX-M hominis, Ureaplasma sp. culture panel",Mycoplasma hominis ja Ureaplasma sp. külv täpsustamata materjalist (paneel),Mycoplasma hominis ja Ureaplasma sp. külvi paneel,L-4832,,t_nimetus
NaCl infusion test,NaCl infusion test,NaCl infusioonitest (mahukoormustest),Mahukoormustest,L-3490,,t_lyhend
NaCl infusioonitest (mahukoormustest),NaCl infusion test,NaCl infusioonitest (mahukoormustest),Mahukoormustest,L-3490,,t_nimetus
Nahakaape mikroskoopia (kaaliumhüdroksiid) paneel,Skin-KOH-m panel,Nahakaape mikroskoopia (kaaliumhüdroksiid) paneel,Nahakaape mikroskoopia (KOH),L-5337,,t_nimetus
Nahakaape mikroskoopia (KOH),Skin-KOH-m,Nahakaape mikroskoopia (kaaliumhüdroksiid),Nahakaape mikroskoopia (KOH),644-5,Skin,kasutatav_nimetus
Nahakaape mikroskoopia (KOH),Skin-KOH-m panel,Nahakaape mikroskoopia (kaaliumhüdroksiid) paneel,Nahakaape mikroskoopia (KOH),L-5337,,kasutatav_nimetus
Nahaseente DNA ja mikroskoopia (KOH) paneel,"XXX-Dermatophytes DNA, Dermatophytes-m (KOH) panel",Nahaseente DNA paneel I ja mikroskoopia (kaaliumhüdroksiid) täpsustamata materjalis,Nahaseente DNA ja mikroskoopia (KOH) paneel,L-5336,,kasutatav_nimetus
Nahaseente DNA paneel I,XXX-Dermatophytes DNA panel I,"Nahaseente (T rubrum, nahaseente) DNA (paneel I)",Nahaseente DNA paneel I,L-2698,,kasutatav_nimetus
Nahaseente DNA (paneel II),XXX-Dermatophytes DNA panel II,Nahaseente DNA (paneel II),Nahaseente DNA paneel II,L-3446,,t_nimetus
Nahaseente DNA paneel II,XXX-Dermatophytes DNA panel II,Nahaseente DNA (paneel II),Nahaseente DNA paneel II,L-3446,,kasutatav_nimetus
Nahaseente DNA paneel III,XXX-Dermatophytes DNA panel III,"Nahaseente (T rubrum, E floccosum, M canis, nahaseente) DNA (paneel III)",Nahaseente DNA paneel III,L-4377,,kasutatav_nimetus
Nahaseente DNA paneel I ja mikroskoopia (kaaliumhüdroksiid) täpsustamata materjalis,"XXX-Dermatophytes DNA, Dermatophytes-m (KOH) panel",Nahaseente DNA paneel I ja mikroskoopia (kaaliumhüdroksiid) täpsustamata materjalis,Nahaseente DNA ja mikroskoopia (KOH) paneel,L-5336,,t_nimetus
Nahaseente mikroskoopia (KOH),XXX-Dermathophytes-m panel (KOH),"Nahaseente mikroskoopia täpsustamata materjalist (KOH, paneel)",Nahaseente mikroskoopia (KOH),L-4547,,kasutatav_nimetus
"Nahaseente mikroskoopia täpsustamata materjalist (KOH, paneel)",XXX-Dermathophytes-m panel (KOH),"Nahaseente mikroskoopia täpsustamata materjalist (KOH, paneel)",Nahaseente mikroskoopia (KOH),L-4547,,t_nimetus
"Nahaseente (T rubrum, E floccosum, M canis, nahaseente) DNA (paneel III)",XXX-Dermatophytes DNA panel III,"Nahaseente (T rubrum, E floccosum, M canis, nahaseente) DNA (paneel III)",Nahaseente DNA paneel III,L-4377,,t_nimetus
"Nahaseente (T rubrum, nahaseente) DNA (paneel I)",XXX-Dermatophytes DNA panel I,"Nahaseente (T rubrum, nahaseente) DNA (paneel I)",Nahaseente DNA paneel I,L-2698,,t_nimetus
Neuronaalsete antigeenide Ab paneel (IIF),"S,P-Neuron Ab panel IIF","Neuronaalsete antigeenide vastased antikehad seerumis/plasmas (paneel, kaudne immunofluorestsents)",Neuronaalsete antigeenide Ab paneel (IIF),L-3177,,kasutatav_nimetus
Neuronaalsete antigeenide Ab paneel  liikvoris (IIF),CSF-Neuron Ab panel IIF,"Neuronaalsete antigeenide vastased antikehad liikvoris (paneel, kaudne immunofluorestents)",Neuronaalsete antigeenide Ab paneel  liikvoris (IIF),L-3574,,kasutatav_nimetus
Neuronaalsete antigeenide IgG paneel (IB),"S,P-Neuron IgG panel IB","Neuronaalsete antigeenide vastane IgG seerumis/plasmas (paneel, immunoblot)",Neuronaalsete antigeenide IgG paneel (IB),L-2975,,kasutatav_nimetus
"Neuronaalsete antigeenide IgG paneel II (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65)","S,P-Neuron IgG panel II","Neuronaalsete antigeenide vastane IgG (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65) seerumis/plasmas (paneel II)","Neuronaalsete antigeenide IgG paneel II (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65)",L-3785,,kasutatav_nimetus
"Neuronaalsete antigeenide vastane IgG (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65) seerumis/plasmas (paneel II)","S,P-Neuron IgG panel II","Neuronaalsete antigeenide vastane IgG (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65) seerumis/plasmas (paneel II)","Neuronaalsete antigeenide IgG paneel II (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65)",L-3785,,t_nimetus
"Neuronaalsete antigeenide vastane IgG seerumis/plasmas (paneel, immunoblot)","S,P-Neuron IgG panel IB","Neuronaalsete antigeenide vastane IgG seerumis/plasmas (paneel, immunoblot)",Neuronaalsete antigeenide IgG paneel (IB),L-2975,,t_nimetus
"Neuronaalsete antigeenide vastased antikehad liikvoris (paneel, kaudne immunofluorestents)",CSF-Neuron Ab panel IIF,"Neuronaalsete antigeenide vastased antikehad liikvoris (paneel, kaudne immunofluorestents)",Neuronaalsete antigeenide Ab paneel  liikvoris (IIF),L-3574,,t_nimetus
"Neuronaalsete antigeenide vastased antikehad seerumis/plasmas (paneel, kaudne immunofluorestsents)","S,P-Neuron Ab panel IIF","Neuronaalsete antigeenide vastased antikehad seerumis/plasmas (paneel, kaudne immunofluorestsents)",Neuronaalsete antigeenide Ab paneel (IIF),L-3177,,t_nimetus
"Neurotransmitterid (biogeensed amiidid) liikvoris (paneel, HPLC)",CSF-Neurotransmitters panel HPLC,"Neurotransmitterid (biogeensed amiidid) liikvoris (paneel, HPLC)",Neurotransmitterite paneel liikvoris (HPLC),L-3186,,t_nimetus
Neurotransmitterite paneel liikvoris (HPLC),CSF-Neurotransmitters panel HPLC,"Neurotransmitterid (biogeensed amiidid) liikvoris (paneel, HPLC)",Neurotransmitterite paneel liikvoris (HPLC),L-3186,,kasutatav_nimetus
"Neutrofiilide tsütoplasma vastane IgG (cANCA, pANCA) seerumis/plasmas (paneel III)","S,P-ANCA IgG panel III","Neutrofiilide tsütoplasma vastane IgG (cANCA, pANCA) seerumis/plasmas (paneel III)","ANCA IgG paneel III (cANCA, pANCA)",L-4415,,t_nimetus
"Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, ELISA)","S,P-ANCA IgG panel ELISA","Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, ELISA)",ANCA IgG paneel (ELISA),L-2727,,t_nimetus
"Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)","S,P-ANCA IgG panel IIF","Neutrofiilide tsütoplasma vastane IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",ANCA IgG paneel (IIF),L-3174,,t_nimetus
NK-rakkude (CD57) arv ja suhtarv täpsustamata materjalis (paneel),XXX-CD57 panel,NK-rakkude (CD57) arv ja suhtarv täpsustamata materjalis (paneel),NK-rakkude (CD57) paneel,L-5340,,t_nimetus
NK-rakkude (CD57) paneel,XXX-CD57 panel,NK-rakkude (CD57) arv ja suhtarv täpsustamata materjalis (paneel),NK-rakkude (CD57) paneel,L-5340,,kasutatav_nimetus
Normoblastide paneel,B-NRBC panel,Normoblastid (paneel),Normoblastide paneel,L-2738,,kasutatav_nimetus
Normoblastid (paneel),B-NRBC panel,Normoblastid (paneel),Normoblastide paneel,L-2738,,t_nimetus
NTM-DR paneel,XXX-NTM-DR panel,Mittetuberkuloossete mükobakterite samastamise ja ravimtundlikkus geneetiliste mutatsioonide alusel NTM-DR (paneel),NTM-DR paneel,L-3817,,kasutatav_nimetus
Oligoklonaalne IgG liikvoris,CSF-IgG-oligo,Oligoklonaalne immuunglobuliin G liikvoris,Oligoklonaalne IgG liikvoris,56764-4,CSF,kasutatav_nimetus
Oligoklonaalne IgG liikvoris,CSF-IgG-oligo panel,Oligoklonaalne immuunglobuliin G liikvoris (paneel),Oligoklonaalne IgG liikvoris,L-2505,,kasutatav_nimetus
Oligoklonaalne immuunglobuliin G liikvoris (paneel),CSF-IgG-oligo panel,Oligoklonaalne immuunglobuliin G liikvoris (paneel),Oligoklonaalne IgG liikvoris,L-2505,,t_nimetus
Oomega-3 rasvhapete paneel,"S,P-Omega-3 panel","Oomega-3 rasvhapped (ALA, EPA, DHA) seerumis/plasmas (paneel)",Oomega-3 rasvhapete paneel,L-4378,,kasutatav_nimetus
"Oomega-3 rasvhapped (ALA, EPA, DHA) seerumis/plasmas (paneel)","S,P-Omega-3 panel","Oomega-3 rasvhapped (ALA, EPA, DHA) seerumis/plasmas (paneel)",Oomega-3 rasvhapete paneel,L-4378,,t_nimetus
Oomega-6 rasvhapete paneel,"S,P-Omega-6 panel","Oomega-6 rasvhapped (AA, GLA, BHGLA, LA) seerumis/plasmas (paneel)",Oomega-6 rasvhapete paneel,L-4379,,kasutatav_nimetus
"Oomega-6 rasvhapped (AA, GLA, BHGLA, LA) seerumis/plasmas (paneel)","S,P-Omega-6 panel","Oomega-6 rasvhapped (AA, GLA, BHGLA, LA) seerumis/plasmas (paneel)",Oomega-6 rasvhapete paneel,L-4379,,t_nimetus
"Otsene antiglobuliintest (tüpiseerimine, paneel)",B-DAT typ panel,"Otsene antiglobuliintest (tüpiseerimine, paneel)",DAT tüpiseerimise paneel,L-5209,,t_nimetus
Paastutest,Fasting test,Paastutest,Paastutest,L-3489,,t_nimetus
PANDAS IgG paneel,"S,P-PANDAS IgG panel",PANDAS-sündroomiga seotud IgG seerumis/plasmas (paneel),PANDAS IgG paneel,L-4282,,kasutatav_nimetus
PANDAS-sündroomiga seotud IgG seerumis/plasmas (paneel),"S,P-PANDAS IgG panel",PANDAS-sündroomiga seotud IgG seerumis/plasmas (paneel),PANDAS IgG paneel,L-4282,,t_nimetus
Parasiitide mikroskoopia roojast (formaliineeter),St-Parasites-m (formalin-aether),Parasiitide mikroskoopia roojast (formaliineeter),Parasiitide mikroskoopia roojast (formaliineeter),10701-1,Urine,kasutatav_nimetus
Parasiitide mikroskoopia roojast (formaliineeter),St-Parasites-m panel (formalin-aether),"Parasiitide mikroskoopia roojast (formaliineeter, paneel)",Parasiitide mikroskoopia roojast (formaliineeter),L-4548,,kasutatav_nimetus
"Parasiitide mikroskoopia roojast (formaliineeter, paneel)",St-Parasites-m panel (formalin-aether),"Parasiitide mikroskoopia roojast (formaliineeter, paneel)",Parasiitide mikroskoopia roojast (formaliineeter),L-4548,,t_nimetus
Parasiitide uuringupaneel,XXX-Parasites panel,Parasiitide uuringupaneel täpsustamata materjalist,Parasiitide uuringupaneel,L-4539,,kasutatav_nimetus
Parasiitide uuringupaneel täpsustamata materjalist,XXX-Parasites panel,Parasiitide uuringupaneel täpsustamata materjalist,Parasiitide uuringupaneel,L-4539,,t_nimetus
Parietaalrakkude ja sisemise faktori vastane IgG seerumis/plasmas (paneel),"S,P-PCA, IF IgG panel",Parietaalrakkude ja sisemise faktori vastane IgG seerumis/plasmas (paneel),"PCA, sisemise faktori IgG paneel",L-3172,,t_nimetus
Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH panel Fc,Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH paneel (voolutsütomeetria),55164-8,Bld,t_nimetus
"PCA, sisemise faktori IgG paneel","S,P-PCA, IF IgG panel",Parietaalrakkude ja sisemise faktori vastane IgG seerumis/plasmas (paneel),"PCA, sisemise faktori IgG paneel",L-3172,,kasutatav_nimetus
pDiaF-Cells,pDiaF-Cells,Peritoneaaldialüüsivedeliku tsütoos,Peritoneaaldialüüsivedeliku tsütoos,L-3651,,t_lyhend
pDiaF-Diff a,pDiaF-Diff a,Peritoneaaldialüüsivedeliku tsütogramm (analüsaatoril),Peritoneaaldialüüsivedeliku tsütogramm analüsaatoril,60587-3,Dial fld prt,t_lyhend
Peitvere paneel roojas,St-Hb panel,Peitveri roojas (paneel),Peitvere paneel roojas,L-3758,,kasutatav_nimetus
Peitveri roojas (paneel),St-Hb panel,Peitveri roojas (paneel),Peitvere paneel roojas,L-3758,,t_nimetus
Pentagastriintest,Pentagastrintest,Pentagastriintest,Pentagastriintest,L-3478,,t_nimetus
Pentagastrintest,Pentagastrintest,Pentagastriintest,Pentagastriintest,L-3478,,t_lyhend
Perekonnas kirjeldatud mutatsioonide paneel lähisugulasel,B-xxx mut panel,Perekonnas kirjeldatud mutatsioonid lähisugulasel (paneel),Perekonnas kirjeldatud mutatsioonide paneel lähisugulasel,L-2770,,kasutatav_nimetus
Perekonnas kirjeldatud mutatsioonid lähisugulasel (paneel),B-xxx mut panel,Perekonnas kirjeldatud mutatsioonid lähisugulasel (paneel),Perekonnas kirjeldatud mutatsioonide paneel lähisugulasel,L-2770,,t_nimetus
Perikardivedeliku tsütogramm,PrcF-Diff,Perikardivedeliku tsütogramm,Perikardivedeliku tsütogramm,L-925,,t_nimetus
Perikardivedeliku tsütogramm (analüsaator),PrcF-Diff a,Perikardivedeliku tsütogramm (analüsaator),Perikardivedeliku tsütogramm analüsaatoril,L-924,,t_nimetus
Perikardivedeliku tsütogramm analüsaatoril,PrcF-Diff a,Perikardivedeliku tsütogramm (analüsaator),Perikardivedeliku tsütogramm analüsaatoril,L-924,,kasutatav_nimetus
Perikardivedeliku tsütoos,PrcF-Cells,Perikardivedeliku tsütoos,Perikardivedeliku tsütoos,L-2756,,kasutatav_nimetus
Peritoneaaldialüüsivedeliku tsütogramm analüsaatoril,pDiaF-Diff a,Peritoneaaldialüüsivedeliku tsütogramm (analüsaatoril),Peritoneaaldialüüsivedeliku tsütogramm analüsaatoril,60587-3,Dial fld prt,kasutatav_nimetus
Peritoneaaldialüüsivedeliku tsütogramm (analüsaatoril),pDiaF-Diff a,Peritoneaaldialüüsivedeliku tsütogramm (analüsaatoril),Peritoneaaldialüüsivedeliku tsütogramm analüsaatoril,60587-3,Dial fld prt,t_nimetus
Peritoneaaldialüüsivedeliku tsütoos,pDiaF-Cells,Peritoneaaldialüüsivedeliku tsütoos,Peritoneaaldialüüsivedeliku tsütoos,L-3651,,kasutatav_nimetus
P-HCV NS3 mut panel,P-HCV NS3 mut panel,C-hepatiidi viiruse resistentsusmutatsioonid NS3 piirkonnas (paneel),HCV NS3 resistentsusmutatsioonide paneel,L-4636,,t_lyhend
P-HCV NS5A mut panel,P-HCV NS5A mut panel,C-hepatiidi viiruse resistentsusmutatsioonid NS5A piirkonnas (paneel),HCV NS5A resistentsusmutatsioonide paneel,L-4988,,t_lyhend
P-HIV1 res mut panel,P-HIV1 res mut panel,Inimese immuunpuudulikkuse viiruse 1. tüübi resistentsusmutatsioonid antiretroviirusravimite suhtes (paneel),HIV1 resitentsusmutatsioonide paneel,L-4434,,t_lyhend
P-Kõrvetiste pakett,P-Kõrvetiste pakett,Kõrvetiste pakett,Kõrvetiste pakett,L-5255,,t_lyhend
P-LA conf panel,P-LA conf panel,"Luupusantikoagulandid plasmas (kinnitav uuring, paneel)","Luupusantikoagulandid (kinnitav uuring, paneel)",L-4391,,t_lyhend
Pleuravedeliku põhiuuring,PlrF panel,Pleuravedeliku põhiuuring (paneel),Pleuravedeliku põhiuuring,L-4499,,kasutatav_nimetus
Pleuravedeliku põhiuuring (paneel),PlrF panel,Pleuravedeliku põhiuuring (paneel),Pleuravedeliku põhiuuring,L-4499,,t_nimetus
Pleuravedeliku tsütogramm,PlrF-Diff,Pleuravedeliku tsütogramm,Pleuravedeliku tsütogramm,29583-2,Plr fld,kasutatav_nimetus
Pleuravedeliku tsütogramm (analüsaator),PlrF-Diff a,Pleuravedeliku tsütogramm (analüsaator),Pleuravedeliku tsütogramm analüsaatoril,34561-1,Plr fld,t_nimetus
Pleuravedeliku tsütogramm analüsaatoril,PlrF-Diff a,Pleuravedeliku tsütogramm (analüsaator),Pleuravedeliku tsütogramm analüsaatoril,34561-1,Plr fld,kasutatav_nimetus
Pleuravedeliku tsütoos,PlrF-Cells,Pleuravedeliku tsütoos,Pleuravedeliku tsütoos,L-2150,,kasutatav_nimetus
PlrF-Cells,PlrF-Cells,Pleuravedeliku tsütoos,Pleuravedeliku tsütoos,L-2150,,t_lyhend
PlrF-Diff,PlrF-Diff,Pleuravedeliku tsütogramm,Pleuravedeliku tsütogramm,29583-2,Plr fld,t_lyhend
PlrF-Diff a,PlrF-Diff a,Pleuravedeliku tsütogramm (analüsaator),Pleuravedeliku tsütogramm analüsaatoril,34561-1,Plr fld,t_lyhend
PlrF panel,PlrF panel,Pleuravedeliku põhiuuring (paneel),Pleuravedeliku põhiuuring,L-4499,,t_lyhend
