parameter_name,t_lyhend,loinc_code,substrate,evidence
P-fT3,"S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
P-fT4,"S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
P-GGT,"S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
P-Gluc,"S,P-Gluc",14749-6,Ser/Plas,latest_prefix_cases
P- Gluc,"S,P-Gluc",14749-6,Ser/Plas,latest_prefix_cases
P-GTTgrv,GTT (pregnancy),L-3469,,latest_name_cases
P-HCVgenot,"S,P-HCV genot",32286-7,Ser/Plas,latest_prefix_cases
P-Hcy,"S,P-Hcy",13965-9,Ser/Plas,latest_prefix_cases
P-HDL-Chol,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_manual_cases
pH(pH),U-pH strip,50560-2,Urine,latest_parentheses_one_cases
Piperatsilliin+tasobaktaam(Piperatsilliin+tasobaktaam),Is-Piperacillin+Tazobactam,18970-4,Isolate,latest_parentheses_one_cases
P-K,"S,P-K",2823-3,Ser/Plas,latest_prefix_cases
P-K Kaalium,"S,P-K",2823-3,Ser/Plas,latest_manual_cases
P-K kaalium,"S,P-K",2823-3,Ser/Plas,latest_manual_cases
P-Lac,P-Lac,2524-7,Ser/Plas,latest_prefix_cases
P-LC(P-LCR),B-LCR,48386-7,Bld,latest_prefix_cases
PLCR,B-LCR,48386-7,Bld,latest_manual_cases
P-LCR,B-LCR,48386-7,Bld,latest_prefix_cases
P-LCR(P-LCR),B-LCR,48386-7,Bld,latest_prefix_cases
P-LCR(Suurte trombotsuutidearvu suhe trombotsuutide koguarvusse),B-LCR,48386-7,Bld,latest_prefix_cases
P-LCR(trombots.suurtevormidesuhtarv),B-LCR,48386-7,Bld,latest_prefix_cases
P-LDH (laktaadi dehudrogenaas),"S,P-LDH",14805-6,Ser/Plas,latest_manual_cases
P-LDL-Chol,"S,P-LDL-Chol",22748-8,Ser/Plas,latest_manual_cases
PL(PLT),B-Plt,777-3,Bld,latest_semimanual_cases
plrf-amyl,PlrF-Amyl,1796-2,Plr fld,latest_name_cases
PlrF-DiffA(Pleuravedeliku tsutoosi uuring analusaatoril),PlrF-Diff a,34561-1,Plr fld,latest_parentheses_one_cases
plrf-gluc,PlrF-Gluc,14747-0,Plr fld,latest_name_cases
plrf-lac,PlrF-Lac,2522-1,Plr fld,latest_name_cases
plrf-ldh,PlrF-LDH,60021-3,Plr fld,latest_name_cases
plrf-prot,PlrF-Prot,2882-9,Plr fld,latest_name_cases
PlrF-Prot(pleuravedelikus),PlrF-Prot,2882-9,Plr fld,latest_parentheses_one_cases
plrf-sg,PlrF-SG,14349-5,Plr fld,latest_name_cases
plrf-trigl,PlrF-Trigl,39801-6,Plr fld,latest_name_cases
PLT,B-Plt,777-3,Bld,latest_prefix_cases
PLT(PLT),B-Plt,777-3,Bld,latest_semimanual_cases
PLT_Trombots????did,B-Plt,777-3,Bld,latest_completely_manual_cases
PLT_Trombots??????did,B-Plt,777-3,Bld,latest_manual_cases
PLT Trombotsuudid,B-Plt,777-3,Bld,latest_manual_cases
PLT(Trombotsuudid),B-Plt,777-3,Bld,latest_semimanual_cases
PLT(Trombotsuutide arv),B-Plt,777-3,Bld,latest_semimanual_cases
P-Myogl,"S,P-Myogl",2639-3,Ser/Plas,latest_prefix_cases
P-Na,"S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
P-Na Naatrium,"S,P-Na",2951-2,Ser/Plas,latest_manual_cases
P-NT-proBNP,"S,P-NT-proBNP",33762-6,Ser/Plas,latest_prefix_cases
P-Oxcarb,"S,P-Oxcarb",35331-8,Ser/Plas,latest_prefix_cases
P-P,"S,P-P",14879-1,Ser/Plas,latest_prefix_cases
P-PCT,"S,P-PCT",33959-8,Ser/Plas,latest_prefix_cases
p(pH),U-pH strip,50560-2,Urine,latest_parentheses_two_cases
p-pt%,P-PT-INR,L-178,,latest_prefix_cases
P-PTH,"S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
p-pt-inr,P-PT-INR,L-178,,latest_name_cases
PrcF-DiffA(Perikardivedeliku tsutoosi uuring analusaatoril),PrcF-Diff a,L-924,,latest_parentheses_one_cases
PrcF-Prot(perikardivedelikus),PrcF-Prot,33407-8,Pericard fld,latest_name_cases
Prealbumiin,"S,P-PreAlb",14338-8,Ser/Plas,latest_completely_manual_cases
Prealbumiin Seerumis,"S,P-PreAlb",14338-8,Ser/Plas,latest_completely_manual_cases
P-RF,"S,P-RF",11572-5,Bld,latest_prefix_cases
Pristinamutsiin(Pristinamutsiin),Is-Pristinamycin,32383-2,Isolate,latest_parentheses_one_cases
Pristinamutsii(Pristinamutsiin),Is-Pristinamycin,32383-2,Isolate,latest_parentheses_two_cases
Prostataspetsiifiline antigeen,"S,P-PSA",2857-1,Ser/Plas,latest_name_cases
Protrombiini suhe(Protrombiini suhe),P-PT%,3289-6,PPP,latest_parentheses_one_cases
pt-ivy,Pt-Ivy,3179-9,^Patient,latest_name_cases
P-TPOIgG,"S,P-TPO IgG",8099-4,Ser/Plas,latest_prefix_cases
P-Transf,"S,P-Transf",3034-6,Ser/Plas,latest_prefix_cases
P-TSH,"S,P-TSH",3016-3,Ser/Plas,latest_prefix_cases
P-UA,"S,P-UA",14933-6,Ser/Plas,latest_prefix_cases
P-Urea,"S,P-Urea",22664-7,Ser/Plas,latest_prefix_cases
P-Urea Uurea plasmas,"S,P-Urea",22664-7,Ser/Plas,latest_manual_cases
P-VitB12,"S,P-Vit B12",14685-2,Bld,latest_prefix_cases
Rasvsilindrid(Rasvsilindrid),U-Rasvsilindrid,67813-6,Urine,latest_parentheses_one_cases
Rasvsilindri(Rasvsilindrid),U-Rasvsilindrid,67813-6,Urine,latest_parentheses_two_cases
RBC,B-RBC,789-8,Bld,latest_prefix_cases
"RBC, 10^12/L",B-RBC,789-8,Bld,latest_manual_cases
RBC Erutrotsuudid,B-Rbc,789-8,Bld,latest_manual_cases
rbc-fol,RBC-Fol,14731-4,Bld,latest_name_cases
RBC(RBC),B-RBC,789-8,Bld,latest_parentheses_one_cases
RB(RBC),B-RBC,789-8,Bld,latest_parentheses_two_cases
RDW %,B-RDW-CV,788-0,Bld,latest_manual_cases
RDW%,B-RDW-CV,788-0,Bld,latest_manual_cases
"RDW, CV",B-RDW-CV,788-0,Bld,latest_manual_cases
RET???,B-Ret%,17849-1,Bld,latest_manual_cases
RET%(RET%),B-Ret%,17849-1,Bld,latest_parentheses_one_cases
Rh (D),B-RhD,978-7,Bld,latest_parentheses_three_cases
Rh(D),B-RhD,978-7,Bld,latest_parentheses_three_cases
Rifampitsiin(Rifampitsiin),Is-Rifampin,18974-6,Isolate,latest_parentheses_one_cases
S-17-OHP,"S,P-17-OHP",14569-8,Ser/Plas,latest_prefix_cases
S2-fPSA(vaba prostataspetsiifiline antigeen),"S,P-fPSA",10886-0,Ser/Plas,latest_parentheses_two_cases
S-AAT,"S,P-AAT",1825-9,Ser/Plas,latest_prefix_cases
S-ACE,"S,P-ACE",2742-5,Ser/Plas,latest_prefix_cases
S-AFP,"S,P-AFP",53961-9,Ser/Plas,latest_prefix_cases
S-ALAT,"S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
S-Alb,"S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
S-alb,"S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
S-Albumiin (Kõrgtundlik),"S,P-Alb-hs",1751-7,Ser/Plas,latest_completely_manual_cases
S-Aldo,"S,P-Aldo",1763-2,Ser/Plas,latest_prefix_cases
S-ALP,"S,P-ALP",6768-6,Ser/Plas,latest_prefix_cases
S-ALP2S,"S,P-ALP",6768-6,Ser/Plas,latest_prefix_cases
S-ALT,"S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
S-Amyl,"S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
S-.Amyl.,"S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
S-Amyl-2,"S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
S-Androst,S-Androst,14603-5,Ser/Plas,latest_prefix_cases
S-AOS,"S,P-ASO",5370-2,Bld,latest_prefix_cases
Sarapuu (T4),"S,P-T4",14921-1,Ser/Plas,latest_parentheses_two_cases
S-ASAT,"S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
S-ASO,"S,P-ASO",5370-2,Bld,latest_prefix_cases
S-AST,"S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
S-B12,"S,P-Vit B12",14685-2,Bld,latest_prefix_cases
S-b2-M,"S,P-b2-M",1952-1,Bld,latest_prefix_cases
S-Bil,"S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
S-Bil ,"S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
s-Bil,"S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
S-Bil-conj,"S,P-Bil-conj",14629-0,Ser/Plas,latest_prefix_cases
S-Bil-unconj,"S,P-Bil-unconj",14630-8,Ser/Plas,latest_prefix_cases
S-C3,"S,P-C3",4485-9,Ser/Plas,latest_prefix_cases
S-C4,"S,P-C4",4498-2,Ser/Plas,latest_prefix_cases
S-CA,"S,P-Ca",2000-8,Ser/Plas,latest_prefix_cases
S-Ca,"S,P-Ca",2000-8,Ser/Plas,latest_prefix_cases
S-CA125,"S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
S-CA 125,"S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
S-Ca125,"S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
S-CA 15-3,"S,P-CA 15-3",6875-9,Ser/Plas,latest_prefix_cases
S-CA15-3,"S,P-CA 15-3",6875-9,Ser/Plas,latest_prefix_cases
S-Ca15-3,"S,P-CA 15-3",6875-9,Ser/Plas,latest_prefix_cases
S-CA 19-9,"S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
S-CA19-9,"S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
S-Ca19-9,"S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
S-CA 72-4,"S,P-CA 72-4",2015-6,Ser/Plas,latest_prefix_cases
S-CA72-4,"S,P-CA 72-4",2015-6,Ser/Plas,latest_prefix_cases
S-Carba,"S,P-Carba",3432-2,Ser/Plas,latest_prefix_cases
S-CEA,"S,P-CEA",2039-6,Ser/Plas,latest_prefix_cases
S-CEA ,"S,P-CEA",2039-6,Ser/Plas,latest_prefix_cases
S-Cea,"S,P-CEA",2039-6,Ser/Plas,latest_prefix_cases
S-Cer,"S,P-Cer",2064-4,Ser/Plas,latest_prefix_cases
S-Chol,"S,P-Chol",14647-2,Ser/Plas,latest_prefix_cases
S-Chol.,"S,P-Chol",14647-2,Ser/Plas,latest_prefix_cases
S-CK,"S,P-CK",2157-6,Ser/Plas,latest_prefix_cases
S-CK-MB,"S,P-CK-MB",32673-6,Ser/Plas,latest_prefix_cases
S-CK-MBa,"S,P-CK-MB",32673-6,Ser/Plas,latest_name_cases
S-CK-MBm,"S,P-CK-MBm",13969-1,Ser/Plas,latest_prefix_cases
S-Cl,"S,P-Cl",2075-0,Ser/Plas,latest_prefix_cases
S-Cl ,"S,P-Cl",2075-0,Ser/Plas,latest_prefix_cases
S-Cort,"S,P-Cort",14675-3,Ser/Plas,latest_prefix_cases
S-Cort ,"S,P-Cort",14675-3,Ser/Plas,latest_prefix_cases
S-C-pept,"S,P-C-pept",14633-2,Ser/Plas,latest_prefix_cases
S-C-pept ,"S,P-C-pept",14633-2,Ser/Plas,latest_prefix_cases
S-Crea,"S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
S-Crea ,"S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
S-Crea:,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
S-Creat,"S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
S-CRP,"S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
S-CRP ,"S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
S-CRP-hs,"S,P-CRP-hs",30522-7,Ser/Plas,latest_prefix_cases
S-CT,"S,P-CT",15035-9,Ser/Plas,latest_prefix_cases
S-cTnT-hs,"S,P-cTnT-hs",67151-1,Ser/Plas,latest_prefix_cases
S-DHEAS,"S,P-DHEAS",14688-6,Ser/Plas,latest_prefix_cases
S-Digox,"S,P-Digox",10535-3,Ser/Plas,latest_prefix_cases
S-E2,"S,P-E2",14715-7,Ser/Plas,latest_prefix_cases
S-E2 ,"S,P-E2",14715-7,Ser/Plas,latest_prefix_cases
Segmenttuumsedneutrofiilid,B-Segmenttuumsed neutrofiilid %,26505-8,Bld,latest_prefix_cases
S-EPO,"S,P-EPO",15061-5,Ser/Plas,latest_prefix_cases
S-Epo,"S,P-EPO",15061-5,Ser/Plas,latest_prefix_cases
S-ETOH,"S,P-EtOH",5643-2,Ser/Plas,latest_prefix_cases
S-EtOH,"S,P-EtOH",5643-2,Ser/Plas,latest_prefix_cases
S-FAI,"S,P-FAI",24125-7,Ser/Plas,latest_prefix_cases
S-FE,"S,P-Fe",14798-3,Ser/Plas,latest_prefix_cases
S-Fe,"S,P-Fe",14798-3,Ser/Plas,latest_prefix_cases
S-Fer,"S,P-Fer",2276-4,Ser/Plas,latest_prefix_cases
S-Fol,"S,P-Fol",14732-2,Ser/Plas,latest_prefix_cases
S-FPSA,"S,P-fPSA",10886-0,Ser/Plas,latest_prefix_cases
S-fPSA,"S,P-fPSA",10886-0,Ser/Plas,latest_prefix_cases
S-fPSA%,"S,P-fPSA%",12841-3,Ser/Plas,latest_prefix_cases
S-FSH,"S,P-FSH",15067-2,Ser/Plas,latest_prefix_cases
S-FT3,"S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
S-fT3,"S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
S-fT3 ,"S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
S-FT4,"S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
S-fT4,"S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
S-fT4 ,"S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
S-GGT,"S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
S-GH,"S,P-GH",2963-7,Ser/Plas,latest_prefix_cases
S-Gluc,"S,P-Gluc",14749-6,Ser/Plas,latest_prefix_cases
S-Hapto,"S,P-Hapto",4542-7,Ser/Plas,latest_prefix_cases
S-hCG,"S,P-hCG",19080-1,Ser/Plas,latest_prefix_cases
S-HDL,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
S-HDL-Chol,"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
S-HDL-Chol(HDL kolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
S-HDL-Chol(HDLkolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
S-HDL(Korge tihedusega lipoproteiini kolesterool),"S,P-HDL-Chol",14646-4,Ser/Plas,latest_prefix_cases
S-HE4,"S,P-HE4",55180-4,Bld,latest_prefix_cases
S-hGH,"S,P-GH",2963-7,Ser/Plas,latest_name_cases
S-iCa,"S,P-iCa",12180-6,Ser/Plas,latest_prefix_cases
S-IgA,"S,P-IgA",2458-8,Bld,latest_prefix_cases
S-IgE,"S,P-IgE",19113-0,Bld,latest_prefix_cases
S-IGF-1,"S,P-IGF-1",2484-4,Ser/Plas,latest_prefix_cases
S-IgG,"S,P-IgG",2465-3,Bld,latest_prefix_cases
S-IgM,"S,P-IgM",2472-9,Bld,latest_prefix_cases
S-IL-6,"S,P-IL-6",26881-3,Ser/Plas,latest_prefix_cases
S-INS,"S,P-Ins",20448-7,Ser/Plas,latest_prefix_cases
S-Ins,"S,P-Ins",20448-7,Ser/Plas,latest_prefix_cases
S-K,"S,P-K",2823-3,Ser/Plas,latest_prefix_cases
S-K ,"S,P-K",2823-3,Ser/Plas,latest_prefix_cases
S-Lamotr,"S,P-Lamotr",6948-4,Ser/Plas,latest_prefix_cases
S-LDH,"S,P-LDH",14805-6,Ser/Plas,latest_prefix_cases
S-LDL,"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
S-LDL-Chol,"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
S-LDL-Chol(LDLkolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
S-LDL(Madala tihedusega lipoproteiini kolesterool),"S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
S-LH,"S,P-LH",10501-5,Ser/Plas,latest_prefix_cases
S-LH ,"S,P-LH",10501-5,Ser/Plas,latest_prefix_cases
S-Li,"S,P-Li",14334-7,Ser/Plas,latest_prefix_cases
S-Liikvori- Ja Seerumialbumiini Suhe,CSF-Alb/S-Alb,1756-6,Plas+CSF,latest_completely_manual_cases
S-Lip,"S,P-Lip",3040-3,Ser/Plas,latest_prefix_cases
S-Mg,"S,P-Mg",2601-3,Ser/Plas,latest_prefix_cases
S-Myogl,"S,P-Myogl",2639-3,Ser/Plas,latest_prefix_cases
S-Na,"S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
S-Na ,"S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
S-NT-proBNP,"S,P-NT-proBNP",33762-6,Ser/Plas,latest_prefix_cases
S-P,"S,P-P",14879-1,Ser/Plas,latest_prefix_cases
"s,p-17-OHP(17-alfa-hudroksu-progesteroon)","S,P-17-OHP",14569-8,Ser/Plas,latest_parentheses_one_cases
"s,p-AA(Alfa-1-antitrupsiin)","S,P-AAT",1825-9,Ser/Plas,latest_prefix_cases
"s,p-AAT(Alfa-1-antitrupsiin)","S,P-AAT",1825-9,Ser/Plas,latest_prefix_cases
"s,p-AAT(alfa-1-antitrupsiin)","S,P-AAT",1825-9,Ser/Plas,latest_parentheses_one_cases
"s,p-ACE(7. Angiotensiini konverteeriv ensuum)","S,P-ACE",2742-5,Ser/Plas,latest_parentheses_one_cases
"s,p-ACE(Angiotensiini konverteeriv ensuum)","S,P-ACE",2742-5,Ser/Plas,latest_prefix_cases
"s,p-AF(Alfa-fetoproteiin)","S,P-AFP",53961-9,Ser/Plas,latest_prefix_cases
"s,p-afp","S,P-AFP",53961-9,Ser/Plas,latest_name_cases
"s,p-AFP(Alfa-fetoproteiin)","S,P-AFP",53961-9,Ser/Plas,latest_parentheses_one_cases
"s,p-ALA(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
"s,p-AL(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
"s,p-Al(Albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
"s,p-AL(Aluseline fosfataas)","S,P-ALP",6768-6,Ser/Plas,latest_parentheses_two_cases
"s,p-ALAT 1(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_two_cases
"s,p-ALAT 2(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_two_cases
"s,p-ALAT 3(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_two_cases
"s,p-ALAT(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
"s,p-ALAT(alaniiniaminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_one_cases
"s,p-ALAT(Alaniini aminotransferaas seerumis)","S,P-ALAT",1744-2,Ser/Plas,latest_parentheses_one_cases
"s,p-alb","S,P-Alb",61151-7,Ser/Plas,latest_name_cases
"s,p-Alb 1(Albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
"s,p-Alb 2(Albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
"s,p-Alb 3(Albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
"s,p-Alb(3. Albumiin seerumis)","S,P-Alb",61151-7,Ser/Plas,latest_prefix_cases
"s,p-Alb(Albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_parentheses_one_cases
"s,p-Alb(albumiin)","S,P-Alb",61151-7,Ser/Plas,latest_parentheses_one_cases
"s,p-Alb(Albumiin seerumis)","S,P-Alb",61151-7,Ser/Plas,latest_parentheses_one_cases
"s,p-Aldo(Aldosteroon)","S,P-Aldo",1763-2,Ser/Plas,latest_parentheses_one_cases
"s,p-ALP 1(Aluseline fosfataas)","S,P-ALP",6768-6,Ser/Plas,latest_parentheses_two_cases
"s,p-ALP 2(Aluseline fosfataas)","S,P-ALP",6768-6,Ser/Plas,latest_parentheses_two_cases
"s,p-ALP(Aluseline fosfataas)","S,P-ALP",6768-6,Ser/Plas,latest_prefix_cases
"s,p-ALP(aluselinefosfataas)","S,P-ALP",6768-6,Ser/Plas,latest_parentheses_one_cases
"s,p-ALT(Alaniini aminotransferaas)","S,P-ALAT",1744-2,Ser/Plas,latest_prefix_cases
"s,p-Amyl(Alfa-am???laas)","S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
"s,p-Amyl(Alfa-amulaas)","S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Amyl(alfa-Amulaas)","S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Amyl(alfa-amulaas)","S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Amyl(amulaas)","S,P-Amyl",1798-8,Ser/Plas,latest_prefix_cases
"s,p-Amyl(Amulaas, pankreasespetsiifiline)","S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Amyl(Amulaas seerumis)","S,P-Amyl",1798-8,Ser/Plas,latest_parentheses_one_cases
"s,p-AOS(Antistreptolusiin O)","S,P-ASO",5370-2,Bld,latest_prefix_cases
S-PAP,S-pACP,20420-6,Bld,latest_name_cases
"s,p-ASA(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-AS(Antistreptolusiin O)","S,P-ASO",5370-2,Bld,latest_parentheses_two_cases
"s,p-AS(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-asat","S,P-ASAT",1920-8,Ser/Plas,latest_name_cases
"s,p-ASAT 1(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-ASAT 2(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_parentheses_two_cases
"s,p-ASAT 3(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-ASAT(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_parentheses_one_cases
"s,p-ASAT(aspartaadiaminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-ASAT(Aspartaadi aminotransferaas seerumis)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-aso","S,P-ASO",5370-2,Bld,latest_name_cases
"s,p-ASO(Antistreptolusiin O)","S,P-ASO",5370-2,Bld,latest_parentheses_one_cases
"s,p-ASO(antistreptolusiinO)","S,P-ASO",5370-2,Bld,latest_prefix_cases
"s,p-ASO(Antistreptolusiin O seerumis)","S,P-ASO",5370-2,Bld,latest_parentheses_one_cases
"s,p-AST(Aspartaadi aminotransferaas)","S,P-ASAT",1920-8,Ser/Plas,latest_prefix_cases
"s,p-B12(Vitamiin B12)","S,P-Vit B12",14685-2,Bld,latest_prefix_cases
"s,p-B1(Vitamiin B12)","S,P-Vit B12",14685-2,Bld,latest_prefix_cases
"s,p-b2-(Beeta-2-mikroglobuliin)","S,P-b2-M",1952-1,Bld,latest_prefix_cases
"s,p-b2-M(Beeta-2-mikroglobuliin)","S,P-b2-M",1952-1,Bld,latest_parentheses_one_cases
"s,p-Bi(Bilirubiin)",U-Bil strip,41016-7,Urine,latest_parentheses_two_cases
"s,p-Bil 1(Bilirubiin)",U-Bil strip,41016-7,Urine,latest_parentheses_two_cases
"s,p-Bil 2(Bilirubiin)",U-Bil strip,41016-7,Urine,latest_prefix_cases
"s,p-Bil(Bilirubiin)","S,P-Bil",14631-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Bil(bilirubiin)","S,P-Bil",14631-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Bil(Bilirubiin ???ldine)","S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
"s,p-Bil(Bilirubiin uldine)","S,P-Bil",14631-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Bil(Bilirubiin, uldine)","S,P-Bil",14631-6,Ser/Plas,latest_prefix_cases
"s,p-Bil-conj(bilirubiinkonjugeeritud)","S,P-Bil-conj",14629-0,Ser/Plas,latest_prefix_cases
"s,p-Bil(Uldbilirubiin)","S,P-Bil",14631-6,Ser/Plas,latest_parentheses_one_cases
"s,p-BNP(B-tuupi N-terminaalne natriureetiline peptiid)","S,P-BNP",30934-4,Ser/Plas,latest_parentheses_one_cases
"s,p-c3","S,P-C3",4485-9,Ser/Plas,latest_name_cases
"s,p-C3(1. Komplemendi komponent C3)","S,P-C3",4485-9,Ser/Plas,latest_prefix_cases
"s,p-C3(Komplemendi komponent C3)","S,P-C3",4485-9,Ser/Plas,latest_parentheses_one_cases
"s,p-C3(komplemendikomponentC3)","S,P-C3",4485-9,Ser/Plas,latest_parentheses_one_cases
"s,p-C4(1. Komplemendi komponent C4)","S,P-C4",4498-2,Ser/Plas,latest_prefix_cases
"s,p-C4(Komplemendi komponent C4)","S,P-C4",4498-2,Ser/Plas,latest_parentheses_one_cases
"s,p-C4(komplemendikomponentC4)","S,P-C4",4498-2,Ser/Plas,latest_prefix_cases
"s,p-ca","S,P-Ca",2000-8,Ser/Plas,latest_name_cases
"s,p-CA 125(Kasvaja-antigeen CA 125)","S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
"s,p-CA-125(Kasvaja antigeen CA 125)","S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
"s,p-CA 12(Kasvaja-antigeen CA 125)","S,P-CA 125",10334-1,Ser/Plas,latest_prefix_cases
"s,p-CA-12(Kasvaja antigeen CA 125)","S,P-CA 125",10334-1,Ser/Plas,latest_parentheses_two_cases
"s,p-CA 15-3(Kasvaja-antigeen CA 15-3)","S,P-CA 15-3",6875-9,Ser/Plas,latest_parentheses_one_cases
"s,p-CA 15-(Kasvaja-antigeen CA 15-3)","S,P-CA 15-3",6875-9,Ser/Plas,latest_prefix_cases
"s,p-CA 19-9(Kasvaja-antigeen CA 19-9)","S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
"s,p-CA-19-9(Kasvaja antigeen CA 19-9 )","S,P-CA 19-9",24108-3,Ser/Plas,latest_parentheses_two_cases
"s,p-CA-19-9(Kasvaja antigeen CA 19-9)","S,P-CA 19-9",24108-3,Ser/Plas,latest_parentheses_two_cases
"s,p-CA-19-9(Kasvaja-antigeen CA 19-9)","S,P-CA 19-9",24108-3,Ser/Plas,latest_parentheses_two_cases
"s,p-CA 19-(Kasvaja-antigeen CA 19-9)","S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
"s,p-CA-19-(Kasvaja antigeen CA 19-9)","S,P-CA 19-9",24108-3,Ser/Plas,latest_prefix_cases
"s,p-Ca 1(Kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_prefix_cases
"s,p-Ca 2(Kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_parentheses_two_cases
"s,p-Ca 3(Kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_prefix_cases
