parameter_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
PlrF-Crea,PlrF-Crea,Kreatiniin pleuravedelikus,Kreatiniin pleuravedelikus,54375-1,Plr fld,t_lyhend
PlrF-Crea Kreatiniin pleuravedelikus,PlrF-Crea,Kreatiniin pleuravedelikus,Kreatiniin pleuravedelikus,54375-1,Plr fld,t_lyhend + t_nimetus
"PlrF-Crea/S,P-Crea","PlrF-Crea/S,P-Crea",Pleuravedeliku ja seerumi/plasma kreatiniini suhe,Pleuravedeliku ja seerumi/plasma kreatiniini suhe,70264-7,Ser/Plas,t_lyhend
"PlrF-Crea/S,P-Crea Pleuravedeliku ja seerumi/plasma kreatiniini suhe","PlrF-Crea/S,P-Crea",Pleuravedeliku ja seerumi/plasma kreatiniini suhe,Pleuravedeliku ja seerumi/plasma kreatiniini suhe,70264-7,Ser/Plas,t_lyhend + t_nimetus
PlrF-CRP,PlrF-CRP,C-reaktiivne valk pleuravedelikus,C-reaktiivne valk pleuravedelikus,16503-5,Body fld,t_lyhend
PlrF-CRP C-reaktiivne valk pleuravedelikus,PlrF-CRP,C-reaktiivne valk pleuravedelikus,C-reaktiivne valk pleuravedelikus,16503-5,Body fld,t_lyhend + t_nimetus
PlrF-Diff,PlrF-Diff,Pleuravedeliku tsütogramm,Pleuravedeliku tsütogramm,29583-2,Plr fld,t_lyhend
PlrF-Diff a,PlrF-Diff a,Pleuravedeliku tsütogramm (analüsaator),Pleuravedeliku tsütogramm analüsaatoril,34561-1,Plr fld,t_lyhend
PlrF-Diff a Pleuravedeliku tsütogramm (analüsaator),PlrF-Diff a,Pleuravedeliku tsütogramm (analüsaator),Pleuravedeliku tsütogramm analüsaatoril,34561-1,Plr fld,t_lyhend + t_nimetus
PlrF-Diff Pleuravedeliku tsütogramm,PlrF-Diff,Pleuravedeliku tsütogramm,Pleuravedeliku tsütogramm,29583-2,Plr fld,t_lyhend + t_nimetus
PlrF-Eosinofiilid %,PlrF-Eosinofiilid %,Eosinofiilide suhtarv pleuravedelikus,Eosinofiilid %,14344-6,Plr fld,t_lyhend
PlrF-Eosinofiilid % Eosinofiilide suhtarv pleuravedelikus,PlrF-Eosinofiilid %,Eosinofiilide suhtarv pleuravedelikus,Eosinofiilid %,14344-6,Plr fld,t_lyhend + t_nimetus
PlrF-Gluc,PlrF-Gluc,Glükoos pleuravedelikus,Glükoos pleuravedelikus,14747-0,Plr fld,t_lyhend
PlrF-Gluc Glükoos pleuravedelikus,PlrF-Gluc,Glükoos pleuravedelikus,Glükoos pleuravedelikus,14747-0,Plr fld,t_lyhend + t_nimetus
PlrF-Hb,PlrF-Hb,Hemoglobiin pleuravedelikus,Hemoglobiin pleuravedelikus,722-9,Plr fld,t_lyhend
PlrF-Hb Hemoglobiin pleuravedelikus,PlrF-Hb,Hemoglobiin pleuravedelikus,Hemoglobiin pleuravedelikus,722-9,Plr fld,t_lyhend + t_nimetus
PlrF-Identifitseerimata rakud %,PlrF-Identifitseerimata rakud %,Identifitseerimata rakkude suhtarv pleuravedelikus,Identifitseerimata rakud %,34983-7,Plr fld,t_lyhend
PlrF-Identifitseerimata rakud % Identifitseerimata rakkude suhtarv pleuravedelikus,PlrF-Identifitseerimata rakud %,Identifitseerimata rakkude suhtarv pleuravedelikus,Identifitseerimata rakud %,34983-7,Plr fld,t_lyhend + t_nimetus
PlrF-Lac,PlrF-Lac,Laktaat pleuravedelikus,Laktaat pleuravedelikus,2522-1,Plr fld,t_lyhend
PlrF-Lac Laktaat pleuravedelikus,PlrF-Lac,Laktaat pleuravedelikus,Laktaat pleuravedelikus,2522-1,Plr fld,t_lyhend + t_nimetus
PlrF-LDH,PlrF-LDH,Laktaadi dehüdrogenaas pleuravedelikus,LDH pleuravedelikus,60021-3,Plr fld,t_lyhend
PlrF-LDH Laktaadi dehüdrogenaas pleuravedelikus,PlrF-LDH,Laktaadi dehüdrogenaas pleuravedelikus,LDH pleuravedelikus,60021-3,Plr fld,t_lyhend + t_nimetus
"PlrF-LDH/S,P-LDH","PlrF-LDH/S,P-LDH",Pleuravedeliku ja seerumi/plasma laktaadi dehüdrogenaasi suhe,Pleuravedeliku ja seerumi/plasma LDH suhe,49930-1,Ser/Plas,t_lyhend
"PlrF-LDH/S,P-LDH Pleuravedeliku ja seerumi/plasma laktaadi dehüdrogenaasi suhe","PlrF-LDH/S,P-LDH",Pleuravedeliku ja seerumi/plasma laktaadi dehüdrogenaasi suhe,Pleuravedeliku ja seerumi/plasma LDH suhe,49930-1,Ser/Plas,t_lyhend + t_nimetus
PlrF-Lümfotsüüdid %,PlrF-Lümfotsüüdid %,Lümfotsüütide suhtarv pleuravedelikus,Lümfotsüüdid %,14820-5,Plr fld,t_lyhend
PlrF-Lümfotsüüdid % Lümfotsüütide suhtarv pleuravedelikus,PlrF-Lümfotsüüdid %,Lümfotsüütide suhtarv pleuravedelikus,Lümfotsüüdid %,14820-5,Plr fld,t_lyhend + t_nimetus
PlrF-Maliigsed rakud %,PlrF-Maliigsed rakud %,Maliigsete rakkude suhtarv pleuravedelikus,Maliigsed rakud %,44895-1,Plr fld,t_lyhend
PlrF-Maliigsed rakud % Maliigsete rakkude suhtarv pleuravedelikus,PlrF-Maliigsed rakud %,Maliigsete rakkude suhtarv pleuravedelikus,Maliigsed rakud %,44895-1,Plr fld,t_lyhend + t_nimetus
PlrF-Mesoteeli rakud %,PlrF-Mesoteeli rakud %,Mesoteelirakkude suhtarv pleuravedelikus,Mesoteeli rakud %,14829-6,Plr fld,t_lyhend
PlrF-Mesoteeli rakud % Mesoteelirakkude suhtarv pleuravedelikus,PlrF-Mesoteeli rakud %,Mesoteelirakkude suhtarv pleuravedelikus,Mesoteeli rakud %,14829-6,Plr fld,t_lyhend + t_nimetus
PlrF-MN#,PlrF-MN#,Mononukleaarsete leukotsüütide arv pleuravedelikus,MN,70043-5,Plr fld,t_lyhend
PlrF-MN%,PlrF-MN%,Mononukleaarsete leukotsüütide suhtarv pleuravedelikus,MN%,70066-6,Plr fld,t_lyhend
PlrF-MN# Mononukleaarsete leukotsüütide arv pleuravedelikus,PlrF-MN#,Mononukleaarsete leukotsüütide arv pleuravedelikus,MN,70043-5,Plr fld,t_lyhend + t_nimetus
PlrF-MN% Mononukleaarsete leukotsüütide suhtarv pleuravedelikus,PlrF-MN%,Mononukleaarsete leukotsüütide suhtarv pleuravedelikus,MN%,70066-6,Plr fld,t_lyhend + t_nimetus
PlrF-Monotsüüdid/makrofaagid %,PlrF-Monotsüüdid/makrofaagid %,Monotsüütide/makrofaagide suhtarv pleuravedelikus,Monotsüüdid/makrofaagid %,32028-3,Plr fld,t_lyhend
PlrF-Monotsüüdid/makrofaagid % Monotsüütide/makrofaagide suhtarv pleuravedelikus,PlrF-Monotsüüdid/makrofaagid %,Monotsüütide/makrofaagide suhtarv pleuravedelikus,Monotsüüdid/makrofaagid %,32028-3,Plr fld,t_lyhend + t_nimetus
PlrF-Muud leukotsüüdid %,PlrF-Muud leukotsüüdid %,Muude leukotsüütide suhtarv pleuravedelikus,Muud leukotsüüdid %,14858-5,Plr fld,t_lyhend
PlrF-Muud leukotsüüdid % Muude leukotsüütide suhtarv pleuravedelikus,PlrF-Muud leukotsüüdid %,Muude leukotsüütide suhtarv pleuravedelikus,Muud leukotsüüdid %,14858-5,Plr fld,t_lyhend + t_nimetus
PlrF-Neutrofiilid %,PlrF-Neutrofiilid %,Neutrofiilide suhtarv pleuravedelikus,Neutrofiilid %,14848-6,Plr fld,t_lyhend
PlrF-Neutrofiilid % Neutrofiilide suhtarv pleuravedelikus,PlrF-Neutrofiilid %,Neutrofiilide suhtarv pleuravedelikus,Neutrofiilid %,14848-6,Plr fld,t_lyhend + t_nimetus
PlrF-NT-proBNP,PlrF-NT-proBNP,B-tüüpi natriureetilise propeptiidi N-fragment pleuravedelikus,NT-proBNP pleuravedelikus,77621-1,Plr fld,t_lyhend
PlrF-NT-proBNP B-tüüpi natriureetilise propeptiidi N-fragment pleuravedelikus,PlrF-NT-proBNP,B-tüüpi natriureetilise propeptiidi N-fragment pleuravedelikus,NT-proBNP pleuravedelikus,77621-1,Plr fld,t_lyhend + t_nimetus
PlrF-pAmyl,PlrF-pAmyl,Amülaas (pankreasespetsiifiline) pleuravedelikus,Amülaas (pankreasespetsiifiline) pleuravedelikus,70270-4,Plr fld,t_lyhend
PlrF-pAmyl Amülaas (pankreasespetsiifiline) pleuravedelikus,PlrF-pAmyl,Amülaas (pankreasespetsiifiline) pleuravedelikus,Amülaas (pankreasespetsiifiline) pleuravedelikus,70270-4,Plr fld,t_lyhend + t_nimetus
PlrF-pAmyl/P-pAmyl,PlrF-pAmyl/P-pAmyl,Pleuravedeliku ja plasma pankreasespetsiifilise amülaasi suhe,Pleuravedeliku ja plasma pankreasespetsiifilise amülaasi suhe,A-3967,,t_lyhend
PlrF-pAmyl/P-pAmyl Pleuravedeliku ja plasma pankreasespetsiifilise amülaasi suhe,PlrF-pAmyl/P-pAmyl,Pleuravedeliku ja plasma pankreasespetsiifilise amülaasi suhe,Pleuravedeliku ja plasma pankreasespetsiifilise amülaasi suhe,A-3967,,t_lyhend + t_nimetus
PlrF panel,PlrF panel,Pleuravedeliku põhiuuring (paneel),Pleuravedeliku põhiuuring,L-4499,,t_lyhend
PlrF panel Pleuravedeliku põhiuuring (paneel),PlrF panel,Pleuravedeliku põhiuuring (paneel),Pleuravedeliku põhiuuring,L-4499,,t_lyhend + t_nimetus
PlrF-pH,PlrF-pH,pH pleuravedelikust,pH pleuravedelikust,2750-8,Plr fld,t_lyhend
PlrF-pH pH pleuravedelikust,PlrF-pH,pH pleuravedelikust,pH pleuravedelikust,2750-8,Plr fld,t_lyhend + t_nimetus
PlrF-Plasmarakud %,PlrF-Plasmarakud %,Plasmarakkude suhtarv pleuravedelikus,Plasmarakud %,40522-5,Plr fld,t_lyhend
PlrF-Plasmarakud % Plasmarakkude suhtarv pleuravedelikus,PlrF-Plasmarakud %,Plasmarakkude suhtarv pleuravedelikus,Plasmarakud %,40522-5,Plr fld,t_lyhend + t_nimetus
PlrF-PMN#,PlrF-PMN#,Polümorfonukleaarsete leukotsüütide arv pleuravedelikus,PMN,70044-3,Plr fld,t_lyhend
PlrF-PMN%,PlrF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv pleuravedelikus,PMN%,70067-4,Plr fld,t_lyhend
PlrF-PMN# Polümorfonukleaarsete leukotsüütide arv pleuravedelikus,PlrF-PMN#,Polümorfonukleaarsete leukotsüütide arv pleuravedelikus,PMN,70044-3,Plr fld,t_lyhend + t_nimetus
PlrF-PMN% Polümorfonukleaarsete leukotsüütide suhtarv pleuravedelikus,PlrF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv pleuravedelikus,PMN%,70067-4,Plr fld,t_lyhend + t_nimetus
PlrF-Prot,PlrF-Prot,Valk pleuravedelikus,Valk pleuravedelikus,2882-9,Plr fld,t_lyhend
"PlrF-Prot/S,P-Prot","PlrF-Prot/S,P-Prot",Pleuravedeliku ja seerumi/plasma valgu suhe,Pleuravedeliku ja seerumi/plasma valgu suhe,49929-3,Ser/Plas,t_lyhend
"PlrF-Prot/S,P-Prot Pleuravedeliku ja seerumi/plasma valgu suhe","PlrF-Prot/S,P-Prot",Pleuravedeliku ja seerumi/plasma valgu suhe,Pleuravedeliku ja seerumi/plasma valgu suhe,49929-3,Ser/Plas,t_lyhend + t_nimetus
PlrF-Prot Valk pleuravedelikus,PlrF-Prot,Valk pleuravedelikus,Valk pleuravedelikus,2882-9,Plr fld,t_lyhend + t_nimetus
PlrF-RBC,PlrF-RBC,Erütrotsüüdid pleuravedelikus,Erütrotsüüdid,793-0,Plr fld,t_lyhend
PlrF-RBC Erütrotsüüdid pleuravedelikus,PlrF-RBC,Erütrotsüüdid pleuravedelikus,Erütrotsüüdid,793-0,Plr fld,t_lyhend + t_nimetus
PlrF-SEAG,PlrF-SEAG,Seerumi/plasma ja pleuravedeliku albumiini gradient,Seerumi/plasma ja pleuravedeliku albumiini gradient,72647-1,Ser/Plas,t_lyhend
PlrF-SEAG Seerumi/plasma ja pleuravedeliku albumiini gradient,PlrF-SEAG,Seerumi/plasma ja pleuravedeliku albumiini gradient,Seerumi/plasma ja pleuravedeliku albumiini gradient,72647-1,Ser/Plas,t_lyhend + t_nimetus
PlrF-SEGG,PlrF-SEGG,Seerumi/plasma ja pleuravedeliku glükoosi gradient,Seerumi/plasma ja pleuravedeliku glükoosi gradient,72651-3,Ser/Plas,t_lyhend
PlrF-SEGG Seerumi/plasma ja pleuravedeliku glükoosi gradient,PlrF-SEGG,Seerumi/plasma ja pleuravedeliku glükoosi gradient,Seerumi/plasma ja pleuravedeliku glükoosi gradient,72651-3,Ser/Plas,t_lyhend + t_nimetus
PlrF-SG,PlrF-SG,Pleuravedeliku erikaal,Pleuravedeliku erikaal,14349-5,Plr fld,t_lyhend
PlrF-SG Pleuravedeliku erikaal,PlrF-SG,Pleuravedeliku erikaal,Pleuravedeliku erikaal,14349-5,Plr fld,t_lyhend + t_nimetus
PlrF-Trigl,PlrF-Trigl,Triglütseriidid pleuravedelikus,Triglütseriidid pleuravedelikus,39801-6,Plr fld,t_lyhend
PlrF-Trigl Triglütseriidid pleuravedelikus,PlrF-Trigl,Triglütseriidid pleuravedelikus,Triglütseriidid pleuravedelikus,39801-6,Plr fld,t_lyhend + t_nimetus
"PlrF-Trig/S,P-Trig","PlrF-Trig/S,P-Trig",Pleuravedeliku ja seerumi/plasma triglütseriidide suhe,Pleuravedeliku ja seerumi/plasma triglütseriidide suhe,70269-6,Ser/Plas,t_lyhend
"PlrF-Trig/S,P-Trig Pleuravedeliku ja seerumi/plasma triglütseriidide suhe","PlrF-Trig/S,P-Trig",Pleuravedeliku ja seerumi/plasma triglütseriidide suhe,Pleuravedeliku ja seerumi/plasma triglütseriidide suhe,70269-6,Ser/Plas,t_lyhend + t_nimetus
PlrF-WBC,PlrF-WBC,Leukotsüüdid pleuravedelikus,Leukotsüüdid,808-6,Plr fld,t_lyhend
PlrF-WBC Leukotsüüdid pleuravedelikus,PlrF-WBC,Leukotsüüdid pleuravedelikus,Leukotsüüdid,808-6,Plr fld,t_lyhend + t_nimetus
Plt,B-Plt,Trombotsüüdid,Plt,777-3,Bld,kasutatav_nimetus
P-M2PK,P-M2PK,M2-püruvaatkinaas plasmas,M2-püruvaatkinaas,A-4620,,t_lyhend
P-M2PK M2-püruvaatkinaas plasmas,P-M2PK,M2-püruvaatkinaas plasmas,M2-püruvaatkinaas,A-4620,,t_lyhend + t_nimetus
P-Meta,P-Meta,Metanefriin plasmas,Metanefriin,29142-7,Ser/Plas,t_lyhend
P-Meta Metanefriin plasmas,P-Meta,Metanefriin plasmas,Metanefriin,29142-7,Ser/Plas,t_lyhend + t_nimetus
PML IgG,"S,P-PML IgG",PML-vastane IgG seerumis/plasmas,PML IgG,56753-7,Bld,kasutatav_nimetus
PML-vastane IgG seerumis/plasmas,"S,P-PML IgG",PML-vastane IgG seerumis/plasmas,PML IgG,56753-7,Bld,t_nimetus
P-MPA,P-MPA,Mükofenoolhape plasmas,Mükofenoolhape,23905-3,Ser/Plas,t_lyhend
P-MPA Mükofenoolhape plasmas,P-MPA,Mükofenoolhape plasmas,Mükofenoolhape,23905-3,Ser/Plas,t_lyhend + t_nimetus
PM/Scl100 IgG,"S,P-PM/Scl100 IgG",PM/Scl100-vastane IgG seerumis/plasmas,PM/Scl100 IgG,31563-0,Bld,kasutatav_nimetus
PM/Scl100-vastane IgG seerumis/plasmas,"S,P-PM/Scl100 IgG",PM/Scl100-vastane IgG seerumis/plasmas,PM/Scl100 IgG,31563-0,Bld,t_nimetus
PM/Scl75 IgG,"S,P-PM/Scl75 IgG",PM/Scl75-vastane IgG seerumis/plasmas,PM/Scl75 IgG,72724-8,Ser/Plas,kasutatav_nimetus
PM/Scl75-vastane IgG seerumis/plasmas,"S,P-PM/Scl75 IgG",PM/Scl75-vastane IgG seerumis/plasmas,PM/Scl75 IgG,72724-8,Ser/Plas,t_nimetus
PM/Scl IgG,"S,P-PM/Scl IgG",PM/Scl-vastane IgG seerumis/plasmas,PM/Scl IgG,56721-4,Bld,kasutatav_nimetus
PM/Scl IgG QN,"S,P-PM/Scl IgG QN",PM/Scl-vastase IgG hulk seerumis/plasmas,PM/Scl IgG QN,A-4573,,kasutatav_nimetus
PM/Scl-vastane IgG seerumis/plasmas,"S,P-PM/Scl IgG",PM/Scl-vastane IgG seerumis/plasmas,PM/Scl IgG,56721-4,Bld,t_nimetus
PM/Scl-vastase IgG hulk seerumis/plasmas,"S,P-PM/Scl IgG QN",PM/Scl-vastase IgG hulk seerumis/plasmas,PM/Scl IgG QN,A-4573,,t_nimetus
P-MVC (gen),P-MVC (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi maravirok-tundlikkus CCR5 tropismi alusel,Maraviroc (gen),A-4828,,t_lyhend
P-MVC (gen) Inimese immuunpuudulikkuse viiruse 1. tüübi maravirok-tundlikkus CCR5 tropismi alusel,P-MVC (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi maravirok-tundlikkus CCR5 tropismi alusel,Maraviroc (gen),A-4828,,t_lyhend + t_nimetus
Pneumocystis jirovecii Ag,XXX-P jirovecii Ag,Pneumocystis jirovecii antigeen,Pneumocystis jirovecii Ag,700-5,,kasutatav_nimetus
Pneumocystis jirovecii Ag bronhiaspiraadis,Br-P jirovecii Ag,Pneumocystis jirovecii antigeen bronhiaspiraadis,Pneumocystis jirovecii Ag bronhiaspiraadis,31933-5,Bronchial,kasutatav_nimetus
Pneumocystis jirovecii antigeen,XXX-P jirovecii Ag,Pneumocystis jirovecii antigeen,Pneumocystis jirovecii Ag,700-5,,t_nimetus
Pneumocystis jirovecii antigeen bronhiaspiraadis,Br-P jirovecii Ag,Pneumocystis jirovecii antigeen bronhiaspiraadis,Pneumocystis jirovecii Ag bronhiaspiraadis,31933-5,Bronchial,t_nimetus
Pneumocystis jirovecii DNA,XXX-P jirovecii DNA,Pneumocystis jirovecii DNA,Pneumocystis jirovecii DNA,6521-9,,kasutatav_nimetus
P-NFV (gen),P-NFV (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi nelfinaviir-tundlikkus geneetiliste mutatsioonide alusel,Nelfinavir (gen),30294-3,Isolate,t_lyhend
P-NFV (gen) Inimese immuunpuudulikkuse viiruse 1. tüübi nelfinaviir-tundlikkus geneetiliste mutatsioonide alusel,P-NFV (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi nelfinaviir-tundlikkus geneetiliste mutatsioonide alusel,Nelfinavir (gen),30294-3,Isolate,t_lyhend + t_nimetus
P-NH4,P-NH4,Ammoonium plasmas,Ammoonium,1845-7,Bld,t_lyhend
P-NH4 Ammoonium plasmas,P-NH4,Ammoonium plasmas,Ammoonium,1845-7,Bld,t_lyhend + t_nimetus
PNH paneel (voolutsütomeetria),PNH panel Fc,Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH paneel (voolutsütomeetria),55164-8,Bld,kasutatav_nimetus
PNH panel Fc,PNH panel Fc,Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH paneel (voolutsütomeetria),55164-8,Bld,t_lyhend
PNH panel Fc Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH panel Fc,Paroksüsomaalse nokturnaalse hemoglobinuuria paneel (voolutsütomeetria),PNH paneel (voolutsütomeetria),55164-8,Bld,t_lyhend + t_nimetus
PNMA2 Ab,"S,P-PNMA2 Ab",PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas,PNMA2 Ab,35458-9,Bld,kasutatav_nimetus
PNMA2 Ab paneel,"S,P-PNMA2 Ab panel",PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas (paneel),PNMA2 Ab paneel,L-4288,,kasutatav_nimetus
PNMA2 IgG,"S,P-PNMA2 IgG",PNMA2 (paraneoplastiline antigeen MA2) vastane IgG seerumis/plasmas,PNMA2 IgG,82983-8,Ser/Plas,kasutatav_nimetus
PNMA2 (paraneoplastiline antigeen MA2) vastane IgG seerumis/plasmas,"S,P-PNMA2 IgG",PNMA2 (paraneoplastiline antigeen MA2) vastane IgG seerumis/plasmas,PNMA2 IgG,82983-8,Ser/Plas,t_nimetus
PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas,"S,P-PNMA2 Ab",PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas,PNMA2 Ab,35458-9,Bld,t_nimetus
PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas (paneel),"S,P-PNMA2 Ab panel",PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas (paneel),PNMA2 Ab paneel,L-4288,,t_nimetus
P-Noradre,P-Noradre,Noradrenaliin plasmas,Noradrenaliin,2666-6,Bld,t_lyhend
P-Noradre Noradrenaliin plasmas,P-Noradre,Noradrenaliin plasmas,Noradrenaliin,2666-6,Bld,t_lyhend + t_nimetus
P-Normeta,P-Normeta,Normetanefriin plasmas,Normetanefriin,2669-0,Ser/Plas,t_lyhend
P-Normeta Normetanefriin plasmas,P-Normeta,Normetanefriin plasmas,Normetanefriin,2669-0,Ser/Plas,t_lyhend + t_nimetus
P notatum IgE,"S,P-m1 IgE",Penicillum notatum vastane IgE seerumis/plasmas,P notatum IgE,6212-5,Bld,kasutatav_nimetus
"P-NRAS ex2,3,4","P-NRAS ex2,3,4","NRAS geeni mutatsioonid 2., 3., ja 4. eksonis plasmast","NRAS geeni mutatsioonid 2., 3., ja 4. eksonis plasmast",21720-8,Bld,t_lyhend
"P-NRAS ex2,3,4 NRAS geeni mutatsioonid 2., 3., ja 4. eksonis plasmast","P-NRAS ex2,3,4","NRAS geeni mutatsioonid 2., 3., ja 4. eksonis plasmast","NRAS geeni mutatsioonid 2., 3., ja 4. eksonis plasmast",21720-8,Bld,t_lyhend + t_nimetus
P-NVP (gen),P-NVP (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi nevirapiin-tundlikkus geneetiliste mutatsioonide alusel,Nevirapine (gen),30289-3,Isolate,t_lyhend
P-NVP (gen) Inimese immuunpuudulikkuse viiruse 1. tüübi nevirapiin-tundlikkus geneetiliste mutatsioonide alusel,P-NVP (gen),Inimese immuunpuudulikkuse viiruse 1. tüübi nevirapiin-tundlikkus geneetiliste mutatsioonide alusel,Nevirapine (gen),30289-3,Isolate,t_lyhend + t_nimetus
pO2/FiO2,aB-pO2/FiO2,Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,pO2/FiO2,50984-4,Bld,kasutatav_nimetus
pO2/FiO2%,aB-pO2/FiO2%,Arteriaalse vere ja sissehingatava õhu hapniku osarõhkude suhe,pO2/FiO2%,A-4568,,kasutatav_nimetus
pO2 (t)/FiO2,aB-pO2t/FiO2,Arteriaalse vere ja sissehingatavaõhu hapniku osarõhkude suhe (kehatemperatuuri järgi kohandatud),pO2 (t)/FiO2,50989-3,Bld,kasutatav_nimetus
POCT seadme tulemus,cB-POCT result,POCT seadme tulemus kapillaarses veres,POCT seadme tulemus,L-4869,,kasutatav_nimetus
POCT seadme tulemus kapillaarses veres,cB-POCT result,POCT seadme tulemus kapillaarses veres,POCT seadme tulemus,L-4869,,t_nimetus
Poikilotsütoos,B-Poikilotsütoos,Poikilotsütoos,Poikilotsütoos,779-9,Bld,t_nimetus
POLG geeni mutatsioonid (sekveneerimine),B-POLG seq,POLG geeni mutatsioonid (sekveneerimine),POLG geeni mutatsioonid (sekveneerimine),48976-5,Bld,kasutatav_nimetus
Polükromaasia,B-Polükromaasia,Polükromaasia,Polükromaasia,10378-8,Bld,t_nimetus
Polümorfonukleaarid,XXX-Polümorfonukleaarid,Polümorfonukleaarid,Polümorfonukleaarid,20473-5,,t_nimetus
Polümorfonukleaarsete leukotsüütide arv kõhuõõnevedelikus,PrtF-PMN#,Polümorfonukleaarsete leukotsüütide arv kõhuõõnevedelikus,PMN,70048-4,Periton fld,t_nimetus
Polümorfonukleaarsete leukotsüütide arv liigesevedelikus,SynF-PMN#,Polümorfonukleaarsete leukotsüütide arv liigesevedelikus,PMN,70049-2,Synv fld,t_nimetus
Polümorfonukleaarsete leukotsüütide arv liikvoris,CSF-PMN#,Polümorfonukleaarsete leukotsüütide arv liikvoris,PMN,35059-5,CSF,t_nimetus
Polümorfonukleaarsete leukotsüütide arv perikardivedelikus,PrcF-PMN#,Polümorfonukleaarsete leukotsüütide arv perikardivedelikus,PMN,70045-0,Pericard fld,t_nimetus
Polümorfonukleaarsete leukotsüütide arv peritoneaaldialüüsivedelikus,pDiaF-PMN#,Polümorfonukleaarsete leukotsüütide arv peritoneaaldialüüsivedelikus,PMN,A-3956,,t_nimetus
Polümorfonukleaarsete leukotsüütide arv pleuravedelikus,PlrF-PMN#,Polümorfonukleaarsete leukotsüütide arv pleuravedelikus,PMN,70044-3,Plr fld,t_nimetus
Polümorfonukleaarsete leukotsüütide arv täpsustamata kehavedelikus,XXX-PMN#,Polümorfonukleaarsete leukotsüütide arv täpsustamata kehavedelikus,PMN,35002-5,Body fld,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv kõhuõõnevedelikus,PrtF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv kõhuõõnevedelikus,PMN%,70039-3,Periton fld,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv liigesevedelikus,SynF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv liigesevedelikus,PMN%,70040-1,Synv fld,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv liikvoris,CSF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv liikvoris,PMN%,33963-0,CSF,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv perikardivedelikus,PrcF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv perikardivedelikus,PMN%,70036-9,Pericard fld,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv peritoneaaldialüüsivedelikus,pDiaF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv peritoneaaldialüüsivedelikus,PMN%,58801-2,Dial fld prt,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv pleuravedelikus,PlrF-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv pleuravedelikus,PMN%,70067-4,Plr fld,t_nimetus
Polümorfonukleaarsete leukotsüütide suhtarv täpsustamata kehavedelikus,XXX-PMN%,Polümorfonukleaarsete leukotsüütide suhtarv täpsustamata kehavedelikus,PMN%,26518-1,Body fld,t_nimetus
Polüoomiviirus BK DNA,XXX-Polyomavirus BK DNA,Polüoomiviiruse tüüp BK DNA,Polüoomiviirus BK DNA,47251-4,,kasutatav_nimetus
Polüoomiviirus BK DNA QN,XXX-Polyomavirus BK DNA QN,Polüoomiviiruse tüüp BK DNA hulk,Polüoomiviirus BK DNA QN,42587-6,,kasutatav_nimetus
Polüoomiviiruse tüüp BK DNA,XXX-Polyomavirus BK DNA,Polüoomiviiruse tüüp BK DNA,Polüoomiviirus BK DNA,47251-4,,t_nimetus
Polüoomiviiruse tüüp BK DNA hulk,XXX-Polyomavirus BK DNA QN,Polüoomiviiruse tüüp BK DNA hulk,Polüoomiviirus BK DNA QN,42587-6,,t_nimetus
Polüoomiviiruse tüüp JC DNA,XXX-Polyomavirus JC DNA,Polüoomiviiruse tüüp JC DNA,Polüoomiviirus JC DNA,42921-7,,t_nimetus
Polüoomiviiruse tüüp JC DNA hulk,XXX-Polyomavirus JC DNA QN,Polüoomiviiruse tüüp JC DNA hulk,Polüoomiviirus JC DNA QN,49412-0,,t_nimetus
