,analysis_name,system_type
8200,Lihtherpeseviiruse 1. ja 2. tüübi vastane IgG seerumis,blood
8224,Papli õietolmu vastane IgE seerumis,blood
8272,Kasvajaantigeen CA 125,blood
8276,Immuunglobuliin E seerumis,blood
8280,"Toiduallergeenide (paneel 51: tomat, porgand, kartul, küüslauk, sinep) vastane IgE",blood
8282,Protrombiini suhe/Rahvusvaheline normeeritud suhe,blood
8289,Kloriid seerumis,blood
8296,P-PT/INR,blood
8312,HLA antigeenide vastaste antikehade määramine,blood
8318,Dermatophagoides pteronyssinus vastane IgE seerumis,blood
8321,"Salmonella (serogrupid A, B, C1, C2, D, E) vastaste antikehade tiiter seerumis",blood
8327,ANTIKEHAD,blood
8334,Kilpnääret stimuleeriv hormoon,blood
8337,Lihtherpeseviiruse 2. tüübi vastane IgM,blood
8342,Gammaglutamüüli transferaas seerumis (kineetika),blood
8346,"Chlamydophila pneumoniae, IgA antikehad",blood
8349,"Aldosteroon, vereseerumist",blood
8351,Fibrinogeen plasmas,blood
8381,"Hantaviirus, antikehad (IgM, IgG) vereseerumis",blood
8398,Üksikallergeeni d1 (DERMATOPH.PTERONYSSINUS) vastased IgE antikehad seerumis,blood
8411,Spetsiifiline IgE kalade paneel FP2,blood
8412,HDL- kolesterool paastuseerumi,blood
8428,IP8 spetsiifiline IgE allergeenide segu suhtes,blood
8469,Gliadiinivastased IgG tüüpi antikehad,blood
8472,Paratüriin e. parathormoon,blood
8479,Vaba prostataspetsiifiline antigeen seerumis/plasmas,blood
8496,Aspartaadi aminotransferaas seerumis/plasmas,blood
8528,kaltsitoniin paastuseerumis,blood
8536,Alfa1-antitrüpsiin seerumis,blood
8552,Yersinia enterocolitica O9vastased antikehad,blood
8562,VERESOBITAMINE,blood
8565,MP1 spetsiifiline IgE allergeenide segu suhtes,blood
8567,Salmonella vastane antikeha seerumis,blood
8591,"Allergeenide segu ep71 - sulgede vastased IgE antikehad seerumis (hani, kana, part, kalkun)",blood
8610,Rotivastane IgE seerumis,blood
8614,Kolmiktest PRISCA programmiga,blood
8616,Troponiin I vereplasmas,blood
8634,21 hüdroksüdaasi antikehad,blood
8648,Kookospähkli vastane IgE seerumis,blood
8651,Foolhape plasmas,blood
8672,TRO IgG,blood
8704,FP3 spetsiifiline IgE allergeenide segu suhtes,blood
8705,"Herpes simplex 2, antikehad (seerumist)",blood
8717,Glükoosi taluvuse test plasmast,blood
8722,Parathormoon paastuseerumis/paastuplasmas,blood
8728,Chlamydia pneumoniae IgA,blood
8735,Troponiin T seerumis,blood
8737,Tuberkuloosi uuring seerumist TB-QuantiFeron testiga,blood
8742,Punetiseviirusevastane IgG seerumis,blood
8744,LH - Luteiniseeriv hormoon,blood
8750,Anti HCV,blood
8798,"S,P-Bilirubiin",blood
8821,Shigella flexneri 6 vastaste antikehade tiiter seerumis,blood
8824,"Veregrupp,Rh",blood
8828,Nahakoe desmosoomide vastased antikehad,blood
8835,Ascaris vastane IgE,blood
8858,Mycoplasma pneumoniae vastased IgA-antikehad seerumis,blood
8872,"CD4+, CD8+ lümfotsüütide arv ja suhe, täisverest voolutsütomeetriliselt",blood
8885,fT4 Vaba türoksiin seerumis,blood
8933,Triglütseriidid seerumis,blood
8941,Gripiviirus A vastased IgM-antikehad seerumis,blood
8953,Kreatiini kinaasi MB fraktsiooni aktiivsus,blood
8956,AKTH,blood
8958,doonorivere sobivusproov,blood
8976,Kartsinoembrüonaalne antigeen seerumis,blood
8982,C-hepatiidi viiruse RNA seerumis,blood
8985,Bordetella pertussis vastane IgG,blood
8999,Immuunglobuliin E,blood
9004,"Brucellaceae, antikehad",blood
9027,"Toiduallergeenide (paneel 7: munavalge, piim, nisu, riis, maapähkel, soja) vastane IgE",blood
9047,C-hepatiidi viiruse genotüüp seerumis,blood
9088,tsüklilise tsitrulleeritud peptiidi vastane IgG seerumis,blood
9100,"Hingamisteede viirused, PCR, ninaneelulimast",blood
9141,Spetsiifiline IgE heintaimede paneel GP1,blood
9143,Kromograniin A plasmas,blood
9159,S-VitD(25-OH),blood
9169,Coxsackie B-viiruse alatüüpide 1.6 vastane IgG seerumis,blood
9171,Türeoglobuliinivastased antikehad (anti-TG),blood
9186,"Chlamydophila pneumoniae, IgG antikehad",blood
9199,Müoglobiin vereplasmas,blood
9201,B-hepatiidi viiruse pinnantigeeni määramine kiirtestiga,blood
9203,Borrelia vastased IgM antikehad,blood
9215,Beeta 2- mikroglobuliin,blood
9225,25-hüdroksü-D3-vitamiin,blood
9228,Bilirubiin (konjugeeritud),blood
9238,ASO - Antistreptolüsiin O,blood
9242,Bilirubiin (mittekonjugeeritud) seerumis,blood
9259,Endogeense kreatiniini kliirens,blood
9271,Gastriin-17 seerumis,blood
9275,ABO-veregrupp ja RhD antigeen (kinnitav uuring),blood
9285,"S,P-iCa",blood
9315,"Inimese immuunpuudulikkuse viiruse 1. ja 2. tüübi vastane antikeha, p24 antigeen seerumis",blood
9349,Vaba prostataspetsiifiline antigeen seerumis,blood
9352,Digoksiin seerumis (ELFA),blood
9364,Glükoosi taluvuse proov 1h pärast glükoosi manustamist,blood
9392,Herpes simplex 2 tüübi viiruse vastased IgG antikehad,blood
9393,Luteiniseeriv hormoon seerumis,blood
9418,FP73 spetsiifiline IgE allergeenide segu suhtes,blood
9421,"S,P-PSA",blood
9472,Puukentsefaliidiviirusevastased IgG-antikehad seerumis,blood
9504,veresuhkur,blood
9509,Streptococcus pneumoniae kapsullaarse polüsahhariidi vastane IgG seerumis,blood
9515,Valproehappe sisaldus veres,blood
9516,Streptococcus pneumoniae kapsulaarse polüsahhariidi vastane IgG seerumis,blood
9540,Hingamisteede viiruste RNA/DNA (paneel),blood
9554,B-hepatiidi viiruse tuuma antigeeni vastane antikeha seerumis,blood
9562,Troponiin T (kõrgtundlik) plasmas,blood
9564,Kasvajaantigeen 19-9,blood
9566,Kreatiini kinaas seerumis (kineetika),blood
9572,Türeoglobuliinivastane IgG seerumis,blood
9586,Chlamydia trachomatise vastased IgA antikehad,blood
9663,Testosteroon seerumis/plasmas,blood
9666,S-Ca,blood
9667,S-aCh.trach. IgG(Q),blood
9676,Alfafetoproteiin seerumis,blood
9687,Treponema pallidum-i vastased antikehad - spetsiifiline TP test,blood
9692,Türoidperoksüdaasivastane IgG,blood
9715,IgE,blood
9717,Koera kõõma vastane IgE seerumis,blood
9742,S-FT4,blood
9747,HDL- kolesterool paastuseerumis,blood
9748,"FP2 spetsiifiline IgE allergeenide segu (tursk, krevett, sinine rannakarp/jõekarp, tuunikala, lõhekala) suhtes",blood
9823,dsDNA vastased antikehad,blood
9826,Üksikallergeeni k82 (LATEKS) vastased IgE antikehad seerumis,blood
9831,Komplement C4 seerumis,blood
9845,Puukentsefaliidi viiruse vastane IgG seerumis,blood
9848,Tsütomegaloviiruse vastased IgG tüüpi antikehad,blood
9865,Raud paastuseerumis,blood
9866,Kreatiini kinaas seerumis,blood
9882,Malaaria tekitaja antigeeni uuring,blood
9895,WP1 spetsiifiline IgE allergeenide segu suhtes,blood
9918,COOMBSI ( AHG) TEST,blood
9922,Salmonella,blood
9923,Koorioni gonadotropiin seerumis (ELFA),blood
9944,Kooriongonadotropiin,blood
9946,Retikuliinivastased IgA-tüüpi antikehad,blood
9968,östradiool seerumis,blood
9969,LDL Madala tihedusega lipoproteiini kolesterool seerumis,blood
9973,Fibrinogeen,blood
9977,Immuunglobuliin M seerumis,blood
9985,S-LDH,blood
9993,Amülaas pankreasespetsiifiline,blood
9996,Vere automaatuuring 3-osalise lekogrammiga,blood
10004,Gamma-glütamüüli transferaas seerumis,blood
10025,Borrelia burgdorferi vastane IgM seerumis (sõeluuring),blood
10033,P-D-Di,blood
10101,HE4,blood
10128,D- dimeer,blood
10151,Hantaviiruste vastane IgG seerumis,blood
10155,Laktaat plasmas,blood
10159,"Toiduallergeenide IgE paneel 5 (munavalge, piim; tursk, nisu, soja, arahhiis)",blood
10166,Kasvaja-antigeen CA 125 seerumis (ELFA),blood
10169,Türeotropiin,blood
10182,Otsene Coombsi test,blood
10195,Bilirubiin (konjugeeritud) (direktne bilirubiin),blood
10200,Puukentsefaliidi viiruse vastane IgG,blood
10207,Koorioni gonadotropiin (Immulite XPi),blood
10223,Uurea seerumis (kolorimeetria),blood
10248,HBSAG UURING ELISA MEETODIL ÜHE TESTAUGUGA,blood
10251,Kaltsium seerumis (kolorimeetria),blood
10252,Raud seerumis/plasmas,blood
10255,Suguhormoone siduv globuliin seerumis/plasmas,blood
10259,Uurea seerumis/plasmas,blood
10263,Epstein-Barri viiruse vastased IgG-antikehad,blood
10264,Bordetella pertussis vastane IgM seerumis,blood
10275,Sarapuupähkli vastane IgE seerumis,blood
10284,Vaba türoksiin seerumis,blood
10295,Kreatiini kinaasi MB isoensüümi massi määramine,blood
10296,Epstein-Barri viiruse kapsiidi IgM-antikehad,blood
10307,Kromosoomaberratsioon t(9;22); Philadelphia kromosoom (9;22),blood
10310,Liigesevedeliku tsütogramm,blood
10312,"Inhaleeritavate allergeenide (paneel 8: Dermatophagoides pteronyssinus, Cladosporium herbarum, kassi epiteel, koera kõõm, kask,",blood
10315,Erütrotsüütide settekiirus (Westergreni järgi),blood
10321,Kasvuhormoon seerumis,blood
10326,Bordetella pertussis vastane IgG seerumis,blood
10340,Kartsinoembrüonaalne antigeen (CEA),blood
10363,Mittetreponemaalse reagiini vastased antikehad seerumis,blood
10387,"Campylobacter sp. IgG antikehad ELISA meetodil,seerumist",blood
10412,Beeta2-mikroglobuliin,blood
10416,Spetsifiline IgE D.pteronyssinus,blood
10423,E-hepatiidi viiruse vastane IgG seerumis,blood
10424,Kasvaja-antigeen CA 15-3 seerumis (ELFA),blood
10426,Inimese immuunpuudulikkuse 1 ja2 viiruste vastased antikehad,blood
10429,S-Anti-Streptolüsiin O,blood
10432,SS-A/Ro vastane IgG seerumis (ENA IgG paneel),blood
10436,Epstein-Barri viiruse kapsiidi IgG-antikehad,blood
10452,"Tolmuallergeenide (paneel 1: majatolm, Dermatophagoides pteronyssinus, Dermathophagoides farinae, tarakan) vastane IgE",blood
10486,S-Crea,blood
10488,IgE Immuunglobuliin E seerumis,blood
10515,B-tüüpi natriureetiline peptii,blood
10518,PSA - Prostataspetsiifiline antigeen,blood
10529,Glükoos seerumis (kolorimeetria),blood
10563,HDL-kolesterool paastuseerumis,blood
10571,Erütrotsütaarsete antikahede sõeluuring kahe erütrotsüüdiga,blood
10573,Troponiin I (kardiaalne),blood
10618,Chlamydophila pneumoniae vastane IgG,blood
10621,FSH Follitropiin ehk folliikuleid stimuleeriv hormoon seerumis,blood
10627,Kortikotropiin ehk adrenokortikotroopne hormoon,blood
10684,Munavalge vastane IgE seerumis,blood
10701,Immuunglobuliin A,blood
10704,Herpes simplex viirus 1 IgG tüüpi antikehad,blood
10730,Östradiool seerumis/plasmas,blood
10747,"S,P-Kreatiniin",blood
10752,"Varicella Zoster Virus IgG, IgM vereseerumist",blood
10759,vitamiin D(25-OH),blood
10788,V faktori geeni Leideni mutatsioon ja protrombiini geeni G20210A mutatsioon,blood
10791,lihtherpeseviiruse 1.ja2.tüübi vastane IgM seerumis,blood
10810,Immoglobuliin A,blood
10871,B-hepatiidi viiruse ümbrise antigeen seerumis,blood
10882,C hepatiidi viiruse vastased antikehad kiiruuring,blood
10896,Gamma-glutamüüli transferaas seerumis,blood
10897,Triglütseriidid paastuseerumis/paastuplasmas,blood
10917,Kreatiini kinaasi MB isoensüümi aktiivsus,blood
10931,FP1 spetsiifiline IgE allergeenide segu suhtes,blood
10939,Insuliini sarnane kasfufaktor 1,blood
10943,"Toiduallergeenide paneel 73 (sea-, veise-, kana-, lambaliha) vastane IgE seerumis",blood
10967,Mitokondrite vastased antikehad,blood
10976,"Borrelia vastased IgM antikehad, seerumist",blood
10987,Ferrum,blood
10999,Kasvajaantigeen HE4,blood
11002,Progesteroon,blood
11003,autoimmuunsete müosiitidega seotud IgG seerumis ( paneel),blood
11007,Kreatiniin ja hinnanguline glomerulaarfiltratsiooni kiirus,blood
11020,B-hepatiidi viiruse ümbrise antigeeni vastane antikeha seerumis,blood
11021,Ultrasensitiivne C-reaktiivne valk,blood
11025,"Amülaas, pankreasespetsiifiline seerumis",blood
11031,Borrelia IgG antikehade immunoblotuuring,blood
11043,Folaat,blood
11052,Follitropiin (FSH),blood
11065,Aspartaadi aminotransferaas (GOT),blood
11066,Anti-HIV1/2 uuring ELISA meetodil (antigeen+antikeha),blood
11085,"S,P-HDL-Chol",blood
11091,"S,P-Na",blood
11130,Kaltsitoniin,blood
11149,ALAT Alaniini aminotransferaas seerumis,blood
11153,Malaaria uuring,blood
11171,C4 komplemendi komponent,blood
11172,Herpes simplexi 2. tüübi viiruse vastased IgM-antikehad,blood
11189,"Beeta-2 glükoproteini 1 vastaste antikehade skriining test, seerumist",blood
11200,ALP - Leelisfosfataas,blood
11204,Immuunoglobuliin G,blood
11226,Koorioni gonadotropiin plasmas,blood
11229,Kasvajaantigeen 19-9 seerumis,blood
11234,Üld IgE,blood
11251,Tsüklilise tsitrullineeritud peptiidi (CCP) vastased autoantikehad,blood
11253,"Treponema pallidumi vastaste antikehade määramine, kiirtest",blood
11256,FT4 Vaba türoksiin seerumis,blood
11280,türeotropiini retseptori vastane IgG seerumis,blood
11301,Spetsiifiline IgE Cladosporium herbarum,blood
11314,Alaniini aminotransferaas (GPT),blood
11341,Silelihaskoevastase IgG tiiter seerumis,blood
11344,Bordetella pertussis vastased IgG antikehad,blood
11362,Türeoglobuliin (TG),blood
11381,B tüüpi natriureetiline propeptiid plasmas,blood
11416,Coxsackie B-viiruse alatüüpide 1-6 vastane IgM seerumis,blood
11440,Leptospira-vastased antikehad seerumis,blood
11480,Toiduallergeenide IgE paneel 5,blood
11498,Helicobacter pylori vastased IgG-antikehad,blood
11507,Koe transglutaminaasi vastane IgG,blood
11526,Gammaglutamüüli transferaas seerumis,blood
11531,IgA -tüüpi transglutaminaasi vastased antikehad,blood
11565,Parvoviiruse B19 vastane IgM seerumis,blood
11568,fs-Urea,blood
11583,ROMA indeks (postmenopaus),blood
11588,Erütrotsütaarsete antikehade sõeluuring kolme erütrotsüüdiga,blood
11590,LH Lutropiin ehk luteiniseeriv hormoon seerumis,blood
11597,Dehydroepiandrosteroonsulfaat,blood
11610,Puukentsefaliidiviiruse antikehad,blood
11677,"17-OH progesteroon, vereseerumist",blood
11679,ABO-veregrupi ja Rh(D) määramine,blood
11686,erütrotsütaarsete antikehade sõeltest,blood
11696,FT3 Vaba trijoodtüroniin seerumis,blood
11709,ABO-veregrupp ja RhDantigeen (kontrolluuring),blood
11716,Herpes simplex 1 ja 2 viirustüübi vastased IgG antikehade immunoblotuuring seerumis,blood
11743,Laktoosi taluvuse test 90min pärast laktoosi manustamist,blood
11757,Üksikallergeeni t4 (sarapuu) vastased IgE antikehad seerumis,blood
11778,Koorioni gonadotropiin (hCG),blood
11779,Amülaas seerumis/plasmas,blood
11785,retikulotsüütide mikroskoopia,blood
11793,aluseline fosfaas,blood
11818,Myc. pneum. IgA antikehad,blood
11827,Bilirubiin (konjugeeritud) seerumis,blood
11835,Alfa1- antitrüpsiin,blood
11879,Yersinia enterocilitica O3 vastaste antikehade tiiter seerumis,blood
11888,"S,P-Ca",blood
11899,kortisool seerumis,blood
11903,Kasvajaantigeen CA 19-9 seerumis/plasmas,blood
11922,Direktne antiglobuliintest (geeltehnika),blood
11924,HLA B27 alleeli määramine,blood
11927,fS-Trig,blood
11940,CRP C-reaktiivne valk,blood
11946,fT4,blood
11953,S-RF,blood
11960,Bordetella pertussis vastane IgA seerumis,blood
11997,Türeotropiini retseptori vastased antikehad,blood
12001,"TP1 spetsiifiline IgE allergeenide segu (vaher, kask, tamm, jalakas, pähklipuu) suhtes",blood
12028,Parvoviiruse B19 vastane IgG seerumis,blood
12050,Borrelia burgdorferii vastased IgM-antikehad seerumis,blood
12070,Prolaktiin seerumis/plasmas,blood
12072,"Mycoplasma pneumoniae vastased antikehad tiitrina, seerumis",blood
12073,Glycophagus domesticus vastane IgE seerumis,blood
12093,Etanool plasmas,blood
12094,Kasvaja-antigeen CA 72-4,blood
12127,Trijoodtüroniin,blood
12130,Angiotensiini muundav ensüüm seerumis,blood
12151,Protrombiini indeks plasmas,blood
12155,Leetriviirusevastane IgM seerumis,blood
12157,GP1 spetsiifiline IgE allergeenide segu suhtes,blood
12168,Treponema pallidum vastane IgM seerumis,blood
12179,"HIV 1/2, inimese immuunpuudulikkuse viiruse antigeen ja antikehad",blood
12210,Katsium seerumis,blood
12220,B-tüüpi natriureetilise propeptiidi N-terminaalne fragment,blood
12224,Türeotropiini retseptorite vastased antikehad seerumis,blood
12237,B-HLA B17 FC,blood
12240,RS - viiruse vastased IgA-antikehad,blood
12249,S-CK,blood
12252,"Troponiin I, kardiaalne, plasmas (Immulite Plus)",blood
12266,RH FENOTÜÜP,blood
12290,B-hepatiidi viiruse pinnaantigeeni vastane antikeha seerumis,blood
12293,Borrelia burgdorferi vastane IgM seerumis ( kinnitav uuring),blood
12295,"FP5 spetsiifiline IgE allergeenide segu (munavalge, piim, tursk, nisu, maapähkel, sojauba) suhtes",blood
12298,Immunoglobiin M,blood
12315,Spetsiifiline IgE nisu,blood
12317,Krüoproteiinid seerumis ja plasmas,blood
12319,valproaat seerumis,blood
12320,Alfalaktalbumiini vastane IgE seerumis,blood
12321,fibrinogeen,blood
12323,Kaksiktest (AFP jahCG määramine) PRISCA programmiga,blood
12326,Hepatiit C viirus PCR (tuvastamine tüpeerimine) veres,blood
12351,Türeoidperoksüdaasi vastane IgG seerumis,blood
12352,Puukentsefaliidiviiruse IgM antikehad,blood
12361,Tsütomegaloviiruse vastased antikehad (IgM) seerumis (immuunkromatograafia),blood
12372,Chlam. pneum. IgG antikehad,blood
12386,Jo1 (histidüül-tRNA sünteaas) vastane IgG seerumis (ENA IgG paneel),blood
12413,Kasvaja antigeen S-100,blood
12418,Spermagramm,blood
12424,DNA kaksikahela vastane IgG,blood
12444,Salmonella sp. ( ABCDE gr) (Salmonelloos) vastaste antikehade määramine,blood
12458,HIV1/2 antikehad,blood
12460,Treponema pallidumi vastaste antikehade määramine mittespetsiifilise RPR-testiga,blood
12467,CRP - C-reaktiivne valk,blood
12468,Türeoidperoksüdaasivastased antikehad seerumis,blood
12485,vaba trijoodtüroniin seerumis,blood
12505,B-hepatiidiviiruse pinnaantigeen,blood
12507,Kardiolipiini vastane IgM seerumis,blood
12514,Hamstri epiteeli vastane IgE seerumis,blood
12587,Epstein-Barr viiruse vastane IgG seerumis,blood
12595,Folaat erütrotsüütides,blood
12601,Kasvajaantigeen CA 125 seerumis/plasmas,blood
12602,Leelisfosfataas,blood
12608,B hepatiidi viiruse pinaantigeen,blood
12624,VEREGRUPP,blood
12641,D2 spetsiifiline IgE üksikallergeei (Dermatophagoides farinae) suhtes,blood
12665,Shigella flexneri serotüübi 6 vastane antikeha seerumis,blood
12674,Erütrotsütaarsete antikehade määramine geeltehnikaga (2 erütrotsüüdiga),blood
12677,"S,P-GGT",blood
12736,Koera epiteeli vastane IgE,blood
12752,Etanool seerumis,blood
12766,Mesilasmürgivastane IgE,blood
12771,Beeta2-mikroglobuliin seerumis,blood
12801,"GP4 spetsiifiline IgE allergeenide segu (lõhnav maarjahein, püsiraihein, pilliroog, kultiveeritud rukis, samethein) suhtes",blood
12816,Gripp A IgM,blood
12836,Allergeenspetsiifiliste IgE antikehade määramine (paneel),blood
12838,Aluseline fosfataas seerumis (kineetika),blood
12844,Lihtherpeseviiruse 2. tüübi vastane IgG,blood
12866,Kreatiniini kinaasi MB isoensüümi mass plasmas (Dimension EXL 200),blood
12888,Mycoplasma pneumoniae vastased IgG antikehad,blood
12899,Silelihaskoevastased antikehad,blood
12904,Endomüüsiumivastane IgA seerumis,blood
12914,Borrelia burgdorferi IgM seerumis (kinnitav uuring),blood
12922,Üksikallergeeni w7 (karikakar) vastased IgE antikehad seerumis,blood
12926,süsteemsete sidekoe haigustega seotud IgG seerumis ( paneel),blood
12929,HSV 1 IgG,blood
12930,Yersinia enterocolitica 09,blood
12936,Türoksiin,blood
12940,Kreatiini kinaasi MB isoensüüm (ELFA),blood
12951,S-Amülaas,blood
12968,17-alfa-hüdroksüprogesteroon seerumis,blood
12984,Spetsiifiline IgE koeraepiteel,blood
12998,Munakollase vastane IgE seerumis,blood
13045,Madalmolekulaarne hepariin,blood
13056,"S,P-ASAT",blood
13079,Mycobacter tuberculosis gamma-interferoon plasmas,blood
13084,Herpes simplex 1 ja 2 viirustüübi vastased IgM antikehade immunoblotuuring seerumis,blood
13093,"Kortisool,vereseerumist",blood
13103,Treponem pallidumi vastased IgG antikehad seerumis,blood
13119,APTT Aktiveeritud osaliste tromboplastiinide aeg plasmas,blood
13121,B-tüüpi natriureetilise propeptiidi N-fragment seerumis/plasmas,blood
13131,P-LCR,blood
13136,Toxoplasma gondii vastase IgG aviidsus seerumis,blood
13137,C-reaktiivne valk seerumis (turbidimeetria),blood
13143,E1 Spetsiifiline IgE üksikallergeeni suhtes,blood
13151,S-Chol,blood
13158,Õunavastane IgE,blood
13162,Tsirkuleerivad immuunkompleksid (C1q) seerumis,blood
13163,Tuumavastane Ig G,blood
13187,türeoglobuliini vastane IgG seerumis,blood
13232,Hobuse kõõma vastane IgE seerumis,blood
13254,S-Gluc,blood
13255,Kusihape seerumis (kolorimeetria),blood
13267,C-hepatiidi viiruse RNA hulk plasmas,blood
13273,Hinnanguline glomerulaarfiltratsooni kiirus (MDRD),blood
13275,Tsütomegaloviirusevastased IgG-antikehad,blood
13277,Tseruloplasmiin,blood
13331,Kakaovastane IgE,blood
13354,C-hepatiidiviirus kvantitatiivne uuring,blood
13360,Yersinia pseudotuberculosise vastased antikehad,blood
13361,Btüüpi natriureetiline propeptiid plasmas,blood
13364,Virsikuvastane IgE,blood
13384,TSH Türeotropiin ehk kilpnääret stimuleeriv hormoon seerumis,blood
13386,Amülaas (pankreasespetsiifiline),blood
13394,Alfa1-antitrüpsiin,blood
13413,Glükoos paastuseerumis/paastuplasmas,blood
13427,Chlamydia trachomatise vastased IgA-antikehad,blood
13429,Shigella sonnei vastased antikehad seerumis,blood
13470,B-hepatiidi viiruse pinnaantigeeni seerumis,blood
13515,Ühe antigeeni määramine teiste veregrupisüsteemide puhul,blood
13523,Vaba türoksiin seerumis (ELFA),blood
13526,Treponema pallidumi vastaste antikehade tiitrite määramine mittespetsiifilise RPR-ga,blood
13532,C1 esteraasi inhibiitor seerumis,blood
13564,TroponiinI,blood
13596,Koe transglutaminaasi vastane IgA,blood
13609,Kaerajahu vastane IgE seerumis,blood
13646,Herpes simplex 1. ja 2. tüübi viiruste vastased IgM antikehad,blood
13717,Borrelia burgdorferii vastased IgM antikehad,blood
13743,Kortisool seerumis,blood
13803,S-AST,blood
13809,Myc. pneum. IgM antikehad,blood
13821,aktiveeritud partsiaalse tromboplastiini aeg,blood
13828,Bordetella pertussise vastane IgM,blood
13833,TPHA,blood
13845,ABO veregrupi määramine patsiendi identifitseerimisel või erütrokomponentide kontroll,blood
13866,H1 spetsiifiline IgE üksikallergeeni suhtes,blood
13880,trombiini aeg,blood
13912,Türotropiini retseptorite vastased antikehad,blood
13920,B-tüüpi natriureetikline peptiid vereplasmas,blood
13946,Kolesterool seerumis/plasmas,blood
13969,Pankrease saarekeste vastased antikehad,blood
13992,Amülaas seerumis (kineetika),blood
13994,Borrelia burgdorferi vastane IgG seerumis( sõeluuring),blood
13995,Treponema pallidum AK-d,blood
14006,Mycopl.pn.IgA,blood
14028,Vitamiin D3(25-OH) seerumis,blood
14029,Prostataspetsiifiline antigeen seerumis,blood
14044,C-hepatiidi viiruse vastased antikehad,blood
14049,Folaat seerumis,blood
14059,dehüdroepiandrosteroonsulfaat seerumis,blood
14074,Pepsinogeen II seerumis,blood
14075,Spetsiifiline IgE piim,blood
14098,"Troponiin I, kardiaalne, plasmas",blood
14116,"fS,fP-LDL-Chol",blood
14122,FP5 spetsiifiline IgE allergeenide segu suhtes,blood
14129,Antistreptolüsiin O seerumis/plasmas,blood
14134,B-tüüpi natritiureetilise propeptiidi N- terminaalne fragment,blood
14137,Üksikallergeeni f2 (lehmapiim) vastased IgE antikehad seerumis,blood
14138,"B hepatiidi viiruse pinnaantigeen, kiiruuring",blood
14143,Mycoplasma pneumoniae vastased IgG-antikehad seerumis,blood
14147,Kreatiinkinaasi MB isoensüümi mass,blood
14175,Kreatiini kinaasi Mb isoensüümi mass,blood
14180,Kartsinoembrüonaalne antigeen seerumis (ELFA),blood
14182,F2 spetsiifiline IgE üksikallergeeni suhtes,blood
14213,ds-DNA (IgG) vastased antikehad (Crithida luciliae),blood
14225,S-CRP,blood
14236,Leideni mutatsiooni uuring V faktori geenis,blood
14241,S-K,blood
14277,"S,P-ALP",blood
14284,Aluseline fosfataas seerumis/plasmas,blood
14313,Kaseiini vastane IgE seerumis,blood
14328,FP2 spetsiifiline IgE allergeenide segu suhtes,blood
14348,S-aHCV,blood
14370,CEA Kartsinoembrüonaalne antigeen seerumis,blood
14372,lihtherpeseviiruse 2.tüübi vastane IgG seerumis,blood
14376,Tsütomegaloviirus DNA,blood
14379,kreatiinkinaas,blood
14449,Leukotsüütide pinnaantigeen HLA B27,blood
14453,P-PT,blood
14462,Beeta-2-glükoproteiin 1 vastane IgM seerumis,blood
14475,Sapphapped seerumis,blood
14528,Spetsiifiline IgE lambavill,blood
14544,"TP5 spetsiifiline IgE allergeenide segu (lepp, sarapuu, jalakas, paju, pappel) suhtes",blood
14555,Pankrease saarekeste vastane IgG seerumis,blood
14567,Chlamydia trachomatis vastane IgM seerumis,blood
14608,"Glükeeritud hemoglobiin, A1C fraktsioon",blood
14638,Fosfaat seerumis,blood
14640,B-glükoos enne koormust,blood
14652,B-HbA1c,blood
14708,ABO veregrupi ja Rh(D) kuuluvuse määramine,blood
14718,Spetsiifiline IgE tarakan,blood
14742,"Chl.pneumoniae, IgM antikehad.",blood
14752,Insuliinisarnane kasvufaktor,blood
14773,Salmonella antikehad,blood
14797,Transferriin seerumis,blood
14802,Spetsiifiline IgE apelsin,blood
14827,REESUS,blood
14829,Kaalium venooses veres,blood
14839,Borellia burgdorferi antikehad,blood
14848,Hantaviirus seerumis,blood
14851,Epstein-Barri viiruse DNA hulk veres,blood
14853,Troponiin T seerumis (kõrgtundlik),blood
14854,Neerupealise koore vastane IgG seerumis,blood
14861,Sojavastane IgE,blood
14871,Hepatiit C viiruse vastased antikehad seerumis (immuunkromatograafia),blood
14876,Chl.pneumonia vastased IgA antikehad,blood
14902,Erütrotsütaarsete antikehade sõeluuring,blood
14927,follitropiine.folliikuleid stimuleeriv hormoon,blood
14941,TP5 spetsiifiline IgE allergeenide segu suhtes,blood
14943,Türeotropiin ehk kilpnääret stimuleeriv hormoon seerumis (ELFA),blood
14947,Chlamydia pneumoniae IgM,blood
14960,Fibriini D-dimeerid seerumis,blood
14981,Müoglobiin (STAT - kiirtest),blood
14986,Madalmolekulaarse hepariini kontsentratsioon,blood
15018,Chlamydia pneumoniae vastane IgG seerumis,blood
15036,Munavalge ja -kollase vastane IgE seerumis,blood
15072,Inimese munandimanuse proteiin 4,blood
15083,IgG tüüpi transglutaminaasi vastased antikehad vereseerumist,blood
15118,Vaba prostataspetsiifilise antigeeni % seerumis,blood
15126,ABO veregrupi kinnitav määramine,blood
15128,Folliikuleid stimuleeriva hormooni vastane IgA,blood
15130,Proteiin C,blood
15135,Naatrium venooses veres,blood
15159,Borrelia IgG,blood
15162,Mycoplasma pneumoniae IgG,blood
15165,Tuuma-ja tsütoplasmaantigeenide vastased antikehad seerumis,blood
15176,Lehmapiima vastane IgE seerumis,blood
15199,Prostataspetsiifiline antigeen (PSA),blood
