id;fpath;sentence;remove_start;remove_end;removed;type;short_sent;cons_score;ual;la;sentence_analysis_data;peasona;verb;label
660;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Loomulikult peab raviasutus teadma , millises ulatuses arstiabi teatud vormi osutatakse .;35;54;, millises ulatuses;bound;Loomulikult peab raviasutus teadma arstiabi teatud vormi osutatakse .;88.9;100.0;88.9;(',', 4, 7, 'osutatakse', 11);,;osutatakse;0
664;Train/arborest_ud211.conllu;Membraan tõmbus südamiku poole .;16;30;südamiku poole;bound;Membraan tõmbus .;100.0;100.0;100.0;('südamiku', 2, 2, 'tõmbus', 2);südamiku;tõmbus;0
665;Train/aja_ml200247_osa_3_ud211.conllu;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem asjaga kursis olevaid inimesi .;27;39;arengukavaga;bound;Mihkelson oleks eelistanud veel venitada , kaasata selle ettevalmistamisse rohkem asjaga kursis olevaid inimesi .;93.3;93.3;93.3;('arengukavaga', 3, 6, 'venitada', 6);arengukavaga;venitada;0
674;Train/aja_luup200202_osa_3_ud211.conllu;Kuigi kõige kasulikum oli müüa varad nii kiiresti kui võimalik avatud pakkumiste teel ja strateegilistele investoritele , rakendasid seda taktikat ainult Ida-Saksamaa , Eesti ja Ungari .;63;119;avatud pakkumiste teel ja strateegilistele investoritele;bound;Kuigi kõige kasulikum oli müüa varad nii kiiresti kui võimalik , rakendasid seda taktikat ainult Ida-Saksamaa , Eesti ja Ungari .;95.2;95.2;100.0;('pakkumiste', 11, 5, 'müüa', 5);pakkumiste;müüa;0
675;Train/aja_epl20061216_ud211.conllu;""" President ei saa paratamatult olla kursis kogu Eesti Vabariigis toimuvaga , ja selleks ongi tal nõunikud , "" selgitas ta .";44;65;kogu Eesti Vabariigis;bound;""" President ei saa paratamatult olla kursis toimuvaga , ja selleks ongi tal nõunikud , "" selgitas ta .";84.2;84.2;89.5;('kogu', 7, 10, 'selgitas', 20);kogu;selgitas;0
677;Train/aja_luup200106_osa_5_ud211.conllu;Londoni Ülikooli Slaavi ja Ida-Euroopa Uuringute Kooli direktori hinnangul tunnevad eestlased palju paremini Suurbritanniat kui britid Eestit .;0;74;Londoni Ülikooli Slaavi ja Ida-Euroopa Uuringute Kooli direktori hinnangul;bound;tunnevad eestlased palju paremini Suurbritanniat kui britid Eestit .;100.0;100.0;100.0;('Londoni', 0, 2, 'tunnevad', 10);Londoni;tunnevad;0
681;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;32;47;kontaktivõtmine;bound;Raviasutuste hinnangul kulutaks liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;96.0;100.0;96.0;('kontaktivõtmine', 3, 3, 'kulutaks', 3);kontaktivõtmine;kulutaks;0
684;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;151;189;raviteenuse eest saamata jäänud tuluga;bound;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes .;90.5;95.2;95.2;('tuluga', 24, 20, 'võrreldes', 20);tuluga;võrreldes;0
686;Train/aja_pm19980926e_ud211.conllu;Samas võib seesama mulla teha avalikkuse ees mõnele naisterahvale märkuse , kui tal väike juuksetukk rätiku alt välja kipub .;45;65;mõnele naisterahvale;bound;Samas võib seesama mulla teha avalikkuse ees märkuse , kui tal väike juuksetukk rätiku alt välja kipub .;94.4;100.0;94.4;('naisterahvale', 8, 5, 'teha', 5);naisterahvale;teha;0
692;Train/aja_luup200106_osa_3_ud211.conllu;Riigikogu saalis jagan ma kohta paljude endiste kommunistiga .;0;16;Riigikogu saalis;bound;jagan ma kohta paljude endiste kommunistiga .;100.0;100.0;100.0;('Riigikogu', 0, 2, 'jagan', 3);Riigikogu;jagan;0
693;Train/aja_luup200106_osa_3_ud211.conllu;Riigikogu saalis jagan ma kohta paljude endiste kommunistiga .;32;60;paljude endiste kommunistiga;bound;Riigikogu saalis jagan ma kohta .;100.0;100.0;100.0;('kommunistiga', 7, 3, 'jagan', 3);kommunistiga;jagan;0
699;Train/ilu_kanep_ud211.conllu;Tol hommikul , kui sa vihaselt poodi läksid , olin õnnetust intsidendist juba kuulnud .;51;72;õnnetust intsidendist;bound;Tol hommikul , kui sa vihaselt poodi läksid , olin juba kuulnud .;84.6;84.6;92.3;('õnnetust', 10, 12, 'kuulnud', 14);õnnetust;kuulnud;0
706;Train/aja_ee200110_osa_1_ud211.conllu;Sposato väitel põgenes tema ekslauljast pruut Inglismaale Eesti politsei ahistamise eest .;0;14;Sposato väitel;bound;põgenes tema ekslauljast pruut Inglismaale Eesti politsei ahistamise eest .;90.0;90.0;100.0;('Sposato', 0, 2, 'põgenes', 3);Sposato;põgenes;0
709;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Paljud pikaaegsed uurimused on näidanud , et AH keskeas ( 40 - 60 aastastel ) on seotud halvema kognitiivse võimekusega kõrgemas vanuses ( 60 - 80 aastastel ) ka ilma insuldita anamneesis .;88;158;halvema kognitiivse võimekusega kõrgemas vanuses ( 60 - 80 aastastel );bound;Paljud pikaaegsed uurimused on näidanud , et AH keskeas ( 40 - 60 aastastel ) on seotud ka ilma insuldita anamneesis .;77.3;90.9;81.8;('võimekusega', 19, 17, 'näidanud', 5);võimekusega;näidanud;0
710;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Paljud pikaaegsed uurimused on näidanud , et AH keskeas ( 40 - 60 aastastel ) on seotud halvema kognitiivse võimekusega kõrgemas vanuses ( 60 - 80 aastastel ) ka ilma insuldita anamneesis .;159;187;ka ilma insuldita anamneesis;bound;Paljud pikaaegsed uurimused on näidanud , et AH keskeas ( 40 - 60 aastastel ) on seotud halvema kognitiivse võimekusega kõrgemas vanuses ( 60 - 80 aastastel ) .;65.5;75.9;72.4;('anamneesis', 31, 17, 'näidanud', 5);anamneesis;näidanud;0
713;Train/tea_toohoive.conllu;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud kõrgema sissetulekuga tuludetsiilide osas ; kogu kapitali laekumine ei väljendu üksnes rahalistes tuludes , arvesse jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";229;254;üksnes rahalistes tuludes;bound;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud kõrgema sissetulekuga tuludetsiilide osas ; kogu kapitali laekumine ei väljendu , arvesse jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";85.7;88.1;92.9;('tuludes', 32, 30, 'väljendu', 30);tuludes;väljendu;0
714;Train/tea_toohoive.conllu;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud kõrgema sissetulekuga tuludetsiilide osas ; kogu kapitali laekumine ei väljendu üksnes rahalistes tuludes , arvesse jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";257;264;arvesse;bound;"Üheks lahenduseks oleks Gini koefitsiendi kasutamine , kuid sellega seoses kerkivad üles lisanduvad küsimused ( sissetulekud ei ole õigesti hinnatud kõrgema sissetulekuga tuludetsiilide osas ; kogu kapitali laekumine ei väljendu üksnes rahalistes tuludes , jäävad võtmata nt kapitalikasvik ja sotsiaalse kapitali muutus ) .";88.6;90.9;93.2;('arvesse', 34, 37, 'võtmata', 37);arvesse;võtmata;0
715;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Määravaks toeks ajakirja väljaandmisel on olnud hea koostöö ravimifirmadega , kelle tellitud reklaami avaldamine ajakirjas katab enamiku väljaandmisega seotud kuludest .;78;83;kelle;bound;Määravaks toeks ajakirja väljaandmisel on olnud hea koostöö ravimifirmadega , tellitud reklaami avaldamine ajakirjas katab enamiku väljaandmisega seotud kuludest .;85.0;85.0;90.0;('kelle', 10, 12, 'katab', 16);kelle;katab;0
716;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Määravaks toeks ajakirja väljaandmisel on olnud hea koostöö ravimifirmadega , kelle tellitud reklaami avaldamine ajakirjas katab enamiku väljaandmisega seotud kuludest .;137;151;väljaandmisega;bound;Määravaks toeks ajakirja väljaandmisel on olnud hea koostöö ravimifirmadega , kelle tellitud reklaami avaldamine ajakirjas katab enamiku seotud kuludest .;90.0;90.0;90.0;('väljaandmisega', 17, 19, 'katab', 16);väljaandmisega;katab;0
718;Train/aja_ml200247_osa_2_ud211.conllu;EPMÜ teadusprorektori Lembit Nei ( 45 ) ja metsandusteaduskonna dekaani Hardi Tulluse ( 46 ) kõrval pürib rektoritoolile ka mees väljastpoolt - Tartu Ülikooli zooloogia ja hüdrobioloogia instituudi erizooloogia korraline professor Alar Karis ( 44 ) .;106;120;rektoritoolile;bound;EPMÜ teadusprorektori Lembit Nei ( 45 ) ja metsandusteaduskonna dekaani Hardi Tulluse ( 46 ) kõrval pürib ka mees väljastpoolt - Tartu Ülikooli zooloogia ja hüdrobioloogia instituudi erizooloogia korraline professor Alar Karis ( 44 ) .;83.3;83.3;97.2;('rektoritoolile', 17, 17, 'pürib', 17);rektoritoolile;pürib;0
723;Dev/aja_luup200009_ud211.conllu;Pisima valitsuspartei D66 liider Thom de Graaf söandas välja tulla mõttega , et tänapäeva ühiskonna jaoks on kuningannal kanda liiga raske koorem , millest võiks suurema osa laduda valitsuse õlule : “ Pole vaja mingit ilulindu ilupuuris . ”;67;196;mõttega , et tänapäeva ühiskonna jaoks on kuningannal kanda liiga raske koorem , millest võiks suurema osa laduda valitsuse õlule;bound;Pisima valitsuspartei D66 liider Thom de Graaf söandas välja tulla : “ Pole vaja mingit ilulindu ilupuuris . ”;89.5;94.7;89.5;('mõttega', 10, 10, 'tulla', 10);mõttega;tulla;0
730;Train/tea_geofyysika.conllu;Neist kraadimõõtmistest suurima , 25o 20' ehk üle 2800 km haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;34;57;25o 20' ehk üle 2800 km;bound;Neist kraadimõõtmistest suurima , haaraval kaarel 1816-1855 toimunud ettevõtmise peaosaliseks oli Tartu Observatooriumi ja Pulkovo observatooriumi ( alates 1839 ) direktor Friedrich Georg Willhelm Struve ( 1793-1864 ) .;0.0;10.3;24.1;"(""20'"", 5, 5, 'oli', 17)";20';oli;0
737;Dev/aja_luup200009_ud211.conllu;Teiste sõnadega , kui Kuu oleks Maast 10 korda kaugemal kui praegu , oleks tema tõmme 100 korda nõrgem , loodejõud aga 1000 korda nõrgem .;86;95;100 korda;bound;Teiste sõnadega , kui Kuu oleks Maast 10 korda kaugemal kui praegu , oleks tema tõmme nõrgem , loodejõud aga 1000 korda nõrgem .;100.0;100.0;100.0;('100', 16, 18, 'oleks', 6);100;oleks;0
743;Train/aja_pm20001004_osa_2_ud211.conllu;Mare Tommingase töö on temast teinud äärmiselt sümpaatse ja inimliku printsi , kelle verbaalselt öeldud fraas kutsub esile publiku kõige heatahtlikuma naerupahvaku .;23;29;temast;bound;Mare Tommingase töö on teinud äärmiselt sümpaatse ja inimliku printsi , kelle verbaalselt öeldud fraas kutsub esile publiku kõige heatahtlikuma naerupahvaku .;100.0;100.0;100.0;('temast', 4, 6, 'teinud', 6);temast;teinud;0
746;Train/aja_ee200110_osa_10_ud211.conllu;"Kalju Suur on üks tähtsamaid eesti fotograafe eelmise sajandi neljal viimasel kümnendil ; ja ta pildistab ka uuel sajandil .";109;122;uuel sajandil;bound;"Kalju Suur on üks tähtsamaid eesti fotograafe eelmise sajandi neljal viimasel kümnendil ; ja ta pildistab ka .";100.0;100.0;100.0;('sajandil', 18, 16, 'pildistab', 16);sajandil;pildistab;0
747;Train/aja_ee200110_osa_9_ud211.conllu;Miks täpselt , ma ei tea , kuid mulle meeldib mõelda , et süüdi on ikka Manson .;32;37;mulle;bound;Miks täpselt , ma ei tea , kuid meeldib mõelda , et süüdi on ikka Manson .;94.1;94.1;100.0;('mulle', 8, 10, 'meeldib', 10);mulle;meeldib;0
755;Train/aja_pm20000218_osa_5_ud211.conllu;Koos eilsete kohtuotsustega on Viljandi halduskohus õigeks mõistnud juba kuus poepidajat , kellele majanduspolitsei tegi protokollid , sest nende kauplustes mängis müüja lõbustamiseks raadio .;140;156;nende kauplustes;bound;Koos eilsete kohtuotsustega on Viljandi halduskohus õigeks mõistnud juba kuus poepidajat , kellele majanduspolitsei tegi protokollid , sest mängis müüja lõbustamiseks raadio .;95.7;95.7;100.0;('nende', 18, 20, 'mängis', 21);nende;mängis;0
756;Train/aja_pm20000218_osa_5_ud211.conllu;Koos eilsete kohtuotsustega on Viljandi halduskohus õigeks mõistnud juba kuus poepidajat , kellele majanduspolitsei tegi protokollid , sest nende kauplustes mängis müüja lõbustamiseks raadio .;164;183;müüja lõbustamiseks;bound;Koos eilsete kohtuotsustega on Viljandi halduskohus õigeks mõistnud juba kuus poepidajat , kellele majanduspolitsei tegi protokollid , sest nende kauplustes mängis raadio .;95.7;95.7;100.0;('lõbustamiseks', 22, 21, 'mängis', 21);lõbustamiseks;mängis;0
760;Train/ilu_maailm_ud211.conllu;Varsti viskas ta kahvli kappi tagasi , raius lukku noaga ja vandus .;51;56;noaga;bound;Varsti viskas ta kahvli kappi tagasi , raius lukku ja vandus .;91.7;100.0;91.7;('noaga', 9, 8, 'raius', 8);noaga;raius;0
761;Train/ilu_kanep_ud211.conllu;Päev on määratud hävingule .;17;26;hävingule;bound;Päev on määratud .;100.0;100.0;100.0;('hävingule', 3, 3, 'määratud', 3);hävingule;määratud;0
763;Train/aja_luup200106_osa_5_ud211.conllu;Tõenäoliselt on tulevikus võimalik ka nendega õppimis- ja õpetamisprotsessi jagada .;35;45;ka nendega;bound;Tõenäoliselt on tulevikus võimalik õppimis- ja õpetamisprotsessi jagada .;88.9;100.0;88.9;('nendega', 5, 4, 'on', 2);nendega;on;0
764;Train/aja_luup200106_osa_5_ud211.conllu;Tõenäoliselt on tulevikus võimalik ka nendega õppimis- ja õpetamisprotsessi jagada .;46;75;õppimis- ja õpetamisprotsessi;bound;Tõenäoliselt on tulevikus võimalik ka nendega jagada .;75.0;75.0;100.0;('õpetamisprotsessi', 8, 7, 'jagada', 10);õpetamisprotsessi;jagada;0
765;Train/tea_dr8047.conllu;Vastkoorunud tibude aju ja maksa rasvhappeline koostis sõltuvalt kanade söödas sisaldunud õlidest , % üldlipiididest ( Cherian , Sim , 1997 );65;78;kanade söödas;bound;Vastkoorunud tibude aju ja maksa rasvhappeline koostis sõltuvalt sisaldunud õlidest , % üldlipiididest ( Cherian , Sim , 1997 );90.0;95.0;95.0;('kanade', 8, 10, None, None);kanade;;0
772;Train/aja_horisont2000_osa_4_ud211.conllu;-. Viimase kui ühe tšetšeeni tappa lubanud kindral Jermolovit on 19. sajandi kunstnik kujutanud üsna romantilises stiilis ning pildilolijast tekib isegi mulje kui kindlast , tahtejõulisest ja sõbralikust inimesest ! ? !;127;140;pildilolijast;bound;-. Viimase kui ühe tšetšeeni tappa lubanud kindral Jermolovit on 19. sajandi kunstnik kujutanud üsna romantilises stiilis ning tekib isegi mulje kui kindlast , tahtejõulisest ja sõbralikust inimesest ! ? !;0.0;16.1;9.7;('pildilolijast', 18, 20, 'tekib', 20);pildilolijast;tekib;0
775;Train/aja_ee200110_osa_11_ud211.conllu;Olen ju kõik endale ise teinud - miks mitte siis ka teistele .;20;23;ise;bound;Olen ju kõik endale teinud - miks mitte siis ka teistele .;66.7;75.0;91.7;('ise', 4, 6, 'teinud', 6);ise;teinud;0
776;Train/arborest_ud211.conllu;""" Ma sain siis teada , kui mind allakirjutamisele kutsuti , "" väidab Sõmera .";32;49;allakirjutamisele;bound;""" Ma sain siis teada , kui mind kutsuti , "" väidab Sõmera .";71.4;71.4;85.7;('allakirjutamisele', 8, 10, 'kutsuti', 10);allakirjutamisele;kutsuti;0
792;Train/aja_luup200106_osa_1_ud211.conllu;Panga mõistes keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;0;34;Panga mõistes keskmisel miljonäril;bound;seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;93.3;100.0;93.3;('Panga', 0, 2, 'seisab', 5);Panga;seisab;0
793;Train/aja_luup200106_osa_1_ud211.conllu;Panga mõistes keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;58;72;arvelduskontol;bound;Panga mõistes keskmisel miljonäril seisab viiendik rahast ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;88.9;94.4;88.9;('arvelduskontol', 7, 5, 'seisab', 5);arvelduskontol;seisab;0
797;Train/tea_AA_05_6_ud211.conllu;Moraal antud loos on ikkagi see , et üksi tehniliselt ilusast lahendusest ei piisa , vaid tuleb luua uus struktuur ja kujundada uued äriprotsessid , arvestades seejuures kõigi osapoolte huve .;37;73;üksi tehniliselt ilusast lahendusest;bound;Moraal antud loos on ikkagi see , et ei piisa , vaid tuleb luua uus struktuur ja kujundada uued äriprotsessid , arvestades seejuures kõigi osapoolte huve .;92.6;96.3;96.3;('tehniliselt', 9, 11, 'piisa', 14);tehniliselt;piisa;0
798;Train/aja_horisont2000_osa_5_ud211.conllu;Nii nagu igale ohtlikule karile kohane , lebab ka selle tammijäänuse lähedal uppunud laev , põhi püsti .;9;31;igale ohtlikule karile;bound;Nii nagu kohane , lebab ka selle tammijäänuse lähedal uppunud laev , põhi püsti .;86.7;86.7;100.0;('igale', 2, 5, 'lebab', 8);igale;lebab;0
799;Train/aja_horisont2000_osa_5_ud211.conllu;Nii nagu igale ohtlikule karile kohane , lebab ka selle tammijäänuse lähedal uppunud laev , põhi püsti .;47;76;ka selle tammijäänuse lähedal;bound;Nii nagu igale ohtlikule karile kohane , lebab uppunud laev , põhi püsti .;100.0;100.0;100.0;('tammijäänuse', 10, 8, 'lebab', 8);tammijäänuse;lebab;0
806;Train/aja_horisont2000_osa_4_ud211.conllu;Tagajärjeks ühinesid võitlusse valgekaartlaste vastu ka need tšetšeenid ja ingušid , kes seni hirmust punakaartlaste ees olid hoidnud Denikini poole .;134;148;Denikini poole;bound;Tagajärjeks ühinesid võitlusse valgekaartlaste vastu ka need tšetšeenid ja ingušid , kes seni hirmust punakaartlaste ees olid hoidnud .;84.2;89.5;89.5;('Denikini', 18, 18, 'hoidnud', 18);Denikini;hoidnud;0
808;Train/ilu_maailm_ud211.conllu;"Istusime voodile ; voodi kõrval oli uhiuus pruun öökapp .";9;16;voodile;bound;"Istusime ; voodi kõrval oli uhiuus pruun öökapp .";88.9;88.9;100.0;('voodile', 1, 1, 'Istusime', 1);voodile;Istusime;0
809;Train/ilu_kivirahk_ud211.conllu;"Mul on veel paar soojapuhurit ka üles seatud , need tõstavad paberitükid lendu ja kihvt on näha , kuidas kogu see kuradi "" tõde "" seal ringi laperdab nagu vana praht . """;0;3;Mul;bound;"on veel paar soojapuhurit ka üles seatud , need tõstavad paberitükid lendu ja kihvt on näha , kuidas kogu see kuradi "" tõde "" seal ringi laperdab nagu vana praht . """;90.6;90.6;96.9;('Mul', 0, 8, 'seatud', 8);Mul;seatud;0
811;Dev/aja_luup200009_ud211.conllu;“ Mul oli töö suhtes küll eesmärk . ”;2;5;Mul;bound;“ oli töö suhtes küll eesmärk . ”;12.5;12.5;75.0;('Mul', 1, 4, 'oli', 3);Mul;oli;0
819;Train/aja_sloleht20071217_ud211.conllu;"Tollal ei liikunud info nii hästi , et ma suutnuks kõik väljad täita , aga näiteks kergejõustikus sain sellega enam-vähem hakkama . """;83;97;kergejõustikus;bound;"Tollal ei liikunud info nii hästi , et ma suutnuks kõik väljad täita , aga näiteks sain sellega enam-vähem hakkama . """;68.2;68.2;90.9;('kergejõustikus', 16, 18, 'sain', 18);kergejõustikus;sain;0
823;Train/aja_pm20001004_osa_2_ud211.conllu;Teisipäeval kell 19.14 viis noorsoopolitsei turvakodusse 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta kodust välja ajanud .;44;56;turvakodusse;bound;Teisipäeval kell 19.14 viis noorsoopolitsei 10-aastase poisi , kes kurtis , et vanemad olid teda peksnud ja ta kodust välja ajanud .;95.5;100.0;95.5;('turvakodusse', 5, 4, 'viis', 4);turvakodusse;viis;0
825;Train/aja_pm19980926e_ud211.conllu;8. Pilt ei pruugi viidata sellele , mis oli või on , vaid võib märku anda sellest , mis võib juhtuda ( ebaõnnestumine ) , mis võiks juhtuda ( menu ) või kes inimene tahaks olla ( kuulus staar , vastassoost , abielus ) .;26;50;sellele , mis oli või on;bound;8. Pilt ei pruugi viidata , vaid võib märku anda sellest , mis võib juhtuda ( ebaõnnestumine ) , mis võiks juhtuda ( menu ) või kes inimene tahaks olla ( kuulus staar , vastassoost , abielus ) .;87.2;89.7;89.7;('sellele', 5, 5, 'viidata', 5);sellele;viidata;0
826;Train/aja_pm19980926e_ud211.conllu;8. Pilt ei pruugi viidata sellele , mis oli või on , vaid võib märku anda sellest , mis võib juhtuda ( ebaõnnestumine ) , mis võiks juhtuda ( menu ) või kes inimene tahaks olla ( kuulus staar , vastassoost , abielus ) .;74;217;sellest , mis võib juhtuda ( ebaõnnestumine ) , mis võiks juhtuda ( menu ) või kes inimene tahaks olla ( kuulus staar , vastassoost , abielus );bound;8. Pilt ei pruugi viidata sellele , mis oli või on , vaid võib märku anda .;58.8;58.8;76.5;('sellest', 16, 16, 'anda', 16);sellest;anda;0
829;Train/aja_ee199920_osa_1_ud211.conllu;Mitme sõnaga ma vastama pean ?;0;12;Mitme sõnaga;bound;ma vastama pean ?;0.0;0.0;50.0;('Mitme', 0, 2, 'vastama', 4);Mitme;vastama;0
832;Dev/aja_ee199920_osa4_ud211.conllu;Avatud kuni 23. maini .;7;21;kuni 23. maini;bound;Avatud .;100.0;100.0;100.0;('maini', 3, 1, 'Avatud', 1);maini;Avatud;0
833;Train/aja_sloleht20071217_ud211.conllu;Ta arvab , et asi võis alata painutuspirueti uuel tasemel harjutamisest , kus selg lõi valusaks ja närvivalu liikus edasi jalga .;29;127;painutuspirueti uuel tasemel harjutamisest , kus selg lõi valusaks ja närvivalu liikus edasi jalga;bound;Ta arvab , et asi võis alata .;100.0;100.0;100.0;('harjutamisest', 10, 7, 'alata', 7);harjutamisest;alata;0
835;Train/aja_luup200202_osa_4_ud211.conllu;Kärbse järgi tehtud .;0;12;Kärbse järgi;bound;tehtud .;100.0;100.0;100.0;('järgi', 1, 1, 'tehtud', 3);järgi;tehtud;0
836;Train/aja_luup200106_osa_5_ud211.conllu;16. sajandi algul muutus Viiburi esmakordselt Vene kaupade ümberlaadimispaigaks .;0;17;16. sajandi algul;bound;muutus Viiburi esmakordselt Vene kaupade ümberlaadimispaigaks .;100.0;100.0;100.0;('16.', 0, 2, 'muutus', 4);16.;muutus;0
837;Train/aja_luup200106_osa_4_ud211.conllu;Vähe sellest , et Gregorius tunnistas üles , et on kristlane .;5;60;sellest , et Gregorius tunnistas üles , et on kristlane;bound;Vähe .;100.0;100.0;100.0;('sellest', 1, 1, 'tunnistas', 6);sellest;tunnistas;0
838;Train/tea_geofyysika.conllu;Ekvatoriaalse ja polaarse pooltelje erinevus ulatub aga üle 21 kilomeetri .;56;73;üle 21 kilomeetri;bound;Ekvatoriaalse ja polaarse pooltelje erinevus ulatub aga .;100.0;100.0;100.0;('kilomeetri', 9, 6, 'ulatub', 6);kilomeetri;ulatub;0
841;Train/ilu_valton_ud211.conllu;"Kas Tsee võis teada midagi kunagistest Hiina palee ilukanadest , on üpris kahtlane , aga nõnda kuulis tüdruk teda kõnelevat , kuigi mõnele kehvemale kuulajale ei kostnud muud kui mõni üksik "" kok "" .";27;62;kunagistest Hiina palee ilukanadest;bound;"Kas Tsee võis teada midagi , on üpris kahtlane , aga nõnda kuulis tüdruk teda kõnelevat , kuigi mõnele kehvemale kuulajale ei kostnud muud kui mõni üksik "" kok "" .";90.3;90.3;100.0;('ilukanadest', 8, 4, 'teada', 4);ilukanadest;teada;0
842;Train/ilu_valton_ud211.conllu;"Kas Tsee võis teada midagi kunagistest Hiina palee ilukanadest , on üpris kahtlane , aga nõnda kuulis tüdruk teda kõnelevat , kuigi mõnele kehvemale kuulajale ei kostnud muud kui mõni üksik "" kok "" .";132;158;mõnele kehvemale kuulajale;bound;"Kas Tsee võis teada midagi kunagistest Hiina palee ilukanadest , on üpris kahtlane , aga nõnda kuulis tüdruk teda kõnelevat , kuigi ei kostnud muud kui mõni üksik "" kok "" .";90.6;90.6;96.9;('mõnele', 22, 25, 'kostnud', 27);mõnele;kostnud;0
845;Dev/aja_ml200247_osa6_ud211.conllu;1990. aastal siirdus Gerda , kes vanemate ja passi järgi on soomlane , oma esimesele kodumaale .;69;94;, oma esimesele kodumaale;bound;1990. aastal siirdus Gerda , kes vanemate ja passi järgi on soomlane .;100.0;100.0;100.0;('kodumaale', 15, 3, 'siirdus', 3);kodumaale;siirdus;0
848;Train/tea_AA_05_6_ud211.conllu;Projekt algas 1. oktoobril 2005 ja planeeritud lõpp on 31. märts 2008 , kestus 30 kuud .;14;31;1. oktoobril 2005;bound;Projekt algas ja planeeritud lõpp on 31. märts 2008 , kestus 30 kuud .;92.9;100.0;92.9;('oktoobril', 3, 2, 'algas', 2);oktoobril;algas;0
859;Train/aja_pm20001004_osa_1_ud211.conllu;Sangla Turba brikett asub kunagises väetisehoidlas , mille firma kohandas briketi ladustamiseks .;26;95;kunagises väetisehoidlas , mille firma kohandas briketi ladustamiseks;bound;Sangla Turba brikett asub .;100.0;100.0;100.0;('väetisehoidlas', 5, 4, 'asub', 4);väetisehoidlas;asub;0
866;Train/aja_ee200110_osa_10_ud211.conllu;Aga me oleme sellest nüüd juba nii kaugel - ja hetkel nii lähedal Vaarandi luulele - , et näha : verd , mis kätkeb endas nii kuritööd kui ka armuandi , ja luulet , mis lunastab ja teeb targaks .;66;82;Vaarandi luulele;bound;Aga me oleme sellest nüüd juba nii kaugel - ja hetkel nii lähedal - , et näha : verd , mis kätkeb endas nii kuritööd kui ka armuandi , ja luulet , mis lunastab ja teeb targaks .;94.7;94.7;100.0;('luulele', 14, 13, 'oleme', 3);luulele;oleme;0
871;Train/aja_ee200110_osa_7_ud211.conllu;Instinktid ei sõltu mälust .;20;26;mälust;bound;Instinktid ei sõltu .;100.0;100.0;100.0;('mälust', 3, 3, 'sõltu', 3);mälust;sõltu;0
872;Train/aja_pm20001004_osa_3_ud211.conllu;Kultuuriminister Signe Kivi sõnul peab valitsus hoolimata mitmete ärimeeste vastuväidetest alghinda reaalseks .;0;33;Kultuuriminister Signe Kivi sõnul;bound;peab valitsus hoolimata mitmete ärimeeste vastuväidetest alghinda reaalseks .;100.0;100.0;100.0;('Signe', 1, 1, 'peab', 5);Signe;peab;0
875;Dev/aja_luup200009_ud211.conllu;Milles peaksid need siis seisnema , küsisin mina .;0;6;Milles;bound;peaksid need siis seisnema , küsisin mina .;50.0;50.0;75.0;('Milles', 0, 5, 'seisnema', 5);Milles;seisnema;0
