analysis_name, parameter_name, t_lyhend
RDW-CV Erütrotsüütid,RDW-CV Erütrotsüütid,B-RDW-CV
RDW-CV Erütrotsüütide anisotsü,RDW-CV Erütrotsüütide anisotsü,B-RDW-CV
RDW-CV Erütrotsüütide suurusja,RDW-CV Erütrotsüütide suurusja,B-RDW-CV
RDW-SD,RDW-SD,B-RDW-SD
S-ALAT,S-ALAT,"S,P-ALAT"
S-ANA IgG,S-ANA IgG,"S,P-ANA IgG"
S-ANA (Q),S-ANA,"S,P-ANA Ab"
S-ASAT,S-ASAT,"S,P-ASAT"
S-Chol,S-Chol,"S,P-Chol"
S-Crea (eGFR),S-Crea:,"S,P-Crea"
S-Creat,S-Creat,"S,P-Crea"
Segmenttuumsed,Segmenttuumsed,B-Segmenttuumsed neutrofiilid %
segmenttuumsed,segmenttuumsed,B-Segmenttuumsed neutrofiilid %
Segmenttuumsed neutr,Segmenttuumsed neutr,B-Segmenttuumsed neutrofiilid %
Segmenttuumsed neutrofiilid,Segmenttuumsed neutrofiilid,B-Segmenttuumsed neutrofiilid %
Segmenttuumsed neutrofiilid %,Segmenttuumsed neutrofiilid %,B-Segmenttuumsed neutrofiilid %
Segmenttuumsed neutrofiilid ve,Segmenttuumsed neutrofiilid ve,B-Segmenttuumsed neutrofiilid %
Segmentuumseid,Segmentuumseid,B-Segmenttuumsed neutrofiilid %
S-FT4,S-FT4,"S,P-fT4"
S-fT4,S-fT4,"S,P-fT4"
S-FT4 vaba türo,S-FT4 vaba türo,"S,P-fT4"
S-Gluc,S-Gluc,"S,P-Gluc"
S-HDL,S-HDL,"S,P-HDL-Chol"
S-LDL,S-LDL,"S,P-LDL-Chol"
S-Liver Ab panel,ANA HEp-2,"S,P-ANA IgG titr Hep2"
"S,P-ALAT","S,P-ALAT","S,P-ALAT"
"S,P-ASAT","S,P-ASAT","S,P-ASAT"
"S,P-Chol","S,P-Chol","S,P-Chol"
"S,P-Crea","S,P-Crea","S,P-Crea"
S- PCT,S- PCT,"S,P-PCT"
Spetsiifiliste antikehade kompleksne samastamine,S-ANA IgG panel,"S,P-ANA IgG panel IIF"
"S,P-fT4","S,P-fT4","S,P-fT4"
"S,P-Glükoos","S,P-Glükoos","S,P-Gluc"
"S,P-HDL-Chol","S,P-HDL-Chol","S,P-HDL-Chol"
"S,P-Kaltsitoniin","S,P-Kaltsitoniin","S,P-CT"
"S,P-Kolesterool","S,P-Kolesterool","S,P-Chol"
"S,P-Kreatiniin","S,P-Kreatiniin","S,P-Crea"
"S,P-LDL-Chol","S,P-LDL-Chol","S,P-LDL-Chol"
"S,P-TSH","S,P-TSH","S,P-TSH"
"S,P-Uurea","S,P-Uurea","S,P-Urea"
STLI laiendatud paneel: emakakaelakanali,Ureaplasma urealyticum DNA:,XXX-U urealyticum DNA
STLI laiendatud paneel: emakakaelakanali kaabe,U urealyticum DNA,XXX-U urealyticum DNA
STLI paneel 1 DNA ureetrast,U urealyticum/parvum,XXX-U urealyticum/U parvum DNA
S-TSH,S-TSH,"S,P-TSH"
Suguhaiguste laiendatud paneel ( DNA),U.urealyticum DNA,XXX-U urealyticum DNA
S-Urea,S-Urea,"S,P-Urea"
Triglütseriidid,Triglütseriidid,"fS,fP-Trigl"
triglütseriidid,triglütseriidid,"fS,fP-Trigl"
Triglütseriidid paastuseerumis,Triglütseriidid paastuseerumis,"fS,fP-Trigl"
Triglütseriidid seer,Triglütseriidid seer,"fS,fP-Trigl"
Triglütseriidid seerumis,Triglütseriidid seerumis,"fS,fP-Trigl"
Trombokrit,Trombokrit,B-Pct
Trombotsüüdid,Trombotsüüdid,B-Plt
trombotsüüdid,trombotsüüdid,B-Plt
trombotsüüdid 1,trombotsüüdid 1,B-Plt
Trombotsüüdid 10E9,Trombotsüüdid 10E9,B-Plt
Trombotsüüdid 10E9/l,Trombotsüüdid 10E9/l,B-Plt
TSH,TSH,"S,P-TSH"
TSH Kilpn??ret,TSH Kilpn??ret,"S,P-TSH"
TSH Kilpn??ret stimuleeriv hor,TSH Kilpn??ret stimuleeriv hor,"S,P-TSH"
TSH Kilpnääret,TSH Kilpnääret,"S,P-TSH"
TSH Kilpnääret stimuleeriv hor,TSH Kilpnääret stimuleeriv hor,"S,P-TSH"
TSH retseptorite vastased ak,TSH retseptorite vastased ak,"S,P-TSH"
Tuumaantikehade tüpiseerimine (HEp-2),S-ANA-HEp-,"S,P-ANA IgG titr Hep2"
Tuumavastane Ig,Tuumavastane Ig,"S,P-ANA IgG"
Tuumavastane IgG,Tuumavastane IgG,"S,P-ANA IgG"
Tuumavastane Ig G,S-ANA_Ig_G,"S,P-ANA IgG"
Tuumavastane Ig G,Tuumavastane Ig G seerumis,"S,P-ANA IgG"
Tuumavastane IgG (paneel),S-ANA_IgG_panel,"S,P-ANA IgG panel IIF"
Tuumavastane IgG seerumis,S-ANA IgG,"S,P-ANA IgG"
Tuumavastane IgG seerumis,S-ANA_IgG,"S,P-ANA IgG"
tuumavastane IgG seerumis,S-ANA IgG,"S,P-ANA IgG"
tuumavastane IgG seerumis,S-ANA_IgG,"S,P-ANA IgG"
Tuumavastased a,Tuumavastased a,"S,P-ANA Ab"
Tuumavastased Ak-d (ANA),S-ANA-Hep-2,"S,P-ANA IgG titr Hep2"
Tuumavastased Ak-d (ANA),S-ANA-Hep-2,"S,P-ANA IgG titr Hep2"
Tuumavastased Ak-d (ANA),S-ANA-IgG,"S,P-ANA IgG"
Tuumavastased antikehad,ANA (antinukleaarsed Ak-d),"S,P-ANA Ab"
Tuumavastased antikehad,S1-ANA,"S,P-ANA Ab"
Tuumavastased antikehad,S1-ANA,"S,P-ANA Ab"
Tuumavastased antikehad,S-aANA,"S,P-ANA Ab"
Tuumavastased antikehad,S-aANA,"S,P-ANA Ab"
Tuumavastased antikehad,S-ANA,"S,P-ANA Ab"
Tuumavastased antikehad,S-ANA,"S,P-ANA Ab"
Tuumavastased antikehad,S-aNA,"S,P-ANA Ab"
Tuumavastased antikehad,S-aNA,"S,P-ANA Ab"
Tuumavastased antikehad,S-ANA-IB/ANA IgG paneel,"S,P-ANA IgG panel IIF"
Tuumavastased antikehad,S-ANA IgG tiiter,"S,P-ANA IgG titr"
Tuumavastased antikehad,S-ANA_IgG_tiiter,"S,P-ANA IgG titr"
Tuumavastased antikehad,Tuumavastane IgG seerumis,"S,P-ANA IgG"
Tuumavastased antikehad,Tuumavastane IgG seerumis,"S,P-ANA IgG"
Tuumavastased antikehad,Tuumavastased antikehad,"S,P-ANA Ab"
Tuumavastased antikehad,Tuumavastased antikehad,"S,P-ANA Ab"
"Tuumavastased antikehad, IgG tiiter",ANA IgG lõpptiiter,"S,P-ANA IgG titr"
"Tuumavastased antikehad, IgG tiiter",S-aANA,"S,P-ANA Ab"
"Tuumavastased antikehad, IgG tiiter",Tuumavastased antikehad,"S,P-ANA Ab"
"Tuumavastased antikehad, IgG tiiter",Tuumavastased antikehad IgG tiiter,"S,P-ANA IgG titr"
Tuumavastased IgG antikehad,S-ANA IgG,"S,P-ANA IgG"
"Tuumavastased IgG antikehad, tiiter",ANA HEp-2,"S,P-ANA IgG titr Hep2"
"Tuumavastased IgG antikehad, tiiter",ANA IgG lõpptiiter,"S,P-ANA IgG titr"
"Tuumavastased IgG antikehad, tiiter",S-ANA,"S,P-ANA Ab"
"Tuumavastased IgG antikehad, tiiter",Tuumavastased antikehad IgG tiiter,"S,P-ANA IgG titr"
Tuumavastase Ig,Tuumavastase Ig,"S,P-ANA IgG"
Tuumavastase IgG tiiter,S-ANA IgG titr,"S,P-ANA IgG titr"
Tuumavastase IgG tiiter,S-ANA_IgG_titr,"S,P-ANA IgG titr"
Tuumavastase IgG tiiter seerumis,S-ANA IgG titr,"S,P-ANA IgG titr"
Tuumavastase IgG tiiter seerumis,S-ANA_IgG_titr,"S,P-ANA IgG titr"
Tuumavastase IgG tiiter seerumis,Tuumavastased antikehad,"S,P-ANA Ab"
Tuumavastase IgG tüpiseerimine,S-ANA IgG panel,"S,P-ANA IgG panel IIF"
Tuumavastase IgG tüpiseerimine,Tuumavastase IgG tüpiseerimine,"S,P-ANA IgG titr Hep2"
Tuumavastase IgG tüpiseerimine HEp-2 rakuliiniga,S-ANA HEp-2,"S,P-ANA IgG titr Hep2"
Tuumavastaste antikehade tüpiseerimine HEp-2 rakuliiniga,S-ANA HEp-2,"S,P-ANA IgG titr Hep2"
Tuumavastaste antikehade tüpiseerimine HEp-2 rakuliinil,S-ANA-HEp-2,"S,P-ANA IgG titr Hep2"
Tuumavastaste antikehade tüpiseerimine HEp-2 rakuliinil,S-aNA-HEp-2,"S,P-ANA IgG titr Hep2"
Tuumavastaste antikehade tüpiseerimine HEp-2 rakuliinil,S-aNA-HEp-2,"S,P-ANA IgG titr Hep2"
U-Alb/U-Crea,Albumiini ja kreatiniini suhe:,U-Alb/U-Crea
U-Alb/U-Crea,U-Alb/U-Crea,U-Alb/U-Crea
U-Kreatiniin,U-Kreatiniin,U-Crea
Ureaplasma DNA paneel emakakaelakanalikaapes,Ureaplasma urealyticum DNA emakakaelakanalikaapes,XXX-U urealyticum DNA
Ureaplasma DNA uriinis,U urealyticum DNA uriinis,XXX-U urealyticum DNA
Ureaplasma parvum/urealyticum DNA emakakaelakanalikaapes (paneel),Ureaplasma urealyticum,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA emakakaelakanalikaapes (paneel),U urealyticum DNA,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA tupekaapes (paneel),Ureaplasma urealyticum,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA tupekaapes (paneel),U urealyticum DNA,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA ureetrakaapes (paneel),Ureaplasma urealyticum,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA ureetrakaapes (paneel),U urealyticum DNA,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA uriinis (paneel),Ureaplasma urealyticum,XXX-U urealyticum/U parvum DNA
Ureaplasma parvum/urealyticum DNA uriinis (paneel),U urealyticum DNA,XXX-U urealyticum/U parvum DNA
Ureaplasma urealyticum,Ureaplasma urealyticum,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA,Ureaplasma urealyticum,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA,Ureaplasma_urealyticum,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA emakakanalikaapes,Cx-U_urealyticum_DNA,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA tupekaapes,Vag-U_urealyticum_DNA,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA ureetrakaapes,Um-U_urealyticum_DNA,XXX-U urealyticum DNA
Ureaplasma urealyticum DNA uriinis (esmasjoa),fvU-U_urealyticum_DNA,XXX-U urealyticum DNA
"Ureaplasma urealyticum ja parvum, PCR, ureetramaterjalist","Ureaplasma urealyticum,",XXX-U urealyticum/U parvum DNA
"Ureaplasma urealyticum ja Ureplasma parvum, PCR, uriinist","Ureaplasma urealyticum, PCR, uriinist",XXX-U urealyticum/U parvum DNA
Ureaplasma urealyticum/parvum DNA tupekaapes,Ureaplasma urealyticum/parvum DNA,XXX-U urealyticum/U parvum DNA
"Ureaplasma urealyticum, PCR (emakakaelakanalikaapelt)",Cx-U urealyticum-PCR,XXX-U urealyticum DNA
"Ureaplasma urealyticum, PCR (emakakaelakanalikaapelt)",Cx-U_urealyticum-PCR,XXX-U urealyticum DNA
"Ureaplasma urealyticum, PCR, ureetrast","Ureplasma urealyticum, PCR, ureetrast",XXX-U urealyticum DNA
Ureaplasma urealyticum/Ureaplasma parvum DNA emakakaelakanalikaapes,Ureaplasma urealyticum/Ureaplasma parvum PCR meetodil,XXX-U urealyticum/U parvum DNA
"Ureaplasma urealyticum, Ureaplasma parvum, PCR, emakakaelakanalikaapest","Ureaplasma urealyticum,PCR",XXX-U urealyticum/U parvum DNA
"Ureaplasma urealyticum, Ureaplasma parvum PCR, emakakaelakanali materjalis",Ureaplasma urealyticum,XXX-U urealyticum/U parvum DNA
"Ureaplasma urealyticum, Ureaplasma parvum, PCR, emakakaelast","Ureaplasma urealyticum,PCR",XXX-U urealyticum/U parvum DNA
Uriin,NIT,U-Nit strip
Uriin,NIT HK:0000,U-Nit strip
Uriin,pH HK:0000,U-pH strip
Uriin,SG,U-SG strip
Uriin,SG HK:0000,U-SG strip
Uriini analüüs 10 parameetrilise testribaga,BIL,U-Bil strip
Uriini analüüs 10 parameetrilise testribaga,BIL,U-Bil strip
Uriini analüüs 10 parameetrilise testribaga,GLU,U-Gluc strip
Uriini analüüs 10 parameetrilise testribaga,KET,U-Ket strip
Uriini analüüs 10 parameetrilise testribaga,LEU,U-WBC strip
Uriini analüüs 10 parameetrilise testribaga,NIT,U-Nit strip
Uriini analüüs 10 parameetrilise testribaga,NIT,U-Nit strip
Uriini analüüs 10 parameetrilise testribaga,PRO,U-Prot strip
Uriini analüüs 10 parameetrilise testribaga,SG,U-SG strip
Uriini analüüs 10 parameetrilise testribaga,UBG,U-Ubg strip
Uriini analüüs 10-parameetrilise testribaga,Bilirubiin,U-Bil strip
Uriini analüüs 10-parameetrilise testribaga,Erütrotsüüdid,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga,Erütrotsüüdid,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga,Glükoos,U-Gluc strip
Uriini analüüs 10-parameetrilise testribaga,Ketoonid,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Ketoonid,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Leukotsüüdid,U-WBC strip
Uriini analüüs 10-parameetrilise testribaga,Nitritid,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Nitritid,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Uriini erikaal,U-SG strip
Uriini analüüs 10-parameetrilise testribaga,Uriini nitritid,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Uriini pH,U-pH strip
Uriini analüüs 10-parameetrilise testribaga,Urobilinogeen,U-Ubg strip
Uriini analüüs 10-parameetrilise testribaga,Valk,U-Prot strip
Uriini analüüs 10-parameetrilise testribaga (uus),Nitritid,U-Nit strip
Uriini analüüs 10-param. testribaga,Atsetoon KET,U-Nit strip
Uriini analüüs 10-param. testribaga,Bilirubiin BIL,U-Bil strip
Uriini analüüs 10-param. testribaga,Erikaal SG,U-SG strip
Uriini analüüs 10-param. testribaga,Erütrotsüüdid ERY,U-RBC strip
Uriini analüüs 10-param. testribaga,Glükoos GLU,U-Gluc strip
Uriini analüüs 10-param. testribaga,Ketokehad KET,U-Ket strip
Uriini analüüs 10-param. testribaga,Leukotsüüdid LEU,U-WBC strip
Uriini analüüs 10-param. testribaga,Mikroobid NIT,U-Nit strip
Uriini analüüs 10-param. testribaga,Nitrit NIT,U-Nit strip
Uriini analüüs 10-param. testribaga,Nitrit NIT,U-Nit strip
Uriini analüüs 10-param. testribaga,Reaktsioon PH,U-pH strip
Uriini analüüs 10-param. testribaga,Suhkur GLU,U-Gluc strip
Uriini analüüs 10-param. testribaga,Urobilinogeen UBG,U-Ubg strip
Uriini analüüs 10-param. testribaga,Valk PRO,U-Prot strip
Uriini ribaanalüüs*,-1 S-ANA IgG mustrid,"S,P-ANA IgG pattern"
Uriini ribaanalüüs*,"-1 S,P-ANA IgG mustrid","S,P-ANA IgG pattern"
Uriini ribaanalüüs*,-2 S-ANA IgG tiiter,"S,P-ANA IgG titr"
Uriini ribaanalüüs*,"-2 S,P-ANA IgG tiiter","S,P-ANA IgG titr"
Uriini ribaanalüüs*,5 S-ANA Ab,"S,P-ANA Ab"
Uriini ribaanalüüs*,"5 S,P-ANA Ab","S,P-ANA Ab"
Uriini ribaanalüüs*,Bilirubiin,U-Bil strip
Uriini ribaanalüüs*,Erütrotsüüdid,U-RBC strip
Uriini ribaanalüüs*,Glükoos,U-Gluc strip
Uriini ribaanalüüs*,Ketokehad,U-Ket strip
Uriini ribaanalüüs*,Leukotsüüdid,U-WBC strip
Uriini ribaanalüüs*,pH uriinis,U-pH strip
Uriini ribaanalüüs*,Urobilinogeen,U-Ubg strip
Uriini ribaanalüüs*,U. urealyticum,XXX-U urealyticum DNA
Uriini ribaanalüüs*,Valk,U-Prot strip
Uriini ribaanalüüs 1,U urealyticum DNA,XXX-U urealyticum DNA
Uriini sademe mikroskoopia*,-1 S-ANA IgG mustrid,"S,P-ANA IgG pattern"
Uriini sademe mikroskoopia*,"-1 S,P-ANA IgG mustrid","S,P-ANA IgG pattern"
Uriini sademe mikroskoopia*,-2 S-ANA IgG tiiter,"S,P-ANA IgG titr"
Uriini sademe mikroskoopia*,"-2 S,P-ANA IgG tiiter","S,P-ANA IgG titr"
Uriini sademe mikroskoopia*,5 S-ANA Ab,"S,P-ANA Ab"
Uriini sademe mikroskoopia*,"5 S,P-ANA Ab","S,P-ANA Ab"
Uriini sademe mikroskoopia*,U. urealyticum,XXX-U urealyticum DNA
Uriini uuring 10-parameetrilise testribaga,KET,U-Ket strip
Uriini uuring 10-parameetrilise testribaga,NIT,U-Nit strip
Uriini uuringud,albumiin/kreatinii,U-Alb/U-Crea
Uriini uuringud,albumiin/kreatiniin,U-Alb/U-Crea
Uriini uuringud,Erütrotsüüdid,U-RBC strip
Uriini uuringud,Leukotsüüdid,U-WBC strip
Uurea,Uurea,"S,P-Urea"
"U. urealyticum, U.parvum DNA emakakaelak",Ureaplasma urealyticum DNA:,XXX-U urealyticum/U parvum DNA
"U. urealyticum, U.parvum DNA emakakaelakanalikaapes","Cx-U_urealyticum,_U_parvu",XXX-U urealyticum/U parvum DNA
"U. urealyticum, U.parvum DNA emakakaelakanalikaapes","U._urealyticum,_U.parvum_DNA_em",XXX-U urealyticum/U parvum DNA
"U. urealyticum, U.parvum DNA ureetrakaapes","Um-U_urealyticum,_U_parvu",XXX-U urealyticum/U parvum DNA
"U. urealyticum, U.parvum DNA ureetrakaapes","U._urealyticum,_U.parvum_DNA_ur",XXX-U urealyticum/U parvum DNA
Uurea paastusee,Uurea paastusee,"S,P-Urea"
Uurea paastuseerumis,Uurea paastuseerumis,"S,P-Urea"
Uurea seerumis,Uurea seerumis,"S,P-Urea"
Vaba Türoksiin,66706 S-fT4,"S,P-fT4"
Vaba Türoksiin,S-_fT4,"S,P-fT4"
Vaba türoksiin,Vaba türoksiin,"S,P-fT4"
Vaba türoksiin seeru,Vaba türoksiin seeru,"S,P-fT4"
Vaba türoksiin seerumis,Vaba türoksiin seerumis,"S,P-fT4"
Vaba türoksiin seerumis/plasma,Vaba türoksiin seerumis/plasma,"S,P-fT4"
Valem,Segmenttuumsed neutrofiilid:,B-Segmenttuumsed neutrofiilid %
Valem,Segmentuumseid,B-Segmenttuumsed neutrofiilid %
WBC,WBC,B-WBC
WBC Leukotsüüdi,WBC Leukotsüüdi,B-WBC
WBC Leukotsüüdid,WBC Leukotsüüdid,B-WBC
Vere automaatuuring,B-Hct:,B-Hct
Vere automaatuuring,B-PLT:,B-Plt
Vere automaatuuring,E-MCH,B-MCH
Vere automaatuuring,E-MCH:,B-MCH
Vere automaatuuring,E-MCHC,B-MCHC
Vere automaatuuring,E-MCHC:,B-MCHC
Vere automaatuuring,E-MCV,B-MCV
Vere automaatuuring,E-MCV:,B-MCV
Vere automaatuuring,MPV:,B-MPV
Vere automaatuuring,PCT:,B-Pct
Vere automaatuuring leukogrammita,"MCV, fL",B-MCV
Vere automaatuuring leukogrammita,"PLT, 10^3/mL",B-Plt
Vere automaatuuring leukogrammita,"PLT, 10^9/mL",B-Plt
Vere automaatuuring leukogrammita,"RDW, %CV",B-RDW-CV
Vereäige mikroskoopia kapillaarvereset,B-Basofüülid %,B-Basofiilid %
Vereäige mikroskoopia täisverest,B-Basofüülid %,B-Basofiilid %
VÄL,Tuumavastased antikeha,"S,P-ANA Ab"
VÄL,Tuumavastased antikehad,"S,P-ANA Ab"
VÄL,Ureaplasma urealyticum DN,XXX-U urealyticum DNA
Välisanalüüsid,24 S- ANA IgG panee,"S,P-ANA IgG panel IIF"
Välisanalüüsid,24 S- ANA IgG paneel,"S,P-ANA IgG panel IIF"
Välisanalüüsid,S-ANA Ig,"S,P-ANA IgG"
Välisanalüüsid,S-ANA Ig G,"S,P-ANA IgG"
Väljast tellitud analüüsid,Ureaplasma urealyticum,XXX-U urealyticum DNA
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapest,HPV,XXX-HPV high risk DNA
Inimese Papilloomiviiruse Dna Emakakaelakanalikaapes (Paneel),HPV DNA,XXX-HPV high risk DNA
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapes,HPV DNA,XXX-HPV high risk DNA
Hpv Dna Emakakaelakanalikaapes,HPV DNA,XXX-HPV high risk DNA
Hpv Dna Emakakaelakanalikaapes,HPV DNA emakakaelakanalikaapes,XXX-HPV high risk DNA
Inimese Papilloomiviiruse Dna Emakakaelakanalikaapes (Paneel),"HPV DNA, tüüp",XXX-HPV high risk DNA
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapes,HPV genotüüp,XXX-HPV high risk DNA
Inimese Papilloomiviirus Pcr Emakakaelakanalikaapest,HPV genotüüp,XXX-HPV high risk DNA
Molekulaardiagnostika Uuringud,HPV genotüüp emakakaelakanalikaapes,XXX-HPV high risk DNA
"Hpv Muud Genotüübid (31,33,35,39,45,51,52,56,58,59,66,68)",HPV muud genotüübid,XXX-HPV high risk DNA II
50556-0 Uriini Ribaanalüüs,24518-3 Kaltsium/kreatiniin uriinis,U-Ca/U-Crea
50556-0 Uriini Ribaanalüüs,34354-1 Fosfaat/kreatiniin uriinis,U-P/U-Creat
50556-0 Uriini Ribaanalüüs,34366-5 Valk/kreatiniin uriinis,U-Prot/U-Crea
57021-8 Hemogramm 5-Osalise Leukogrammiga,62238-1 eGFR,eGFR (CKD-EPI)
Biokeemia Labor,S-eGFR,eGFR (CKD-EPI)
"Egfr (Crea, Ckd-Epi)",62238-1 eGFR,eGFR (CKD-EPI)
Hinnanguline Glomerulaarfiltratsiooni Kiirus,"S,P-eGFR",eGFR (CKD-EPI)
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,P4-CK-MBm,"S,P-CK-MBm"
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,P4-CK-MBm,"S,P-CK-MBm"
Kreatiniin Ja Egfr Seerumis,Hinnanguline glomerulaafiltratsiooni kiirus,eGFR
Kreatiniin Kinaasi Mb Isoensüümi Mass,CK-MBm STAT,"S,P-CK-MBm"
Last_Sooviva_N-Pakett,S-CREA-BK,"S,P-Crea"
Last_Sooviva_N-Pakett,S-EGFR-EPI-BK,eGFR (CKD-EPI)
S-Crea-Bk,S-CREA-BK,"S,P-Crea"
S-Crea (Egfr),eGFR :,eGFR
S-Egfr-Bk,S-EGFR-BK,eGFR (CKD-EPI)
S-Egfr-Epi-Bk,S-EGFR-EPI-BK,eGFR (CKD-EPI)
Taimetoitl-Pakett,S-CREA-BK,"S,P-Crea"
Taimetoitl-Pakett,S-EGFR-EPI-BK,eGFR (CKD-EPI)
Terviseriski_Pakett,S-CREA-BK,"S,P-Crea"
Terviseriski_Pakett,S-EGFR-BK,eGFR (CKD-EPI)
Terviseriski_Pakett,S-EGFR-EPI-BK,eGFR (CKD-EPI)
Terviseriski_Pakett-Kampaania,S-CREA-BK,"S,P-Crea"
Terviseriski_Pakett-Kampaania,S-EGFR-EPI-BK,eGFR (CKD-EPI)
Tervsportlase-Pakett,S-CREA-BK,"S,P-Crea"
Tervsportlase-Pakett,S-EGFR-BK,eGFR (CKD-EPI)
Tervsportlase-Pakett,S-EGFR-EPI-BK,eGFR (CKD-EPI)
24356-8 Uriini Sademe Mikroskoopia,1756-6 Liikvori- ja seerumialbumiini suhe,CSF-Alb/S-Alb
50556-0 Uriini Ribaanalüüs,1756-6 Liikvori- ja seerumialbumiini suhe,CSF-Alb/S-Alb
57021-8 Hemogramm 5-Osalise Leukogrammiga,1756-6 Liikvori- ja seerumialbumiini suhe,CSF-Alb/S-Alb
Alb / Kreat Suhe Uriinis,Albumiini / kreat suhe,U-Alb/U-Crea
Albumiin, Pleuravedelikust,PlrF-Alb
Albumiin Seerumis/Plasmas,61151-7,"S,P-Alb"
Biokeemia Analüüs,S-Alb-el Albumiinid,"S,P-Alb"
Biokeemia Analüüs,S-Alb-t Albumiin,"S,P-Alb-hs"
Kl Keemia Ja Immunoloogia Automaatliinil Teostatud Uuring,S-Alb-hs Albumiin seerumis,"S,P-Alb-hs"
Kl Keemia Ja Immunoloogia Automaatliinil Teostatud Uuring,S-PreAlb Prealbumiin seerumis,"S,P-PreAlb"
Liikvori Analüüs,CSF-Alb/S-Alb Albumiini suhe liikvoris ja seerumis,CSF-Alb/S-Alb
Liikvori- Ja Seerumialbumiini Suhe,1756-6,CSF-Alb/S-Alb
Liikvori- Ja Seerumialbumiini Suhe,CSF-Alb/S2-Alb,CSF-Alb/S-Alb
Prealbumiin Seerumis,S-PreAlb,"S,P-PreAlb"
U-Alb/U- Crea,Albumiini ja kreatiniini suhe,U-Alb/U-Crea
Uriini Ribaanalüüs (Ph),Liikvori- ja seerumialbumiini suhe,CSF-Alb/S-Alb
Uriini Uuringud,Albumiini/kreatiniini suhe,U-Alb/U-Crea
Uriini Uuringud,Albumiini / kreat suhe,U-Alb/U-Crea
